Name,Sample,Total,g1,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g1
Miller-Plate115-B09,WT,1915,1768 (92.32%),3.60%,0,1847 (96.4%),-1,59 (3.1%),-2,4 (0.2%),1,3 (0.2%),-3,2 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,1932 (1.1),96.4,0.1,3.4,92.32
Miller-Plate115-A12,D3,2234,36 (1.61%),97.60%,-1,507 (22.7%),-7,288 (12.9%),1,134 (6.0%),-2,102 (4.6%),-8,67 (3.0%),-4,63 (2.8%),-18,62 (2.8%),-20,59 (2.6%),0,54 (2.4%),-10,47 (2.1%),-13,45 (2.0%),2,40 (1.8%),-9,40 (1.8%),-17,40 (1.8%),-12,40 (1.8%),-5,37 (1.7%),-19,35 (1.6%),-3,34 (1.5%),-6,33 (1.5%),-15,33 (1.5%),-14,29 (1.3%),-28,25 (1.1%),-11,24 (1.1%),-21,22 (1.0%),-16,18 (0.8%),-36,14 (0.6%),-22,12 (0.5%),-29,11 (0.5%),-30,11 (0.5%),-23,11 (0.5%),-24,11 (0.5%),-33,10 (0.4%),-87,9 (0.4%),-135,9 (0.4%),3,8 (0.4%),-90,8 (0.4%),-25,8 (0.4%),-26,7 (0.3%),-34,6 (0.3%),-27,6 (0.3%),-44,6 (0.3%),-101,5 (0.2%),-41,5 (0.2%),-51,5 (0.2%),-42,4 (0.2%),-65,4 (0.2%),-129,4 (0.2%),-109,4 (0.2%),-54,4 (0.2%),-63,4 (0.2%),-43,3 (0.1%),-32,3 (0.1%),-83,3 (0.1%),4,3 (0.1%),-166,3 (0.1%),-161,3 (0.1%),-35,3 (0.1%),-100,3 (0.1%),82,3 (0.1%),-105,3 (0.1%),-39,3 (0.1%),84,3 (0.1%),-75,3 (0.1%),-38,2 (0.1%),-46,2 (0.1%),83,2 (0.1%),-102,2 (0.1%),-47,2 (0.1%),-150,2 (0.1%),-192,2 (0.1%),-99,2 (0.1%),-124,2 (0.1%),-111,2 (0.1%),-89,2 (0.1%),54,2 (0.1%),-52,2 (0.1%),-85,2 (0.1%),-69,2 (0.1%),-57,2 (0.1%),13,2 (0.1%),-77,2 (0.1%),-110,2 (0.1%),-61,2 (0.1%),-93,2 (0.1%),-59,2 (0.1%),-177,2 (0.1%),68,2 (0.1%),-103,2 (0.1%),38,2 (0.1%),67,2 (0.1%),-73,2 (0.1%),75,1 (0.0%),-162,1 (0.0%),-79,1 (0.0%),24,1 (0.0%),52,1 (0.0%),69,1 (0.0%),-86,1 (0.0%),-88,1 (0.0%),-176,1 (0.0%),91,1 (0.0%),-147,1 (0.0%),-31,1 (0.0%),-220,1 (0.0%),-209,1 (0.0%),-133,1 (0.0%),-106,1 (0.0%),-139,1 (0.0%),21,1 (0.0%),-40,1 (0.0%),-74,1 (0.0%),-160,1 (0.0%),-151,1 (0.0%),87,1 (0.0%),22,1 (0.0%),-48,1 (0.0%),49,1 (0.0%),35,1 (0.0%),-137,1 (0.0%),31,1 (0.0%),-154,1 (0.0%),62,1 (0.0%),-45,1 (0.0%),30,1 (0.0%),-145,1 (0.0%),-78,1 (0.0%),-60,1 (0.0%),-50,1 (0.0%),-55,1 (0.0%),-169,1 (0.0%),-142,1 (0.0%),-144,1 (0.0%),-143,1 (0.0%),-130,1 (0.0%),-58,1 (0.0%),-120,1 (0.0%),70,1 (0.0%),-121,1 (0.0%),-164,1 (0.0%),-171,1 (0.0%),64,1 (0.0%),-136,1 (0.0%),51,1 (0.0%),53,1 (0.0%),-37,1 (0.0%),-116,1 (0.0%),37,1 (0.0%),72,1 (0.0%),10,1 (0.0%),-140,1 (0.0%),36,1 (0.0%),20,1 (0.0%),-179,1 (0.0%),92,1 (0.0%),5,1 (0.0%),89,1 (0.0%),-71,1 (0.0%),-84,1 (0.0%),45,1 (0.0%),58,1 (0.0%),-95,1 (0.0%),-173,1 (0.0%),-115,1 (0.0%),-157,1 (0.0%),-96,1 (0.0%),-182,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01,38 (1.1),2.4,19,78.6,1.61
Miller-Plate115-B12,D14,1432,3 (0.21%),99.40%,-1,281 (19.6%),-7,216 (15.1%),1,80 (5.6%),-2,71 (5.0%),-20,43 (3.0%),-18,41 (2.9%),-3,35 (2.4%),-6,32 (2.2%),-15,32 (2.2%),-10,28 (2.0%),-12,26 (1.8%),-19,26 (1.8%),-4,24 (1.7%),-5,22 (1.5%),-8,21 (1.5%),-9,21 (1.5%),-28,18 (1.3%),2,16 (1.1%),-11,15 (1.0%),-21,14 (1.0%),-13,14 (1.0%),-17,14 (1.0%),-30,13 (0.9%),-16,13 (0.9%),-26,9 (0.6%),0,9 (0.6%),-23,9 (0.6%),-14,8 (0.6%),-29,8 (0.6%),-154,7 (0.5%),-44,7 (0.5%),-36,7 (0.5%),-83,6 (0.4%),-27,6 (0.4%),-109,6 (0.4%),-135,5 (0.3%),-150,5 (0.3%),3,5 (0.3%),-87,5 (0.3%),-24,5 (0.3%),-75,5 (0.3%),-33,5 (0.3%),-22,5 (0.3%),-25,5 (0.3%),-41,5 (0.3%),-90,4 (0.3%),-105,4 (0.3%),-69,4 (0.3%),-54,4 (0.3%),-51,4 (0.3%),-88,4 (0.3%),-35,3 (0.2%),-43,3 (0.2%),-100,3 (0.2%),-163,3 (0.2%),-66,3 (0.2%),-114,3 (0.2%),-60,3 (0.2%),-162,3 (0.2%),-126,3 (0.2%),-93,3 (0.2%),-31,3 (0.2%),-131,3 (0.2%),-48,3 (0.2%),-124,3 (0.2%),-73,3 (0.2%),-138,2 (0.1%),-171,2 (0.1%),-74,2 (0.1%),-102,2 (0.1%),-97,2 (0.1%),-176,2 (0.1%),-89,2 (0.1%),-122,2 (0.1%),-139,2 (0.1%),-34,2 (0.1%),-156,2 (0.1%),-252,2 (0.1%),69,2 (0.1%),-32,2 (0.1%),4,2 (0.1%),81,2 (0.1%),-161,2 (0.1%),-207,2 (0.1%),-164,2 (0.1%),-175,2 (0.1%),-57,2 (0.1%),-92,2 (0.1%),-125,1 (0.1%),-191,1 (0.1%),-94,1 (0.1%),-78,1 (0.1%),-72,1 (0.1%),-77,1 (0.1%),-208,1 (0.1%),-268,1 (0.1%),90,1 (0.1%),-133,1 (0.1%),87,1 (0.1%),-111,1 (0.1%),-81,1 (0.1%),-67,1 (0.1%),-110,1 (0.1%),-240,1 (0.1%),-157,1 (0.1%),-169,1 (0.1%),-151,1 (0.1%),40,1 (0.1%),-55,1 (0.1%),-137,1 (0.1%),-185,1 (0.1%),-101,1 (0.1%),-103,1 (0.1%),-141,1 (0.1%),-104,1 (0.1%),-56,1 (0.1%),93,1 (0.1%),-172,1 (0.1%),17,1 (0.1%),-160,1 (0.1%),-229,1 (0.1%),-95,1 (0.1%),-123,1 (0.1%),-71,1 (0.1%),-86,1 (0.1%),-113,1 (0.1%),-155,1 (0.1%),-193,1 (0.1%),-38,1 (0.1%),-65,1 (0.1%),-79,1 (0.1%),-82,1 (0.1%),-130,1 (0.1%),72,1 (0.1%),-136,1 (0.1%),-70,1 (0.1%),-84,1 (0.1%),-147,1 (0.1%),-149,1 (0.1%),66,1 (0.1%),74,1 (0.1%),-144,1 (0.1%),-201,1 (0.1%),84,1 (0.1%),-178,1 (0.1%),-194,1 (0.1%),27,1 (0.1%),-265,1 (0.1%),-106,1 (0.1%),33,1 (0.1%),-158,1 (0.1%),-192,1 (0.1%),-165,1 (0.1%),-145,1 (0.1%),-42,1 (0.1%),79,1 (0.1%),-120,1 (0.1%),-117,1 (0.1%),89,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,4 (1.3),0.6,24.1,75.3,0.21
Miller-Plate115-C12,D21,1260,2 (0.16%),98.70%,-1,232 (18.4%),-7,213 (16.9%),-2,65 (5.2%),1,61 (4.8%),-18,56 (4.4%),-3,45 (3.6%),-20,42 (3.3%),-8,39 (3.1%),-12,30 (2.4%),-6,26 (2.1%),-15,23 (1.8%),-17,22 (1.7%),-9,21 (1.7%),2,20 (1.6%),-4,19 (1.5%),-13,18 (1.4%),0,17 (1.3%),-10,17 (1.3%),-19,17 (1.3%),-21,15 (1.2%),-5,14 (1.1%),-11,13 (1.0%),-30,13 (1.0%),-14,12 (1.0%),-29,11 (0.9%),-28,11 (0.9%),-16,10 (0.8%),-27,10 (0.8%),-36,9 (0.7%),-33,9 (0.7%),3,7 (0.6%),-63,6 (0.5%),-41,4 (0.3%),-37,4 (0.3%),-22,4 (0.3%),-64,3 (0.2%),-38,3 (0.2%),-31,3 (0.2%),-26,3 (0.2%),-25,3 (0.2%),6,3 (0.2%),-50,3 (0.2%),-42,3 (0.2%),-164,3 (0.2%),32,2 (0.2%),-129,2 (0.2%),-90,2 (0.2%),-133,2 (0.2%),-34,2 (0.2%),-161,2 (0.2%),90,2 (0.2%),35,2 (0.2%),-49,2 (0.2%),-87,2 (0.2%),-88,2 (0.2%),-83,2 (0.2%),88,2 (0.2%),-39,2 (0.2%),-35,2 (0.2%),-40,2 (0.2%),-24,2 (0.2%),-32,2 (0.2%),-96,2 (0.2%),-69,2 (0.2%),-124,2 (0.2%),-101,2 (0.2%),89,2 (0.2%),95,1 (0.1%),85,1 (0.1%),-150,1 (0.1%),39,1 (0.1%),58,1 (0.1%),-207,1 (0.1%),36,1 (0.1%),45,1 (0.1%),-68,1 (0.1%),48,1 (0.1%),-232,1 (0.1%),-114,1 (0.1%),-105,1 (0.1%),-135,1 (0.1%),-204,1 (0.1%),-51,1 (0.1%),-121,1 (0.1%),-128,1 (0.1%),-113,1 (0.1%),-73,1 (0.1%),27,1 (0.1%),31,1 (0.1%),-100,1 (0.1%),91,1 (0.1%),-98,1 (0.1%),69,1 (0.1%),87,1 (0.1%),59,1 (0.1%),-138,1 (0.1%),-76,1 (0.1%),-92,1 (0.1%),-139,1 (0.1%),-84,1 (0.1%),-154,1 (0.1%),10,1 (0.1%),-54,1 (0.1%),5,1 (0.1%),66,1 (0.1%),-44,1 (0.1%),-166,1 (0.1%),-120,1 (0.1%),-180,1 (0.1%),70,1 (0.1%),73,1 (0.1%),72,1 (0.1%),-116,1 (0.1%),44,1 (0.1%),24,1 (0.1%),-134,1 (0.1%),-112,1 (0.1%),-52,1 (0.1%),-23,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,2 (1.0),1.3,24.9,73.7,0.16
Miller-Plate115-D12,D28,1383,8 (0.58%),98.30%,-1,212 (15.3%),-7,171 (12.4%),-3,77 (5.6%),-18,71 (5.1%),1,70 (5.1%),-2,63 (4.6%),-12,44 (3.2%),-9,42 (3.0%),-6,42 (3.0%),-15,42 (3.0%),-21,36 (2.6%),-20,34 (2.5%),-8,28 (2.0%),-10,27 (2.0%),-5,26 (1.9%),0,24 (1.7%),-17,21 (1.5%),2,20 (1.4%),-13,19 (1.4%),-19,17 (1.2%),-36,15 (1.1%),-24,14 (1.0%),-30,14 (1.0%),-33,11 (0.8%),-28,11 (0.8%),-29,10 (0.7%),-11,10 (0.7%),-4,10 (0.7%),-16,9 (0.7%),-27,8 (0.6%),-23,7 (0.5%),-14,7 (0.5%),-135,6 (0.4%),-22,6 (0.4%),-51,6 (0.4%),-39,6 (0.4%),-69,6 (0.4%),3,5 (0.4%),-44,5 (0.4%),-100,4 (0.3%),-90,4 (0.3%),-57,4 (0.3%),-89,4 (0.3%),-87,4 (0.3%),-73,4 (0.3%),-35,3 (0.2%),-34,3 (0.2%),87,3 (0.2%),82,3 (0.2%),-164,3 (0.2%),-38,3 (0.2%),67,3 (0.2%),-83,3 (0.2%),-41,3 (0.2%),-109,2 (0.1%),-91,2 (0.1%),-161,2 (0.1%),89,2 (0.1%),-134,2 (0.1%),-88,2 (0.1%),90,2 (0.1%),83,2 (0.1%),-78,2 (0.1%),81,2 (0.1%),-93,2 (0.1%),-40,2 (0.1%),4,2 (0.1%),-25,2 (0.1%),-63,2 (0.1%),-142,2 (0.1%),-97,2 (0.1%),15,1 (0.1%),-172,1 (0.1%),-26,1 (0.1%),25,1 (0.1%),26,1 (0.1%),-122,1 (0.1%),40,1 (0.1%),-143,1 (0.1%),-77,1 (0.1%),-162,1 (0.1%),-195,1 (0.1%),-32,1 (0.1%),-72,1 (0.1%),-159,1 (0.1%),91,1 (0.1%),-99,1 (0.1%),47,1 (0.1%),66,1 (0.1%),57,1 (0.1%),-60,1 (0.1%),6,1 (0.1%),-144,1 (0.1%),-154,1 (0.1%),-121,1 (0.1%),56,1 (0.1%),-102,1 (0.1%),-61,1 (0.1%),-42,1 (0.1%),-114,1 (0.1%),-192,1 (0.1%),-43,1 (0.1%),-47,1 (0.1%),-58,1 (0.1%),-103,1 (0.1%),-31,1 (0.1%),18,1 (0.1%),61,1 (0.1%),71,1 (0.1%),92,1 (0.1%),-74,1 (0.1%),-182,1 (0.1%),-132,1 (0.1%),-130,1 (0.1%),-45,1 (0.1%),-64,1 (0.1%),-174,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.02,8 (1.0),1.7,35.4,62.9,0.58
Miller-Plate115-E12,D50,1770,36 (2.03%),95.50%,-1,178 (10.1%),-18,174 (9.8%),-3,170 (9.6%),-7,129 (7.3%),-12,106 (6.0%),-6,99 (5.6%),-9,98 (5.5%),-15,94 (5.3%),0,79 (4.5%),-21,54 (3.1%),-2,52 (2.9%),1,41 (2.3%),-33,33 (1.9%),-20,30 (1.7%),-30,28 (1.6%),-27,27 (1.5%),-36,26 (1.5%),-4,23 (1.3%),-17,20 (1.1%),-10,19 (1.1%),-24,18 (1.0%),-8,17 (1.0%),-5,15 (0.8%),-13,15 (0.8%),3,14 (0.8%),-19,12 (0.7%),-42,11 (0.6%),2,11 (0.6%),-51,9 (0.5%),-69,9 (0.5%),-14,7 (0.4%),-28,7 (0.4%),-54,7 (0.4%),-63,5 (0.3%),-16,4 (0.2%),-90,4 (0.2%),-48,4 (0.2%),-35,4 (0.2%),-87,4 (0.2%),-11,4 (0.2%),-22,4 (0.2%),-66,3 (0.2%),-39,3 (0.2%),-50,3 (0.2%),-57,3 (0.2%),-73,3 (0.2%),-111,3 (0.2%),-101,3 (0.2%),-44,3 (0.2%),-41,3 (0.2%),-109,2 (0.1%),-34,2 (0.1%),-142,2 (0.1%),-70,2 (0.1%),4,2 (0.1%),-29,2 (0.1%),-31,2 (0.1%),-85,2 (0.1%),44,2 (0.1%),-98,2 (0.1%),-125,2 (0.1%),81,2 (0.1%),-162,2 (0.1%),-23,2 (0.1%),-84,2 (0.1%),27,1 (0.1%),41,1 (0.1%),-168,1 (0.1%),-126,1 (0.1%),-37,1 (0.1%),-103,1 (0.1%),-136,1 (0.1%),-95,1 (0.1%),56,1 (0.1%),21,1 (0.1%),92,1 (0.1%),-122,1 (0.1%),64,1 (0.1%),52,1 (0.1%),-163,1 (0.1%),70,1 (0.1%),69,1 (0.1%),-192,1 (0.1%),84,1 (0.1%),-153,1 (0.1%),-53,1 (0.1%),-112,1 (0.1%),35,1 (0.1%),90,1 (0.1%),-129,1 (0.1%),-52,1 (0.1%),-99,1 (0.1%),-164,1 (0.1%),-146,1 (0.1%),94,1 (0.1%),-127,1 (0.1%),-81,1 (0.1%),-88,1 (0.1%),-105,1 (0.1%),-74,1 (0.1%),6,1 (0.1%),77,1 (0.1%),-64,1 (0.1%),79,1 (0.1%),29,1 (0.1%),-26,1 (0.1%),-25,1 (0.1%),-45,1 (0.1%),-214,1 (0.1%),83,1 (0.1%),-79,1 (0.1%),-49,1 (0.1%),-43,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.02,41 (1.1),4.5,58,37.5,2.03
