Name,Sample,Total,g1,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g1
Miller-Plate115-B09,WT,1915,1768 (92.32%),3.60%,0,1847 (96.4%),-1,59 (3.1%),-2,4 (0.2%),1,3 (0.2%),-3,2 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,1932 (1.1),96.4,0.1,3.4,92.32
Miller-Plate115-A10,D3,2286,27 (1.18%),98.00%,-1,470 (20.6%),-7,313 (13.7%),1,125 (5.5%),-2,102 (4.5%),-20,69 (3.0%),-8,63 (2.8%),-12,57 (2.5%),-18,57 (2.5%),-3,57 (2.5%),-10,53 (2.3%),-13,46 (2.0%),0,45 (2.0%),-17,45 (2.0%),2,42 (1.8%),-9,42 (1.8%),-19,39 (1.7%),-4,36 (1.6%),-6,35 (1.5%),-11,29 (1.3%),-5,29 (1.3%),-15,27 (1.2%),-21,27 (1.2%),-14,27 (1.2%),-28,27 (1.2%),-16,16 (0.7%),-22,14 (0.6%),-33,13 (0.6%),-30,13 (0.6%),-36,13 (0.6%),-23,12 (0.5%),-24,10 (0.4%),-44,10 (0.4%),3,9 (0.4%),-34,9 (0.4%),-73,7 (0.3%),-51,7 (0.3%),-41,7 (0.3%),-54,7 (0.3%),-25,6 (0.3%),-26,6 (0.3%),-29,6 (0.3%),-69,5 (0.2%),-46,5 (0.2%),-38,5 (0.2%),-100,4 (0.2%),-67,4 (0.2%),-164,4 (0.2%),-88,4 (0.2%),-89,4 (0.2%),-32,4 (0.2%),-27,4 (0.2%),-87,4 (0.2%),-105,4 (0.2%),38,4 (0.2%),-83,4 (0.2%),-135,4 (0.2%),-43,4 (0.2%),-106,3 (0.1%),-98,3 (0.1%),-75,3 (0.1%),-174,3 (0.1%),-90,3 (0.1%),-125,3 (0.1%),-138,3 (0.1%),-84,3 (0.1%),64,3 (0.1%),-124,3 (0.1%),-31,3 (0.1%),-35,3 (0.1%),4,3 (0.1%),-94,3 (0.1%),65,3 (0.1%),-93,3 (0.1%),19,3 (0.1%),-48,3 (0.1%),-42,2 (0.1%),-91,2 (0.1%),91,2 (0.1%),89,2 (0.1%),87,2 (0.1%),-142,2 (0.1%),-111,2 (0.1%),-53,2 (0.1%),-136,2 (0.1%),-137,2 (0.1%),-81,2 (0.1%),-114,2 (0.1%),-39,2 (0.1%),-52,2 (0.1%),78,2 (0.1%),-74,2 (0.1%),-96,2 (0.1%),-65,2 (0.1%),-155,2 (0.1%),68,2 (0.1%),44,2 (0.1%),-161,2 (0.1%),59,2 (0.1%),-163,2 (0.1%),-160,2 (0.1%),-78,2 (0.1%),90,2 (0.1%),-99,2 (0.1%),48,2 (0.1%),-101,2 (0.1%),-45,2 (0.1%),-109,1 (0.0%),-128,1 (0.0%),42,1 (0.0%),-107,1 (0.0%),-86,1 (0.0%),-123,1 (0.0%),93,1 (0.0%),-66,1 (0.0%),-192,1 (0.0%),40,1 (0.0%),-166,1 (0.0%),-222,1 (0.0%),50,1 (0.0%),-208,1 (0.0%),-57,1 (0.0%),5,1 (0.0%),-56,1 (0.0%),-108,1 (0.0%),-77,1 (0.0%),84,1 (0.0%),-80,1 (0.0%),-72,1 (0.0%),17,1 (0.0%),27,1 (0.0%),-177,1 (0.0%),-197,1 (0.0%),25,1 (0.0%),37,1 (0.0%),32,1 (0.0%),34,1 (0.0%),-159,1 (0.0%),43,1 (0.0%),-171,1 (0.0%),74,1 (0.0%),-183,1 (0.0%),-115,1 (0.0%),24,1 (0.0%),80,1 (0.0%),81,1 (0.0%),-118,1 (0.0%),6,1 (0.0%),-146,1 (0.0%),-162,1 (0.0%),-131,1 (0.0%),-63,1 (0.0%),-158,1 (0.0%),75,1 (0.0%),63,1 (0.0%),-141,1 (0.0%),-59,1 (0.0%),58,1 (0.0%),56,1 (0.0%),-139,1 (0.0%),28,1 (0.0%),13,1 (0.0%),82,1 (0.0%),-132,1 (0.0%),-85,1 (0.0%),-47,1 (0.0%),-58,1 (0.0%),12,1 (0.0%),-71,1 (0.0%),72,1 (0.0%),-62,1 (0.0%),71,1 (0.0%),-95,1 (0.0%),30,1 (0.0%),-79,1 (0.0%),41,1 (0.0%),15,1 (0.0%),-207,1 (0.0%),86,1 (0.0%),-119,1 (0.0%),-129,1 (0.0%),-143,1 (0.0%),-154,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,33 (1.2),2,20.6,77.4,1.18
Miller-Plate115-B10,D14,797,1 (0.13%),99.20%,-1,147 (18.4%),-7,124 (15.6%),1,43 (5.4%),-2,41 (5.1%),-20,25 (3.1%),-18,25 (3.1%),-3,21 (2.6%),-9,21 (2.6%),-10,21 (2.6%),2,16 (2.0%),-13,16 (2.0%),-17,16 (2.0%),-11,15 (1.9%),-15,14 (1.8%),-12,14 (1.8%),-6,13 (1.6%),-8,13 (1.6%),-5,12 (1.5%),-4,12 (1.5%),-19,11 (1.4%),-30,8 (1.0%),-21,8 (1.0%),-28,8 (1.0%),0,6 (0.8%),-44,6 (0.8%),-22,6 (0.8%),-27,5 (0.6%),-16,5 (0.6%),-24,5 (0.6%),-36,4 (0.5%),-26,3 (0.4%),4,3 (0.4%),-93,3 (0.4%),-135,3 (0.4%),-78,3 (0.4%),-33,3 (0.4%),-151,3 (0.4%),-14,3 (0.4%),-41,3 (0.4%),3,2 (0.3%),-100,2 (0.3%),-63,2 (0.3%),-84,2 (0.3%),-39,2 (0.3%),-109,2 (0.3%),-163,2 (0.3%),-29,2 (0.3%),-42,2 (0.3%),-127,2 (0.3%),-83,2 (0.3%),-159,2 (0.3%),-43,2 (0.3%),-89,2 (0.3%),-70,2 (0.3%),-90,2 (0.3%),-40,1 (0.1%),10,1 (0.1%),-138,1 (0.1%),-23,1 (0.1%),-104,1 (0.1%),-50,1 (0.1%),-71,1 (0.1%),-123,1 (0.1%),92,1 (0.1%),-124,1 (0.1%),-60,1 (0.1%),-169,1 (0.1%),-121,1 (0.1%),-148,1 (0.1%),-154,1 (0.1%),-105,1 (0.1%),-142,1 (0.1%),-97,1 (0.1%),-176,1 (0.1%),-38,1 (0.1%),-58,1 (0.1%),-115,1 (0.1%),-54,1 (0.1%),-133,1 (0.1%),-34,1 (0.1%),-125,1 (0.1%),-187,1 (0.1%),-172,1 (0.1%),-111,1 (0.1%),-181,1 (0.1%),-101,1 (0.1%),-87,1 (0.1%),-31,1 (0.1%),45,1 (0.1%),-73,1 (0.1%),44,1 (0.1%),-147,1 (0.1%),18,1 (0.1%),-112,1 (0.1%),-134,1 (0.1%),-165,1 (0.1%),-79,1 (0.1%),-94,1 (0.1%),-99,1 (0.1%),-57,1 (0.1%),-207,1 (0.1%),-67,1 (0.1%),-110,1 (0.1%),-221,1 (0.1%),-137,1 (0.1%),-45,1 (0.1%),14,1 (0.1%),-164,1 (0.1%),-225,1 (0.1%),-129,1 (0.1%),-143,1 (0.1%),-69,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,1 (1.0),0.8,22.8,76.4,0.13
Miller-Plate115-C10,D21,2060,6 (0.29%),98.70%,-1,417 (20.2%),-7,291 (14.1%),1,112 (5.4%),-2,102 (5.0%),-20,75 (3.6%),-3,63 (3.1%),-18,59 (2.9%),-8,59 (2.9%),-12,54 (2.6%),-15,47 (2.3%),-6,42 (2.0%),-4,42 (2.0%),-9,41 (2.0%),-5,40 (1.9%),-10,34 (1.7%),-14,29 (1.4%),0,27 (1.3%),-19,26 (1.3%),2,25 (1.2%),-17,25 (1.2%),-13,24 (1.2%),-21,23 (1.1%),-11,20 (1.0%),-28,20 (1.0%),-29,15 (0.7%),-24,15 (0.7%),-44,14 (0.7%),-16,12 (0.6%),-23,12 (0.6%),-27,12 (0.6%),-30,11 (0.5%),3,9 (0.4%),-34,8 (0.4%),-51,8 (0.4%),-36,8 (0.4%),-101,7 (0.3%),-33,7 (0.3%),-35,6 (0.3%),-162,6 (0.3%),-22,6 (0.3%),-25,5 (0.2%),-90,5 (0.2%),-79,5 (0.2%),-88,5 (0.2%),-72,4 (0.2%),-77,4 (0.2%),-31,4 (0.2%),-135,4 (0.2%),-97,4 (0.2%),-81,4 (0.2%),-87,4 (0.2%),-54,4 (0.2%),-63,4 (0.2%),-66,3 (0.1%),-83,3 (0.1%),-41,3 (0.1%),5,3 (0.1%),-42,3 (0.1%),-26,3 (0.1%),-129,3 (0.1%),-93,3 (0.1%),-105,3 (0.1%),-68,3 (0.1%),-118,3 (0.1%),90,3 (0.1%),85,3 (0.1%),-73,3 (0.1%),-147,2 (0.1%),-45,2 (0.1%),-50,2 (0.1%),-39,2 (0.1%),-32,2 (0.1%),4,2 (0.1%),-154,2 (0.1%),-164,2 (0.1%),-78,2 (0.1%),-37,2 (0.1%),-103,2 (0.1%),-106,2 (0.1%),54,2 (0.1%),-109,2 (0.1%),-127,2 (0.1%),46,2 (0.1%),-176,2 (0.1%),-121,2 (0.1%),-48,2 (0.1%),-179,2 (0.1%),84,2 (0.1%),87,2 (0.1%),-92,2 (0.1%),-155,2 (0.1%),82,2 (0.1%),-124,2 (0.1%),-100,2 (0.1%),21,1 (0.0%),8,1 (0.0%),-61,1 (0.0%),-58,1 (0.0%),-157,1 (0.0%),-75,1 (0.0%),-117,1 (0.0%),-67,1 (0.0%),-80,1 (0.0%),-71,1 (0.0%),34,1 (0.0%),13,1 (0.0%),-43,1 (0.0%),65,1 (0.0%),-143,1 (0.0%),-227,1 (0.0%),60,1 (0.0%),-46,1 (0.0%),77,1 (0.0%),-224,1 (0.0%),-40,1 (0.0%),-38,1 (0.0%),-52,1 (0.0%),44,1 (0.0%),-166,1 (0.0%),-60,1 (0.0%),25,1 (0.0%),-131,1 (0.0%),72,1 (0.0%),-172,1 (0.0%),-252,1 (0.0%),88,1 (0.0%),-47,1 (0.0%),10,1 (0.0%),-142,1 (0.0%),-74,1 (0.0%),-159,1 (0.0%),42,1 (0.0%),41,1 (0.0%),-98,1 (0.0%),32,1 (0.0%),-114,1 (0.0%),52,1 (0.0%),-116,1 (0.0%),-64,1 (0.0%),-136,1 (0.0%),51,1 (0.0%),-96,1 (0.0%),79,1 (0.0%),45,1 (0.0%),-84,1 (0.0%),-59,1 (0.0%),-57,1 (0.0%),83,1 (0.0%),-86,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,8 (1.3),1.3,23.4,75.2,0.29
Miller-Plate115-D10,D28,1886,8 (0.42%),97.70%,-1,279 (14.8%),-7,219 (11.6%),-18,113 (6.0%),-3,107 (5.7%),1,96 (5.1%),-6,76 (4.0%),-2,70 (3.7%),-9,68 (3.6%),-12,67 (3.6%),0,44 (2.3%),-8,44 (2.3%),-20,42 (2.2%),-15,41 (2.2%),-17,37 (2.0%),-5,35 (1.9%),-21,34 (1.8%),-19,27 (1.4%),-10,25 (1.3%),2,24 (1.3%),-4,24 (1.3%),-13,23 (1.2%),-30,19 (1.0%),-14,18 (1.0%),-11,18 (1.0%),-36,17 (0.9%),-27,13 (0.7%),-28,13 (0.7%),-33,11 (0.6%),-16,11 (0.6%),3,9 (0.5%),-24,8 (0.4%),-51,8 (0.4%),-135,7 (0.4%),-22,7 (0.4%),-23,7 (0.4%),-29,7 (0.4%),-73,6 (0.3%),-154,5 (0.3%),-35,5 (0.3%),-77,5 (0.3%),-26,5 (0.3%),-44,5 (0.3%),-57,4 (0.2%),-34,4 (0.2%),-105,4 (0.2%),81,4 (0.2%),-54,4 (0.2%),-75,3 (0.2%),-89,3 (0.2%),-74,3 (0.2%),-97,3 (0.2%),-100,3 (0.2%),-48,3 (0.2%),-25,3 (0.2%),-90,3 (0.2%),6,3 (0.2%),89,3 (0.2%),-45,3 (0.2%),-63,3 (0.2%),-87,2 (0.1%),-39,2 (0.1%),-129,2 (0.1%),91,2 (0.1%),-52,2 (0.1%),-42,2 (0.1%),-125,2 (0.1%),-31,2 (0.1%),-121,2 (0.1%),-161,2 (0.1%),-76,2 (0.1%),-126,2 (0.1%),94,2 (0.1%),-66,2 (0.1%),-72,2 (0.1%),-109,2 (0.1%),86,2 (0.1%),-46,2 (0.1%),-167,2 (0.1%),70,2 (0.1%),-114,2 (0.1%),-136,2 (0.1%),-61,2 (0.1%),-257,2 (0.1%),-78,2 (0.1%),-169,2 (0.1%),83,2 (0.1%),-93,2 (0.1%),43,2 (0.1%),88,2 (0.1%),-134,1 (0.1%),-150,1 (0.1%),-70,1 (0.1%),-183,1 (0.1%),-166,1 (0.1%),-155,1 (0.1%),-79,1 (0.1%),69,1 (0.1%),-146,1 (0.1%),-180,1 (0.1%),-71,1 (0.1%),-101,1 (0.1%),12,1 (0.1%),-130,1 (0.1%),-131,1 (0.1%),79,1 (0.1%),64,1 (0.1%),51,1 (0.1%),-143,1 (0.1%),-111,1 (0.1%),49,1 (0.1%),78,1 (0.1%),-41,1 (0.1%),84,1 (0.1%),90,1 (0.1%),-110,1 (0.1%),-83,1 (0.1%),33,1 (0.1%),27,1 (0.1%),-86,1 (0.1%),92,1 (0.1%),-108,1 (0.1%),-65,1 (0.1%),5,1 (0.1%),-67,1 (0.1%),-94,1 (0.1%),-141,1 (0.1%),38,1 (0.1%),82,1 (0.1%),80,1 (0.1%),-106,1 (0.1%),-43,1 (0.1%),85,1 (0.1%),46,1 (0.1%),23,1 (0.1%),-139,1 (0.1%),-38,1 (0.1%),63,1 (0.1%),-84,1 (0.1%),-149,1 (0.1%),-58,1 (0.1%),-230,1 (0.1%),24,1 (0.1%),10,1 (0.1%),-37,1 (0.1%),15,1 (0.1%),-162,1 (0.1%),-211,1 (0.1%),-55,1 (0.1%),40,1 (0.1%),-247,1 (0.1%),71,1 (0.1%),58,1 (0.1%),-99,1 (0.1%),47,1 (0.1%),-179,1 (0.1%),-137,1 (0.1%),-107,1 (0.1%),-186,1 (0.1%),-127,1 (0.1%),53,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.02,9 (1.1),2.3,35.7,62,0.42
Miller-Plate115-E10,D50,2385,25 (1.05%),96.50%,-3,229 (9.6%),-18,226 (9.5%),-1,210 (8.8%),-7,194 (8.1%),-9,149 (6.2%),-12,147 (6.2%),-6,140 (5.9%),-15,98 (4.1%),0,84 (3.5%),-2,66 (2.8%),1,65 (2.7%),-21,52 (2.2%),-30,43 (1.8%),3,42 (1.8%),-36,38 (1.6%),-20,38 (1.6%),-27,30 (1.3%),-24,30 (1.3%),-8,27 (1.1%),-10,26 (1.1%),-4,26 (1.1%),-19,24 (1.0%),-5,21 (0.9%),-13,20 (0.8%),-17,19 (0.8%),2,19 (0.8%),-33,19 (0.8%),-14,17 (0.7%),-11,14 (0.6%),-28,13 (0.5%),-23,10 (0.4%),-51,9 (0.4%),-63,9 (0.4%),-44,8 (0.3%),-29,8 (0.3%),-68,8 (0.3%),-42,8 (0.3%),-135,7 (0.3%),-54,7 (0.3%),-16,7 (0.3%),-31,7 (0.3%),-69,7 (0.3%),-39,7 (0.3%),-87,6 (0.3%),-26,5 (0.2%),-66,5 (0.2%),-32,5 (0.2%),-45,4 (0.2%),89,4 (0.2%),-48,4 (0.2%),-22,4 (0.2%),-109,4 (0.2%),-78,3 (0.1%),-104,3 (0.1%),-100,3 (0.1%),-124,3 (0.1%),-38,3 (0.1%),-60,3 (0.1%),6,3 (0.1%),-64,3 (0.1%),-25,3 (0.1%),-40,3 (0.1%),90,2 (0.1%),-84,2 (0.1%),18,2 (0.1%),-99,2 (0.1%),-47,2 (0.1%),-57,2 (0.1%),86,2 (0.1%),-101,2 (0.1%),83,2 (0.1%),36,2 (0.1%),-154,2 (0.1%),44,2 (0.1%),-71,2 (0.1%),41,2 (0.1%),-37,2 (0.1%),-73,2 (0.1%),54,2 (0.1%),-158,1 (0.0%),-67,1 (0.0%),17,1 (0.0%),-79,1 (0.0%),73,1 (0.0%),81,1 (0.0%),80,1 (0.0%),14,1 (0.0%),87,1 (0.0%),-41,1 (0.0%),-97,1 (0.0%),-106,1 (0.0%),-113,1 (0.0%),-105,1 (0.0%),-123,1 (0.0%),-143,1 (0.0%),-162,1 (0.0%),-138,1 (0.0%),-114,1 (0.0%),-139,1 (0.0%),66,1 (0.0%),-131,1 (0.0%),61,1 (0.0%),19,1 (0.0%),-46,1 (0.0%),-129,1 (0.0%),-161,1 (0.0%),-150,1 (0.0%),9,1 (0.0%),50,1 (0.0%),-85,1 (0.0%),-102,1 (0.0%),74,1 (0.0%),92,1 (0.0%),5,1 (0.0%),93,1 (0.0%),-95,1 (0.0%),-111,1 (0.0%),-167,1 (0.0%),52,1 (0.0%),-140,1 (0.0%),-88,1 (0.0%),51,1 (0.0%),-34,1 (0.0%),58,1 (0.0%),-89,1 (0.0%),-58,1 (0.0%),-82,1 (0.0%),22,1 (0.0%),85,1 (0.0%),68,1 (0.0%),-126,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,30 (1.2),3.5,56.8,39.7,1.05
