Name,Sample,Total,g2,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g2
Miller-Plate71-A09,HGGx99 wt,3274,3031 (92.58%),4.00%,0,3143 (96.0%),-1,116 (3.5%),1,12 (0.4%),-2,3 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01,3304 (1.1),96,0,4,92.58
Miller-Plate71-A12,D3,3327,78 (2.34%),97.10%,-1,735 (22.1%),-6,442 (13.3%),-3,318 (9.6%),-2,306 (9.2%),-4,250 (7.5%),1,146 (4.4%),-9,112 (3.4%),0,97 (2.9%),-7,81 (2.4%),-5,76 (2.3%),-15,66 (2.0%),-11,47 (1.4%),-8,46 (1.4%),-10,43 (1.3%),-13,32 (1.0%),-12,30 (0.9%),-21,29 (0.9%),-18,27 (0.8%),-16,23 (0.7%),-14,22 (0.7%),-19,21 (0.6%),-25,16 (0.5%),-27,16 (0.5%),-30,16 (0.5%),2,15 (0.5%),-17,15 (0.5%),-29,14 (0.4%),-24,14 (0.4%),-22,12 (0.4%),-26,11 (0.3%),-31,11 (0.3%),-23,10 (0.3%),-33,10 (0.3%),-34,9 (0.3%),-39,8 (0.2%),-36,7 (0.2%),-45,7 (0.2%),3,6 (0.2%),-40,6 (0.2%),-37,6 (0.2%),-50,6 (0.2%),-48,5 (0.2%),-111,5 (0.2%),-28,5 (0.2%),-38,4 (0.1%),-52,4 (0.1%),-42,4 (0.1%),-127,4 (0.1%),-91,4 (0.1%),-81,4 (0.1%),-53,3 (0.1%),-41,3 (0.1%),-44,3 (0.1%),70,3 (0.1%),-35,3 (0.1%),-90,3 (0.1%),-58,3 (0.1%),-32,3 (0.1%),52,3 (0.1%),-43,2 (0.1%),-59,2 (0.1%),-80,2 (0.1%),-67,2 (0.1%),-116,2 (0.1%),58,2 (0.1%),-120,2 (0.1%),-73,2 (0.1%),-46,2 (0.1%),-20,2 (0.1%),-89,2 (0.1%),16,2 (0.1%),-63,2 (0.1%),-57,2 (0.1%),-123,2 (0.1%),-51,2 (0.1%),6,2 (0.1%),-56,2 (0.1%),-54,2 (0.1%),43,1 (0.0%),47,1 (0.0%),-128,1 (0.0%),119,1 (0.0%),-47,1 (0.0%),-112,1 (0.0%),34,1 (0.0%),96,1 (0.0%),-110,1 (0.0%),-68,1 (0.0%),63,1 (0.0%),-124,1 (0.0%),36,1 (0.0%),-139,1 (0.0%),22,1 (0.0%),-170,1 (0.0%),118,1 (0.0%),55,1 (0.0%),72,1 (0.0%),5,1 (0.0%),111,1 (0.0%),54,1 (0.0%),-101,1 (0.0%),-65,1 (0.0%),48,1 (0.0%),85,1 (0.0%),-88,1 (0.0%),93,1 (0.0%),29,1 (0.0%),-109,1 (0.0%),88,1 (0.0%),80,1 (0.0%),-92,1 (0.0%),-121,1 (0.0%),78,1 (0.0%),-107,1 (0.0%),21,1 (0.0%),-60,1 (0.0%),-135,1 (0.0%),11,1 (0.0%),95,1 (0.0%),-55,1 (0.0%),-113,1 (0.0%),39,1 (0.0%),15,1 (0.0%),-49,1 (0.0%),33,1 (0.0%),14,1 (0.0%),10,1 (0.0%),51,1 (0.0%),105,1 (0.0%),-106,1 (0.0%),-93,1 (0.0%),67,1 (0.0%),136,1 (0.0%),-84,1 (0.0%),-114,1 (0.0%),-78,1 (0.0%),114,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,85 (1.1),2.9,35,62.1,2.34
Miller-Plate71-B12,D14,3071,159 (5.18%),93.40%,-1,671 (21.8%),-6,378 (12.3%),-3,285 (9.3%),-2,245 (8.0%),-4,231 (7.5%),0,203 (6.6%),1,164 (5.3%),-9,97 (3.2%),-7,80 (2.6%),-5,55 (1.8%),-15,50 (1.6%),-8,40 (1.3%),-12,39 (1.3%),-11,38 (1.2%),-10,37 (1.2%),-13,26 (0.8%),-16,24 (0.8%),2,20 (0.7%),-18,18 (0.6%),-21,17 (0.6%),-14,16 (0.5%),-36,15 (0.5%),-27,14 (0.5%),-19,14 (0.5%),-25,14 (0.5%),-26,12 (0.4%),-24,10 (0.3%),-29,10 (0.3%),-17,9 (0.3%),-28,9 (0.3%),-111,8 (0.3%),-38,8 (0.3%),-30,8 (0.3%),-37,8 (0.3%),-23,7 (0.2%),5,6 (0.2%),-22,6 (0.2%),-20,6 (0.2%),-50,6 (0.2%),3,6 (0.2%),-34,6 (0.2%),-101,5 (0.2%),-128,5 (0.2%),-59,5 (0.2%),-35,4 (0.1%),-33,4 (0.1%),-82,4 (0.1%),-31,4 (0.1%),-63,4 (0.1%),-40,3 (0.1%),-105,3 (0.1%),-112,3 (0.1%),-108,3 (0.1%),-32,3 (0.1%),44,3 (0.1%),85,2 (0.1%),-51,2 (0.1%),42,2 (0.1%),-99,2 (0.1%),-47,2 (0.1%),29,2 (0.1%),-96,2 (0.1%),8,2 (0.1%),-107,2 (0.1%),111,2 (0.1%),-48,2 (0.1%),-104,2 (0.1%),19,2 (0.1%),25,2 (0.1%),-123,2 (0.1%),24,2 (0.1%),-57,2 (0.1%),16,2 (0.1%),-62,2 (0.1%),-60,2 (0.1%),40,2 (0.1%),88,2 (0.1%),-134,2 (0.1%),93,2 (0.1%),-129,1 (0.0%),-81,1 (0.0%),60,1 (0.0%),-100,1 (0.0%),64,1 (0.0%),-41,1 (0.0%),6,1 (0.0%),-73,1 (0.0%),-55,1 (0.0%),56,1 (0.0%),67,1 (0.0%),133,1 (0.0%),69,1 (0.0%),-116,1 (0.0%),-77,1 (0.0%),87,1 (0.0%),-64,1 (0.0%),59,1 (0.0%),27,1 (0.0%),53,1 (0.0%),117,1 (0.0%),108,1 (0.0%),-69,1 (0.0%),45,1 (0.0%),79,1 (0.0%),22,1 (0.0%),-90,1 (0.0%),70,1 (0.0%),-74,1 (0.0%),74,1 (0.0%),28,1 (0.0%),35,1 (0.0%),14,1 (0.0%),65,1 (0.0%),81,1 (0.0%),-80,1 (0.0%),129,1 (0.0%),92,1 (0.0%),75,1 (0.0%),-42,1 (0.0%),95,1 (0.0%),21,1 (0.0%),31,1 (0.0%),105,1 (0.0%),-114,1 (0.0%),-44,1 (0.0%),63,1 (0.0%),-120,1 (0.0%),-43,1 (0.0%),47,1 (0.0%),18,1 (0.0%),37,1 (0.0%),82,1 (0.0%),107,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.99,181 (1.1),6.6,32.7,60.7,5.18
Miller-Plate71-C12,D21,3259,474 (14.54%),81.50%,-1,629 (19.3%),0,603 (18.5%),-6,353 (10.8%),-3,268 (8.2%),-4,252 (7.7%),-2,231 (7.1%),1,157 (4.8%),-9,82 (2.5%),-7,65 (2.0%),-5,55 (1.7%),-15,48 (1.5%),-8,47 (1.4%),-10,45 (1.4%),-11,43 (1.3%),-12,32 (1.0%),-13,26 (0.8%),-19,24 (0.7%),-16,20 (0.6%),-18,14 (0.4%),-21,14 (0.4%),-24,13 (0.4%),-27,11 (0.3%),2,10 (0.3%),-25,10 (0.3%),-14,9 (0.3%),-30,9 (0.3%),-26,9 (0.3%),-22,7 (0.2%),-20,7 (0.2%),-36,7 (0.2%),-29,7 (0.2%),-17,6 (0.2%),-35,6 (0.2%),-23,6 (0.2%),-55,5 (0.2%),-28,4 (0.1%),-131,4 (0.1%),-37,4 (0.1%),-34,4 (0.1%),-111,3 (0.1%),7,3 (0.1%),-47,3 (0.1%),55,3 (0.1%),-53,3 (0.1%),-31,3 (0.1%),4,3 (0.1%),-32,3 (0.1%),-110,2 (0.1%),-42,2 (0.1%),-38,2 (0.1%),45,2 (0.1%),61,2 (0.1%),106,2 (0.1%),-40,2 (0.1%),-75,2 (0.1%),78,2 (0.1%),-43,2 (0.1%),-66,2 (0.1%),48,2 (0.1%),59,2 (0.1%),12,2 (0.1%),92,2 (0.1%),-60,2 (0.1%),-132,2 (0.1%),-33,2 (0.1%),-101,2 (0.1%),-41,2 (0.1%),25,2 (0.1%),3,2 (0.1%),62,2 (0.1%),5,2 (0.1%),75,1 (0.0%),-62,1 (0.0%),126,1 (0.0%),102,1 (0.0%),82,1 (0.0%),89,1 (0.0%),-50,1 (0.0%),-45,1 (0.0%),-84,1 (0.0%),-120,1 (0.0%),93,1 (0.0%),-134,1 (0.0%),-95,1 (0.0%),20,1 (0.0%),-83,1 (0.0%),142,1 (0.0%),28,1 (0.0%),-116,1 (0.0%),23,1 (0.0%),72,1 (0.0%),41,1 (0.0%),73,1 (0.0%),-85,1 (0.0%),124,1 (0.0%),-49,1 (0.0%),37,1 (0.0%),6,1 (0.0%),16,1 (0.0%),-77,1 (0.0%),22,1 (0.0%),-119,1 (0.0%),-44,1 (0.0%),27,1 (0.0%),11,1 (0.0%),-70,1 (0.0%),-46,1 (0.0%),-48,1 (0.0%),8,1 (0.0%),57,1 (0.0%),88,1 (0.0%),19,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.99,515 (1.1),18.5,27.2,54.2,14.54
Miller-Plate71-D12,D28,3254,790 (24.28%),71.00%,0,943 (29.0%),-1,518 (15.9%),-6,338 (10.4%),-3,252 (7.7%),-4,198 (6.1%),-2,179 (5.5%),1,152 (4.7%),-7,65 (2.0%),-9,64 (2.0%),-5,59 (1.8%),-15,49 (1.5%),-10,36 (1.1%),-12,34 (1.0%),-8,28 (0.9%),-11,24 (0.7%),-13,19 (0.6%),-18,15 (0.5%),2,14 (0.4%),-19,14 (0.4%),-27,13 (0.4%),-16,10 (0.3%),-14,9 (0.3%),-25,9 (0.3%),-23,9 (0.3%),-32,9 (0.3%),-17,8 (0.2%),-30,8 (0.2%),-21,7 (0.2%),-40,7 (0.2%),-26,6 (0.2%),-34,6 (0.2%),-37,5 (0.2%),-24,5 (0.2%),-36,5 (0.2%),-101,5 (0.2%),64,5 (0.2%),-31,4 (0.1%),-33,4 (0.1%),-28,4 (0.1%),4,4 (0.1%),-39,4 (0.1%),-35,4 (0.1%),-22,3 (0.1%),-66,3 (0.1%),-20,3 (0.1%),5,3 (0.1%),39,3 (0.1%),109,3 (0.1%),20,3 (0.1%),10,3 (0.1%),-53,3 (0.1%),11,2 (0.1%),12,2 (0.1%),7,2 (0.1%),73,2 (0.1%),76,2 (0.1%),-82,2 (0.1%),-80,2 (0.1%),47,2 (0.1%),-42,2 (0.1%),3,2 (0.1%),-64,2 (0.1%),-129,2 (0.1%),24,2 (0.1%),-58,2 (0.1%),37,2 (0.1%),-112,2 (0.1%),70,2 (0.1%),-43,2 (0.1%),-41,2 (0.1%),30,1 (0.0%),-111,1 (0.0%),-77,1 (0.0%),-29,1 (0.0%),-119,1 (0.0%),103,1 (0.0%),23,1 (0.0%),-38,1 (0.0%),34,1 (0.0%),-116,1 (0.0%),18,1 (0.0%),-125,1 (0.0%),69,1 (0.0%),-45,1 (0.0%),-114,1 (0.0%),-185,1 (0.0%),102,1 (0.0%),74,1 (0.0%),-47,1 (0.0%),78,1 (0.0%),-153,1 (0.0%),100,1 (0.0%),-128,1 (0.0%),6,1 (0.0%),-97,1 (0.0%),-51,1 (0.0%),50,1 (0.0%),14,1 (0.0%),26,1 (0.0%),-73,1 (0.0%),60,1 (0.0%),108,1 (0.0%),-91,1 (0.0%),-50,1 (0.0%),97,1 (0.0%),52,1 (0.0%),-48,1 (0.0%),16,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,854 (1.1),29,25.4,45.6,24.28
Miller-Plate71-E12,D50,3404,1772 (52.06%),42.70%,0,1952 (57.3%),-1,404 (11.9%),-6,188 (5.5%),-3,137 (4.0%),-2,120 (3.5%),-4,99 (2.9%),1,80 (2.4%),-15,43 (1.3%),-5,39 (1.1%),-7,33 (1.0%),-9,33 (1.0%),-8,27 (0.8%),-13,21 (0.6%),-11,18 (0.5%),-10,17 (0.5%),-20,17 (0.5%),-19,12 (0.4%),-12,10 (0.3%),2,9 (0.3%),-25,8 (0.2%),-16,8 (0.2%),64,6 (0.2%),-27,6 (0.2%),-24,6 (0.2%),-18,6 (0.2%),-26,5 (0.1%),-14,5 (0.1%),-17,5 (0.1%),-28,5 (0.1%),4,4 (0.1%),-21,4 (0.1%),-31,4 (0.1%),-83,4 (0.1%),-29,3 (0.1%),-30,3 (0.1%),-40,3 (0.1%),-22,3 (0.1%),-35,2 (0.1%),109,2 (0.1%),-36,2 (0.1%),80,2 (0.1%),18,2 (0.1%),-39,2 (0.1%),-91,2 (0.1%),-47,2 (0.1%),42,2 (0.1%),39,2 (0.1%),-53,2 (0.1%),-23,2 (0.1%),-34,2 (0.1%),76,2 (0.1%),5,1 (0.0%),81,1 (0.0%),88,1 (0.0%),-66,1 (0.0%),26,1 (0.0%),119,1 (0.0%),21,1 (0.0%),94,1 (0.0%),-55,1 (0.0%),-51,1 (0.0%),137,1 (0.0%),8,1 (0.0%),43,1 (0.0%),92,1 (0.0%),-101,1 (0.0%),-64,1 (0.0%),44,1 (0.0%),103,1 (0.0%),65,1 (0.0%),-58,1 (0.0%),74,1 (0.0%),7,1 (0.0%),110,1 (0.0%),-129,1 (0.0%),24,1 (0.0%),49,1 (0.0%),38,1 (0.0%),79,1 (0.0%),-43,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01,1912 (1.1),57.3,13.3,29.4,52.06
