Name,Sample,Total,g127,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g127
Miller-Plate70-A09,HGGx99 wt,2339,2281 (97.52%),0.20%,0,2334 (99.8%),-1,5 (0.2%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.98,2353 (1.0),99.8,0,0.2,97.52
Miller-Plate70-A12,D3,2427,84 (3.46%),96.20%,1,424 (17.5%),-6,272 (11.2%),-2,236 (9.7%),-15,183 (7.5%),-7,171 (7.0%),-1,145 (6.0%),0,92 (3.8%),-3,87 (3.6%),-16,49 (2.0%),-8,44 (1.8%),-4,43 (1.8%),-5,41 (1.7%),-14,39 (1.6%),-13,32 (1.3%),-10,30 (1.2%),-11,27 (1.1%),-21,27 (1.1%),-12,26 (1.1%),-9,25 (1.0%),-17,24 (1.0%),-36,19 (0.8%),2,14 (0.6%),-116,14 (0.6%),-20,14 (0.6%),-24,12 (0.5%),-23,11 (0.5%),-33,10 (0.4%),-22,10 (0.4%),-18,9 (0.4%),-27,9 (0.4%),-39,8 (0.3%),-19,7 (0.3%),-25,6 (0.2%),-140,6 (0.2%),-137,6 (0.2%),-28,6 (0.2%),-112,5 (0.2%),-127,5 (0.2%),-80,5 (0.2%),-67,5 (0.2%),-53,5 (0.2%),-96,5 (0.2%),-202,5 (0.2%),-169,5 (0.2%),-168,5 (0.2%),-26,4 (0.2%),-30,4 (0.2%),-64,4 (0.2%),-210,4 (0.2%),-196,4 (0.2%),-50,4 (0.2%),-32,4 (0.2%),-177,3 (0.1%),-87,3 (0.1%),-151,3 (0.1%),-115,3 (0.1%),-188,3 (0.1%),-135,3 (0.1%),-31,3 (0.1%),-52,3 (0.1%),-43,3 (0.1%),-181,3 (0.1%),-51,3 (0.1%),-40,3 (0.1%),-63,3 (0.1%),-147,3 (0.1%),-236,3 (0.1%),-99,3 (0.1%),-81,3 (0.1%),-60,3 (0.1%),-42,2 (0.1%),-185,2 (0.1%),-142,2 (0.1%),-54,2 (0.1%),3,2 (0.1%),-72,2 (0.1%),-98,2 (0.1%),-139,2 (0.1%),41,2 (0.1%),-152,2 (0.1%),36,2 (0.1%),-29,2 (0.1%),-100,2 (0.1%),-117,2 (0.1%),-58,2 (0.1%),-46,2 (0.1%),-108,2 (0.1%),21,2 (0.1%),-220,2 (0.1%),-172,2 (0.1%),-105,2 (0.1%),25,2 (0.1%),-38,2 (0.1%),-69,2 (0.1%),-35,2 (0.1%),45,2 (0.1%),-161,2 (0.1%),-66,2 (0.1%),-109,2 (0.1%),-136,2 (0.1%),-222,2 (0.1%),-49,2 (0.1%),-145,2 (0.1%),77,2 (0.1%),-110,1 (0.0%),81,1 (0.0%),-141,1 (0.0%),-95,1 (0.0%),-153,1 (0.0%),-92,1 (0.0%),-179,1 (0.0%),-76,1 (0.0%),-186,1 (0.0%),90,1 (0.0%),-82,1 (0.0%),-189,1 (0.0%),7,1 (0.0%),-106,1 (0.0%),63,1 (0.0%),-89,1 (0.0%),-78,1 (0.0%),18,1 (0.0%),-104,1 (0.0%),82,1 (0.0%),39,1 (0.0%),60,1 (0.0%),-91,1 (0.0%),78,1 (0.0%),-47,1 (0.0%),-165,1 (0.0%),-102,1 (0.0%),-126,1 (0.0%),-130,1 (0.0%),-128,1 (0.0%),95,1 (0.0%),27,1 (0.0%),-164,1 (0.0%),-121,1 (0.0%),86,1 (0.0%),-107,1 (0.0%),-228,1 (0.0%),-83,1 (0.0%),37,1 (0.0%),44,1 (0.0%),-65,1 (0.0%),-114,1 (0.0%),-146,1 (0.0%),42,1 (0.0%),68,1 (0.0%),-158,1 (0.0%),-56,1 (0.0%),-34,1 (0.0%),-156,1 (0.0%),-144,1 (0.0%),-44,1 (0.0%),-167,1 (0.0%),-122,1 (0.0%),79,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.94,2311 (1.1),3.8,32.1,64.1,3.46
Miller-Plate70-B12,D14,2216,27 (1.22%),98.60%,1,325 (14.7%),-6,273 (12.3%),-15,218 (9.8%),-7,190 (8.6%),-2,147 (6.6%),-1,137 (6.2%),-3,92 (4.2%),-16,49 (2.2%),-9,41 (1.9%),-10,40 (1.8%),-4,38 (1.7%),-8,35 (1.6%),-14,32 (1.4%),0,31 (1.4%),-13,30 (1.4%),-12,28 (1.3%),-21,26 (1.2%),2,22 (1.0%),-11,19 (0.9%),-5,15 (0.7%),-22,14 (0.6%),-18,13 (0.6%),-23,13 (0.6%),-17,12 (0.5%),-36,12 (0.5%),-20,11 (0.5%),-27,11 (0.5%),-140,8 (0.4%),-28,8 (0.4%),-206,7 (0.3%),-146,7 (0.3%),-24,7 (0.3%),-35,7 (0.3%),-96,7 (0.3%),-166,6 (0.3%),-25,6 (0.3%),-116,6 (0.3%),-170,6 (0.3%),-95,6 (0.3%),-72,6 (0.3%),-149,5 (0.2%),-33,5 (0.2%),-53,5 (0.2%),-52,5 (0.2%),-212,5 (0.2%),-31,5 (0.2%),-54,5 (0.2%),-19,5 (0.2%),-185,4 (0.2%),-51,4 (0.2%),-189,3 (0.1%),-168,3 (0.1%),-44,3 (0.1%),-205,3 (0.1%),85,3 (0.1%),-190,3 (0.1%),-158,3 (0.1%),-73,3 (0.1%),-87,3 (0.1%),-78,3 (0.1%),-172,3 (0.1%),-161,3 (0.1%),-32,3 (0.1%),-256,3 (0.1%),-134,3 (0.1%),-75,3 (0.1%),-67,3 (0.1%),-104,3 (0.1%),-162,3 (0.1%),-159,2 (0.1%),-191,2 (0.1%),-58,2 (0.1%),-246,2 (0.1%),-59,2 (0.1%),-115,2 (0.1%),-79,2 (0.1%),-163,2 (0.1%),-186,2 (0.1%),-30,2 (0.1%),-164,2 (0.1%),-208,2 (0.1%),38,2 (0.1%),-157,2 (0.1%),31,2 (0.1%),-64,2 (0.1%),-60,2 (0.1%),-175,2 (0.1%),-42,2 (0.1%),-39,2 (0.1%),-144,2 (0.1%),-126,2 (0.1%),-80,2 (0.1%),-93,2 (0.1%),-45,2 (0.1%),-66,2 (0.1%),-220,2 (0.1%),-81,2 (0.1%),37,2 (0.1%),-147,2 (0.1%),-148,2 (0.1%),-68,2 (0.1%),-63,2 (0.1%),-41,2 (0.1%),-132,2 (0.1%),-61,2 (0.1%),3,2 (0.1%),-37,2 (0.1%),-125,2 (0.1%),-43,2 (0.1%),-109,1 (0.0%),69,1 (0.0%),-153,1 (0.0%),-77,1 (0.0%),-137,1 (0.0%),19,1 (0.0%),-118,1 (0.0%),-123,1 (0.0%),49,1 (0.0%),47,1 (0.0%),-103,1 (0.0%),-101,1 (0.0%),-135,1 (0.0%),12,1 (0.0%),-182,1 (0.0%),-165,1 (0.0%),-29,1 (0.0%),-88,1 (0.0%),-122,1 (0.0%),-105,1 (0.0%),32,1 (0.0%),92,1 (0.0%),-112,1 (0.0%),-200,1 (0.0%),43,1 (0.0%),-224,1 (0.0%),-86,1 (0.0%),-69,1 (0.0%),50,1 (0.0%),-100,1 (0.0%),63,1 (0.0%),-151,1 (0.0%),-70,1 (0.0%),-50,1 (0.0%),-113,1 (0.0%),-119,1 (0.0%),-138,1 (0.0%),-142,1 (0.0%),35,1 (0.0%),-40,1 (0.0%),81,1 (0.0%),-48,1 (0.0%),22,1 (0.0%),-98,1 (0.0%),-85,1 (0.0%),58,1 (0.0%),-152,1 (0.0%),-94,1 (0.0%),36,1 (0.0%),67,1 (0.0%),-107,1 (0.0%),-47,1 (0.0%),-91,1 (0.0%),48,1 (0.0%),7,1 (0.0%),-56,1 (0.0%),91,1 (0.0%),25,1 (0.0%),-111,1 (0.0%),54,1 (0.0%),-84,1 (0.0%),-71,1 (0.0%),-34,1 (0.0%),11,1 (0.0%),-141,1 (0.0%),-196,1 (0.0%),-74,1 (0.0%),-99,1 (0.0%),-108,1 (0.0%),-62,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.94,2080 (1.1),1.4,37,61.6,1.22
Miller-Plate70-C12,D21,2055,12 (0.58%),98.90%,-6,327 (15.9%),1,262 (12.7%),-15,215 (10.5%),-7,190 (9.2%),-2,129 (6.3%),-1,127 (6.2%),-3,77 (3.7%),-16,38 (1.8%),-9,34 (1.7%),-21,32 (1.6%),-10,32 (1.6%),-13,31 (1.5%),-12,30 (1.5%),-4,28 (1.4%),2,25 (1.2%),-8,23 (1.1%),0,22 (1.1%),-5,19 (0.9%),-11,19 (0.9%),-14,17 (0.8%),-17,14 (0.7%),-27,12 (0.6%),-116,11 (0.5%),-19,10 (0.5%),-25,10 (0.5%),-140,9 (0.4%),-24,9 (0.4%),-30,8 (0.4%),-39,8 (0.4%),-36,8 (0.4%),-18,7 (0.3%),-134,7 (0.3%),-133,6 (0.3%),-72,6 (0.3%),-158,6 (0.3%),-217,6 (0.3%),-23,6 (0.3%),-81,6 (0.3%),-87,6 (0.3%),-200,6 (0.3%),-137,5 (0.2%),-166,5 (0.2%),-160,5 (0.2%),-80,5 (0.2%),-66,5 (0.2%),-54,4 (0.2%),-33,4 (0.2%),-20,4 (0.2%),3,4 (0.2%),-165,4 (0.2%),-26,4 (0.2%),-51,4 (0.2%),-22,4 (0.2%),-84,4 (0.2%),-148,3 (0.1%),-189,3 (0.1%),-147,3 (0.1%),-85,3 (0.1%),-52,3 (0.1%),-35,3 (0.1%),-78,3 (0.1%),-91,3 (0.1%),-150,3 (0.1%),-127,3 (0.1%),-149,3 (0.1%),-31,3 (0.1%),-205,2 (0.1%),-63,2 (0.1%),-155,2 (0.1%),-159,2 (0.1%),-64,2 (0.1%),-28,2 (0.1%),4,2 (0.1%),-29,2 (0.1%),-105,2 (0.1%),-57,2 (0.1%),-212,2 (0.1%),-42,2 (0.1%),-41,2 (0.1%),-40,2 (0.1%),-69,2 (0.1%),-163,2 (0.1%),-79,2 (0.1%),-185,2 (0.1%),-170,2 (0.1%),-135,2 (0.1%),-44,2 (0.1%),-191,2 (0.1%),-109,2 (0.1%),-95,2 (0.1%),-225,2 (0.1%),-136,2 (0.1%),-104,2 (0.1%),-138,2 (0.1%),-174,2 (0.1%),26,2 (0.1%),5,2 (0.1%),-143,2 (0.1%),-112,2 (0.1%),93,1 (0.0%),-169,1 (0.0%),38,1 (0.0%),75,1 (0.0%),76,1 (0.0%),-172,1 (0.0%),-34,1 (0.0%),-32,1 (0.0%),-43,1 (0.0%),9,1 (0.0%),-164,1 (0.0%),-168,1 (0.0%),-83,1 (0.0%),-92,1 (0.0%),33,1 (0.0%),-124,1 (0.0%),7,1 (0.0%),63,1 (0.0%),107,1 (0.0%),65,1 (0.0%),-171,1 (0.0%),-56,1 (0.0%),-76,1 (0.0%),-90,1 (0.0%),-123,1 (0.0%),-203,1 (0.0%),62,1 (0.0%),29,1 (0.0%),-49,1 (0.0%),-71,1 (0.0%),-157,1 (0.0%),-96,1 (0.0%),-58,1 (0.0%),-53,1 (0.0%),39,1 (0.0%),-94,1 (0.0%),-45,1 (0.0%),-180,1 (0.0%),-70,1 (0.0%),-141,1 (0.0%),-108,1 (0.0%),-121,1 (0.0%),82,1 (0.0%),-154,1 (0.0%),-37,1 (0.0%),-97,1 (0.0%),-236,1 (0.0%),-246,1 (0.0%),19,1 (0.0%),-82,1 (0.0%),-128,1 (0.0%),-120,1 (0.0%),67,1 (0.0%),-156,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.94,1969 (1.1),1.1,42,56.9,0.58
Miller-Plate70-D12,D28,2285,37 (1.62%),97.80%,-6,377 (16.5%),-15,282 (12.3%),1,237 (10.4%),-7,193 (8.4%),-1,131 (5.7%),-3,121 (5.3%),-2,121 (5.3%),0,51 (2.2%),-16,51 (2.2%),-9,40 (1.8%),-10,40 (1.8%),-13,32 (1.4%),-12,30 (1.3%),-8,29 (1.3%),-21,25 (1.1%),-4,25 (1.1%),-36,24 (1.1%),-11,21 (0.9%),-14,19 (0.8%),2,18 (0.8%),-18,16 (0.7%),-63,14 (0.6%),-5,13 (0.6%),-27,12 (0.5%),-17,12 (0.5%),-189,11 (0.5%),-39,9 (0.4%),3,8 (0.4%),-149,8 (0.4%),-116,7 (0.3%),-22,7 (0.3%),-182,7 (0.3%),-24,7 (0.3%),-140,7 (0.3%),-81,7 (0.3%),-20,7 (0.3%),-147,6 (0.3%),-72,6 (0.3%),-23,6 (0.3%),-52,5 (0.2%),-54,5 (0.2%),-33,5 (0.2%),-215,5 (0.2%),-48,5 (0.2%),-78,5 (0.2%),-51,4 (0.2%),-111,4 (0.2%),-69,4 (0.2%),-87,4 (0.2%),-25,4 (0.2%),-107,4 (0.2%),-146,4 (0.2%),-42,4 (0.2%),-66,4 (0.2%),-134,4 (0.2%),-28,4 (0.2%),-171,4 (0.2%),-169,4 (0.2%),-212,4 (0.2%),-221,4 (0.2%),-150,4 (0.2%),-123,4 (0.2%),-210,3 (0.1%),-53,3 (0.1%),-136,3 (0.1%),-80,3 (0.1%),-185,3 (0.1%),-96,3 (0.1%),-93,3 (0.1%),-60,3 (0.1%),-200,3 (0.1%),-161,3 (0.1%),-44,3 (0.1%),-126,3 (0.1%),-58,2 (0.1%),-102,2 (0.1%),-143,2 (0.1%),6,2 (0.1%),-160,2 (0.1%),-59,2 (0.1%),-108,2 (0.1%),-109,2 (0.1%),19,2 (0.1%),-19,2 (0.1%),48,2 (0.1%),-181,2 (0.1%),-151,2 (0.1%),-70,2 (0.1%),-35,2 (0.1%),-201,2 (0.1%),-162,2 (0.1%),-106,2 (0.1%),-95,2 (0.1%),-131,2 (0.1%),-26,2 (0.1%),39,2 (0.1%),-194,2 (0.1%),-56,2 (0.1%),-79,2 (0.1%),-190,2 (0.1%),37,2 (0.1%),-76,1 (0.0%),-104,1 (0.0%),-83,1 (0.0%),-135,1 (0.0%),-138,1 (0.0%),-84,1 (0.0%),-37,1 (0.0%),91,1 (0.0%),15,1 (0.0%),52,1 (0.0%),-144,1 (0.0%),-94,1 (0.0%),28,1 (0.0%),57,1 (0.0%),-168,1 (0.0%),-43,1 (0.0%),-115,1 (0.0%),-46,1 (0.0%),-34,1 (0.0%),-164,1 (0.0%),-40,1 (0.0%),83,1 (0.0%),-38,1 (0.0%),-166,1 (0.0%),-133,1 (0.0%),5,1 (0.0%),-29,1 (0.0%),-65,1 (0.0%),23,1 (0.0%),-122,1 (0.0%),-186,1 (0.0%),-67,1 (0.0%),46,1 (0.0%),-91,1 (0.0%),-121,1 (0.0%),-155,1 (0.0%),-128,1 (0.0%),13,1 (0.0%),51,1 (0.0%),82,1 (0.0%),-154,1 (0.0%),-30,1 (0.0%),-193,1 (0.0%),-86,1 (0.0%),-127,1 (0.0%),80,1 (0.0%),-120,1 (0.0%),42,1 (0.0%),-99,1 (0.0%),-31,1 (0.0%),-45,1 (0.0%),-57,1 (0.0%),-132,1 (0.0%),-158,1 (0.0%),-153,1 (0.0%),78,1 (0.0%),72,1 (0.0%),-90,1 (0.0%),-112,1 (0.0%),20,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.94,2148 (1.1),2.2,48.1,49.6,1.62
Miller-Plate70-E12,D50,1780,24 (1.35%),98.20%,-6,400 (22.5%),-15,315 (17.7%),-7,142 (8.0%),1,111 (6.2%),-3,96 (5.4%),-1,94 (5.3%),-2,65 (3.7%),-9,43 (2.4%),-16,35 (2.0%),-12,33 (1.9%),0,32 (1.8%),-21,22 (1.2%),-8,21 (1.2%),-13,19 (1.1%),-10,19 (1.1%),-14,18 (1.0%),-11,16 (0.9%),-36,12 (0.7%),2,12 (0.7%),-4,11 (0.6%),-5,10 (0.6%),-189,9 (0.5%),-18,9 (0.5%),-19,8 (0.4%),-72,8 (0.4%),-168,7 (0.4%),-116,7 (0.4%),-24,6 (0.3%),-158,6 (0.3%),-63,6 (0.3%),-154,6 (0.3%),-27,6 (0.3%),-105,6 (0.3%),-39,6 (0.3%),-194,5 (0.3%),-66,5 (0.3%),3,5 (0.3%),-28,5 (0.3%),-71,4 (0.2%),-217,4 (0.2%),-17,4 (0.2%),-20,4 (0.2%),-82,4 (0.2%),-30,4 (0.2%),-25,4 (0.2%),-75,4 (0.2%),-23,4 (0.2%),-33,3 (0.2%),-173,3 (0.2%),-84,3 (0.2%),-200,3 (0.2%),-109,3 (0.2%),-182,3 (0.2%),-95,3 (0.2%),-60,3 (0.2%),-22,3 (0.2%),69,2 (0.1%),-92,2 (0.1%),-62,2 (0.1%),-46,2 (0.1%),63,2 (0.1%),-146,2 (0.1%),-123,2 (0.1%),-34,2 (0.1%),-179,2 (0.1%),34,2 (0.1%),-53,2 (0.1%),5,2 (0.1%),-42,2 (0.1%),-178,2 (0.1%),-150,2 (0.1%),-155,2 (0.1%),-58,2 (0.1%),51,2 (0.1%),-81,2 (0.1%),-111,2 (0.1%),-79,2 (0.1%),7,2 (0.1%),49,1 (0.1%),37,1 (0.1%),-31,1 (0.1%),-87,1 (0.1%),-26,1 (0.1%),-29,1 (0.1%),-149,1 (0.1%),-78,1 (0.1%),82,1 (0.1%),-151,1 (0.1%),33,1 (0.1%),6,1 (0.1%),56,1 (0.1%),-54,1 (0.1%),22,1 (0.1%),-52,1 (0.1%),-83,1 (0.1%),20,1 (0.1%),58,1 (0.1%),-50,1 (0.1%),41,1 (0.1%),-37,1 (0.1%),-61,1 (0.1%),-45,1 (0.1%),11,1 (0.1%),-121,1 (0.1%),-51,1 (0.1%),-107,1 (0.1%),-85,1 (0.1%),-86,1 (0.1%),-65,1 (0.1%),-40,1 (0.1%),-147,1 (0.1%),-103,1 (0.1%),62,1 (0.1%),-152,1 (0.1%),-143,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.96,1715 (1.1),1.8,58.1,40.1,1.35
