Name,Sample,Total,g2,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g2
Miller-Plate71-A05,HGGx99 wt,2523,2272 (90.05%),3.00%,0,2447 (97.0%),-1,66 (2.6%),1,9 (0.4%),-2,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.03,2482 (1.1),97,0,3,90.05
Miller-Plate71-A07,D3,2594,9 (0.35%),99.00%,-1,1153 (44.4%),1,357 (13.8%),-3,141 (5.4%),-2,95 (3.7%),-12,86 (3.3%),-4,83 (3.2%),-13,61 (2.4%),-6,52 (2.0%),-5,43 (1.7%),-10,42 (1.6%),-7,30 (1.2%),-18,28 (1.1%),0,27 (1.0%),-11,24 (0.9%),-15,20 (0.8%),-8,18 (0.7%),-9,16 (0.6%),-17,16 (0.6%),-20,14 (0.5%),-105,13 (0.5%),-14,12 (0.5%),-26,10 (0.4%),2,10 (0.4%),-25,9 (0.3%),-22,8 (0.3%),-21,8 (0.3%),-19,8 (0.3%),-44,7 (0.3%),-125,6 (0.2%),-23,6 (0.2%),-28,6 (0.2%),-32,6 (0.2%),-33,6 (0.2%),-75,5 (0.2%),-41,5 (0.2%),-24,5 (0.2%),-37,5 (0.2%),3,5 (0.2%),-30,4 (0.2%),-36,4 (0.2%),-114,3 (0.1%),-27,3 (0.1%),-38,3 (0.1%),13,3 (0.1%),-31,3 (0.1%),-101,3 (0.1%),-89,3 (0.1%),-47,3 (0.1%),-135,3 (0.1%),-35,3 (0.1%),-71,2 (0.1%),-50,2 (0.1%),-29,2 (0.1%),-123,2 (0.1%),-45,2 (0.1%),-49,2 (0.1%),-16,2 (0.1%),5,2 (0.1%),65,2 (0.1%),-54,2 (0.1%),-70,2 (0.1%),-62,2 (0.1%),-69,2 (0.1%),-87,2 (0.1%),-68,2 (0.1%),71,2 (0.1%),-170,2 (0.1%),-110,2 (0.1%),67,2 (0.1%),-108,2 (0.1%),-34,2 (0.1%),-106,2 (0.1%),-124,2 (0.1%),7,2 (0.1%),-84,2 (0.1%),-113,1 (0.0%),-46,1 (0.0%),59,1 (0.0%),-61,1 (0.0%),-79,1 (0.0%),-112,1 (0.0%),4,1 (0.0%),38,1 (0.0%),47,1 (0.0%),75,1 (0.0%),-72,1 (0.0%),61,1 (0.0%),21,1 (0.0%),-88,1 (0.0%),54,1 (0.0%),-103,1 (0.0%),-134,1 (0.0%),-100,1 (0.0%),-161,1 (0.0%),-52,1 (0.0%),-48,1 (0.0%),58,1 (0.0%),-185,1 (0.0%),-154,1 (0.0%),62,1 (0.0%),23,1 (0.0%),-104,1 (0.0%),-150,1 (0.0%),-83,1 (0.0%),-133,1 (0.0%),-51,1 (0.0%),-126,1 (0.0%),-81,1 (0.0%),10,1 (0.0%),-63,1 (0.0%),-80,1 (0.0%),-77,1 (0.0%),-152,1 (0.0%),-39,1 (0.0%),-120,1 (0.0%),-179,1 (0.0%),68,1 (0.0%),-136,1 (0.0%),69,1 (0.0%),27,1 (0.0%),-40,1 (0.0%),-166,1 (0.0%),-140,1 (0.0%),-188,1 (0.0%),-115,1 (0.0%),-138,1 (0.0%),44,1 (0.0%),80,1 (0.0%),-145,1 (0.0%),34,1 (0.0%),-107,1 (0.0%),-109,1 (0.0%),-59,1 (0.0%),-95,1 (0.0%),73,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01,10 (1.1),1,16.6,82.3,0.35
Miller-Plate71-B07,D14,2303,7 (0.30%),98.70%,-1,1050 (45.6%),1,339 (14.7%),-3,131 (5.7%),-12,74 (3.2%),-4,74 (3.2%),-2,71 (3.1%),-13,53 (2.3%),-5,41 (1.8%),0,31 (1.3%),-6,29 (1.3%),-10,27 (1.2%),-7,23 (1.0%),-11,21 (0.9%),2,20 (0.9%),-8,19 (0.8%),-18,17 (0.7%),-9,15 (0.7%),-20,11 (0.5%),-21,10 (0.4%),-26,9 (0.4%),-14,9 (0.4%),-125,8 (0.3%),-27,7 (0.3%),-15,7 (0.3%),-114,6 (0.3%),-17,6 (0.3%),-101,5 (0.2%),-105,5 (0.2%),-22,5 (0.2%),-46,5 (0.2%),-19,5 (0.2%),-51,5 (0.2%),-16,4 (0.2%),-32,4 (0.2%),-44,4 (0.2%),-30,4 (0.2%),-85,4 (0.2%),-35,3 (0.1%),-29,3 (0.1%),-33,3 (0.1%),-88,3 (0.1%),-52,3 (0.1%),3,3 (0.1%),-37,3 (0.1%),68,3 (0.1%),-38,3 (0.1%),-34,3 (0.1%),-39,3 (0.1%),-40,3 (0.1%),-23,3 (0.1%),-104,3 (0.1%),-66,2 (0.1%),-81,2 (0.1%),-147,2 (0.1%),66,2 (0.1%),-75,2 (0.1%),-71,2 (0.1%),-91,2 (0.1%),-42,2 (0.1%),-122,2 (0.1%),-139,2 (0.1%),-62,2 (0.1%),20,2 (0.1%),-90,2 (0.1%),-72,2 (0.1%),-120,2 (0.1%),-145,2 (0.1%),-126,2 (0.1%),-119,2 (0.1%),-31,2 (0.1%),-188,2 (0.1%),22,2 (0.1%),-36,2 (0.1%),-47,1 (0.0%),-178,1 (0.0%),-107,1 (0.0%),-65,1 (0.0%),-96,1 (0.0%),64,1 (0.0%),-53,1 (0.0%),4,1 (0.0%),35,1 (0.0%),-128,1 (0.0%),58,1 (0.0%),-54,1 (0.0%),69,1 (0.0%),-89,1 (0.0%),-206,1 (0.0%),-61,1 (0.0%),-25,1 (0.0%),-137,1 (0.0%),-153,1 (0.0%),71,1 (0.0%),-116,1 (0.0%),-82,1 (0.0%),-110,1 (0.0%),-68,1 (0.0%),-134,1 (0.0%),-115,1 (0.0%),29,1 (0.0%),-100,1 (0.0%),-117,1 (0.0%),67,1 (0.0%),-94,1 (0.0%),-164,1 (0.0%),-121,1 (0.0%),65,1 (0.0%),-185,1 (0.0%),-92,1 (0.0%),-69,1 (0.0%),-131,1 (0.0%),-118,1 (0.0%),-179,1 (0.0%),-93,1 (0.0%),-169,1 (0.0%),5,1 (0.0%),-112,1 (0.0%),73,1 (0.0%),-113,1 (0.0%),21,1 (0.0%),-77,1 (0.0%),-70,1 (0.0%),-41,1 (0.0%),79,1 (0.0%),-58,1 (0.0%),-24,1 (0.0%),15,1 (0.0%),-133,1 (0.0%),-237,1 (0.0%),6,1 (0.0%),-124,1 (0.0%),-59,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01,7 (1.0),1.3,15.3,83.3,0.3
Miller-Plate71-C07,D21,3422,6 (0.18%),99.10%,-1,1603 (46.8%),1,485 (14.2%),-3,182 (5.3%),-4,129 (3.8%),-2,117 (3.4%),-12,97 (2.8%),-13,70 (2.0%),-5,67 (2.0%),-10,53 (1.5%),-6,36 (1.1%),-9,34 (1.0%),2,31 (0.9%),-11,31 (0.9%),0,30 (0.9%),-8,24 (0.7%),-18,24 (0.7%),-7,19 (0.6%),-15,15 (0.4%),-125,14 (0.4%),-17,13 (0.4%),-26,13 (0.4%),-105,10 (0.3%),-14,10 (0.3%),-20,10 (0.3%),-44,9 (0.3%),-23,8 (0.2%),-16,7 (0.2%),-88,7 (0.2%),-101,7 (0.2%),-50,6 (0.2%),3,6 (0.2%),-21,6 (0.2%),-25,6 (0.2%),-93,6 (0.2%),4,5 (0.1%),-40,5 (0.1%),-48,5 (0.1%),-39,5 (0.1%),-95,5 (0.1%),-19,5 (0.1%),-117,5 (0.1%),-42,4 (0.1%),73,4 (0.1%),6,4 (0.1%),-27,4 (0.1%),-22,4 (0.1%),-32,4 (0.1%),-29,4 (0.1%),-30,4 (0.1%),-51,3 (0.1%),-200,3 (0.1%),-81,3 (0.1%),-37,3 (0.1%),-121,3 (0.1%),-56,3 (0.1%),-62,3 (0.1%),-104,3 (0.1%),-28,3 (0.1%),67,3 (0.1%),-82,3 (0.1%),-126,3 (0.1%),-97,3 (0.1%),-31,3 (0.1%),-100,3 (0.1%),-159,3 (0.1%),-46,3 (0.1%),-190,2 (0.1%),-35,2 (0.1%),-114,2 (0.1%),-109,2 (0.1%),-54,2 (0.1%),-84,2 (0.1%),-70,2 (0.1%),8,2 (0.1%),-77,2 (0.1%),-34,2 (0.1%),-133,2 (0.1%),-63,2 (0.1%),-128,2 (0.1%),-71,2 (0.1%),-78,2 (0.1%),-194,2 (0.1%),-36,2 (0.1%),-75,2 (0.1%),70,2 (0.1%),-98,2 (0.1%),69,2 (0.1%),-115,2 (0.1%),-106,2 (0.1%),-92,2 (0.1%),61,2 (0.1%),-61,1 (0.0%),-47,1 (0.0%),-124,1 (0.0%),-179,1 (0.0%),71,1 (0.0%),57,1 (0.0%),47,1 (0.0%),62,1 (0.0%),50,1 (0.0%),68,1 (0.0%),9,1 (0.0%),-52,1 (0.0%),-43,1 (0.0%),72,1 (0.0%),-175,1 (0.0%),31,1 (0.0%),-76,1 (0.0%),-96,1 (0.0%),34,1 (0.0%),23,1 (0.0%),-127,1 (0.0%),-118,1 (0.0%),49,1 (0.0%),-102,1 (0.0%),-145,1 (0.0%),-112,1 (0.0%),42,1 (0.0%),110,1 (0.0%),-157,1 (0.0%),51,1 (0.0%),-134,1 (0.0%),-181,1 (0.0%),-86,1 (0.0%),66,1 (0.0%),40,1 (0.0%),-38,1 (0.0%),-168,1 (0.0%),-90,1 (0.0%),-158,1 (0.0%),12,1 (0.0%),-94,1 (0.0%),-53,1 (0.0%),65,1 (0.0%),10,1 (0.0%),-57,1 (0.0%),-210,1 (0.0%),-193,1 (0.0%),-79,1 (0.0%),-41,1 (0.0%),-130,1 (0.0%),-80,1 (0.0%),-131,1 (0.0%),28,1 (0.0%),-69,1 (0.0%),-83,1 (0.0%),-120,1 (0.0%),-89,1 (0.0%),36,1 (0.0%),15,1 (0.0%),-148,1 (0.0%),5,1 (0.0%),24,1 (0.0%),-24,1 (0.0%),-64,1 (0.0%),-55,1 (0.0%),-144,1 (0.0%),22,1 (0.0%),-87,1 (0.0%),-143,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01,6 (1.0),0.9,14.5,84.6,0.18
Miller-Plate71-D07,D28,2673,3 (0.11%),99.40%,-1,1190 (44.5%),1,420 (15.7%),-3,139 (5.2%),-12,96 (3.6%),-2,95 (3.6%),-4,83 (3.1%),-13,57 (2.1%),-5,55 (2.1%),-10,43 (1.6%),-6,32 (1.2%),-18,29 (1.1%),2,28 (1.0%),-7,27 (1.0%),-8,21 (0.8%),-15,21 (0.8%),0,16 (0.6%),-11,15 (0.6%),-17,15 (0.6%),-9,14 (0.5%),-14,14 (0.5%),-20,13 (0.5%),-105,10 (0.4%),-125,9 (0.3%),-21,8 (0.3%),-19,7 (0.3%),-26,7 (0.3%),-44,6 (0.2%),-16,5 (0.2%),-25,5 (0.2%),-97,5 (0.2%),-23,4 (0.1%),-35,4 (0.1%),-77,4 (0.1%),-55,4 (0.1%),-75,4 (0.1%),-39,4 (0.1%),-30,4 (0.1%),-66,3 (0.1%),-28,3 (0.1%),-59,3 (0.1%),-88,3 (0.1%),3,3 (0.1%),-85,3 (0.1%),-37,3 (0.1%),-101,3 (0.1%),-132,3 (0.1%),-128,3 (0.1%),65,3 (0.1%),-31,3 (0.1%),-22,3 (0.1%),-130,3 (0.1%),-91,2 (0.1%),-102,2 (0.1%),-147,2 (0.1%),-94,2 (0.1%),-32,2 (0.1%),-33,2 (0.1%),-34,2 (0.1%),-113,2 (0.1%),-27,2 (0.1%),-106,2 (0.1%),-87,2 (0.1%),71,2 (0.1%),4,2 (0.1%),-76,2 (0.1%),-36,2 (0.1%),-114,2 (0.1%),-117,2 (0.1%),-24,2 (0.1%),-41,2 (0.1%),-152,2 (0.1%),-58,2 (0.1%),-50,2 (0.1%),41,2 (0.1%),-45,2 (0.1%),-98,2 (0.1%),-115,2 (0.1%),-93,2 (0.1%),-71,2 (0.1%),46,2 (0.1%),109,1 (0.0%),62,1 (0.0%),60,1 (0.0%),-143,1 (0.0%),64,1 (0.0%),-65,1 (0.0%),-110,1 (0.0%),-131,1 (0.0%),-107,1 (0.0%),-127,1 (0.0%),11,1 (0.0%),29,1 (0.0%),70,1 (0.0%),-51,1 (0.0%),35,1 (0.0%),-205,1 (0.0%),-62,1 (0.0%),-218,1 (0.0%),58,1 (0.0%),-200,1 (0.0%),-129,1 (0.0%),-95,1 (0.0%),50,1 (0.0%),-159,1 (0.0%),-133,1 (0.0%),73,1 (0.0%),67,1 (0.0%),-81,1 (0.0%),5,1 (0.0%),-112,1 (0.0%),66,1 (0.0%),-84,1 (0.0%),-52,1 (0.0%),-153,1 (0.0%),6,1 (0.0%),63,1 (0.0%),9,1 (0.0%),-42,1 (0.0%),-100,1 (0.0%),-92,1 (0.0%),-206,1 (0.0%),-70,1 (0.0%),-90,1 (0.0%),69,1 (0.0%),24,1 (0.0%),-121,1 (0.0%),-46,1 (0.0%),57,1 (0.0%),10,1 (0.0%),-145,1 (0.0%),-47,1 (0.0%),-53,1 (0.0%),-79,1 (0.0%),12,1 (0.0%),-120,1 (0.0%),-64,1 (0.0%),-54,1 (0.0%),-72,1 (0.0%),-141,1 (0.0%),-135,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.02,3 (1.0),0.6,15.5,83.9,0.11
Miller-Plate71-E07,D50,2200,7 (0.32%),98.80%,-1,936 (42.5%),1,344 (15.6%),-3,139 (6.3%),-4,84 (3.8%),-12,81 (3.7%),-2,79 (3.6%),-13,46 (2.1%),-10,46 (2.1%),-6,42 (1.9%),-5,39 (1.8%),-18,31 (1.4%),0,27 (1.2%),-7,20 (0.9%),2,18 (0.8%),-9,15 (0.7%),-17,12 (0.5%),-11,11 (0.5%),-125,10 (0.5%),-20,9 (0.4%),-105,9 (0.4%),-8,8 (0.4%),3,7 (0.3%),-16,7 (0.3%),-15,7 (0.3%),-14,6 (0.3%),-21,6 (0.3%),-32,5 (0.2%),-33,5 (0.2%),-23,5 (0.2%),-22,5 (0.2%),-26,4 (0.2%),-19,4 (0.2%),-34,4 (0.2%),-117,4 (0.2%),-114,4 (0.2%),-77,4 (0.2%),-85,3 (0.1%),-38,3 (0.1%),70,3 (0.1%),-150,3 (0.1%),-25,3 (0.1%),67,3 (0.1%),-35,3 (0.1%),-24,3 (0.1%),-89,3 (0.1%),-55,3 (0.1%),-44,2 (0.1%),-37,2 (0.1%),-140,2 (0.1%),-106,2 (0.1%),-104,2 (0.1%),-102,2 (0.1%),-50,2 (0.1%),-87,2 (0.1%),-91,2 (0.1%),-69,2 (0.1%),-81,2 (0.1%),-28,2 (0.1%),65,2 (0.1%),-101,2 (0.1%),69,2 (0.1%),-129,2 (0.1%),-109,2 (0.1%),-88,2 (0.1%),-29,2 (0.1%),72,2 (0.1%),-30,2 (0.1%),-135,2 (0.1%),24,1 (0.0%),-52,1 (0.0%),61,1 (0.0%),-39,1 (0.0%),20,1 (0.0%),-131,1 (0.0%),-76,1 (0.0%),11,1 (0.0%),-42,1 (0.0%),-46,1 (0.0%),-226,1 (0.0%),-41,1 (0.0%),-54,1 (0.0%),33,1 (0.0%),117,1 (0.0%),-103,1 (0.0%),42,1 (0.0%),-66,1 (0.0%),36,1 (0.0%),83,1 (0.0%),-56,1 (0.0%),-118,1 (0.0%),-166,1 (0.0%),96,1 (0.0%),-68,1 (0.0%),-27,1 (0.0%),59,1 (0.0%),-193,1 (0.0%),15,1 (0.0%),-161,1 (0.0%),112,1 (0.0%),-31,1 (0.0%),9,1 (0.0%),4,1 (0.0%),-111,1 (0.0%),-126,1 (0.0%),79,1 (0.0%),-92,1 (0.0%),73,1 (0.0%),-218,1 (0.0%),-86,1 (0.0%),29,1 (0.0%),66,1 (0.0%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,8 (1.1),1.2,17.7,81,0.32
