Name,Sample,Total,g1,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g1
Miller-Plate133-H01,HGGx99 wt,790,729 (92.278481013%),2.66%,0,769 (97.341772152%),-1,17 (2.151898734%),1,3 (0.379746835%),-2,1 (0.126582278%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.012106538,805 (1.104252401),97.3,0,2.7,92.27848101
Miller-Plate133-H02,g1 D3,732,191 (26.092896175%),71.17%,0,211 (28.825136612%),-1,135 (18.442622951%),-7,57 (7.786885246%),1,52 (7.103825137%),-2,30 (4.098360656%),-3,15 (2.049180328%),-15,14 (1.912568306%),-10,14 (1.912568306%),-4,13 (1.775956284%),-12,12 (1.639344262%),-18,12 (1.639344262%),-6,11 (1.502732240%),-14,10 (1.366120219%),-8,10 (1.366120219%),-5,9 (1.229508197%),-9,8 (1.092896175%),2,8 (1.092896175%),-20,7 (0.956284153%),-11,7 (0.956284153%),-29,6 (0.819672131%),-13,5 (0.683060109%),-26,5 (0.683060109%),-19,5 (0.683060109%),-16,5 (0.683060109%),-33,5 (0.683060109%),-31,4 (0.546448087%),-30,4 (0.546448087%),-135,3 (0.409836066%),3,3 (0.409836066%),-21,3 (0.409836066%),-17,3 (0.409836066%),46,2 (0.273224044%),-36,2 (0.273224044%),-23,2 (0.273224044%),-27,2 (0.273224044%),-25,2 (0.273224044%),-22,2 (0.273224044%),67,2 (0.273224044%),-164,2 (0.273224044%),-38,1 (0.136612022%),-84,1 (0.136612022%),-43,1 (0.136612022%),-147,1 (0.136612022%),-75,1 (0.136612022%),-156,1 (0.136612022%),88,1 (0.136612022%),92,1 (0.136612022%),86,1 (0.136612022%),-150,1 (0.136612022%),-28,1 (0.136612022%),-69,1 (0.136612022%),-159,1 (0.136612022%),-153,1 (0.136612022%),35,1 (0.136612022%),-81,1 (0.136612022%),-35,1 (0.136612022%),-83,1 (0.136612022%),59,1 (0.136612022%),-37,1 (0.136612022%),-116,1 (0.136612022%),-34,1 (0.136612022%),-100,1 (0.136612022%),-54,1 (0.136612022%),51,1 (0.136612022%),-41,1 (0.136612022%),-42,1 (0.136612022%),-73,1 (0.136612022%),-63,1 (0.136612022%),52,1 (0.136612022%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.010430248,215 (1.125654450),28.8,14.6,56.6,26.09289618
Miller-Plate133-H03,g1 D14,578,153 (26.470588235%),71.80%,0,163 (28.200692042%),-1,89 (15.397923875%),-7,59 (10.207612457%),-2,31 (5.363321799%),1,24 (4.152249135%),-8,13 (2.249134948%),-6,11 (1.903114187%),-20,10 (1.730103806%),-10,9 (1.557093426%),-4,8 (1.384083045%),-18,8 (1.384083045%),-15,8 (1.384083045%),-17,8 (1.384083045%),-13,7 (1.211072664%),-9,7 (1.211072664%),-28,7 (1.211072664%),-14,6 (1.038062284%),-27,6 (1.038062284%),-12,5 (0.865051903%),-19,5 (0.865051903%),-11,5 (0.865051903%),3,5 (0.865051903%),-21,4 (0.692041522%),-5,4 (0.692041522%),-25,4 (0.692041522%),-44,3 (0.519031142%),-65,3 (0.519031142%),-3,3 (0.519031142%),-33,3 (0.519031142%),-22,3 (0.519031142%),-29,3 (0.519031142%),2,3 (0.519031142%),22,2 (0.346020761%),-63,2 (0.346020761%),-26,2 (0.346020761%),-23,2 (0.346020761%),-102,2 (0.346020761%),-35,2 (0.346020761%),79,2 (0.346020761%),-34,2 (0.346020761%),-105,2 (0.346020761%),-75,2 (0.346020761%),-73,2 (0.346020761%),-30,2 (0.346020761%),-89,2 (0.346020761%),69,1 (0.173010381%),-96,1 (0.173010381%),89,1 (0.173010381%),-46,1 (0.173010381%),24,1 (0.173010381%),81,1 (0.173010381%),-41,1 (0.173010381%),-37,1 (0.173010381%),92,1 (0.173010381%),80,1 (0.173010381%),-36,1 (0.173010381%),-109,1 (0.173010381%),-47,1 (0.173010381%),-51,1 (0.173010381%),-149,1 (0.173010381%),-87,1 (0.173010381%),-85,1 (0.173010381%),-24,1 (0.173010381%),-32,1 (0.173010381%),-164,1 (0.173010381%),-90,1 (0.173010381%),-107,1 (0.173010381%),53,1 (0.173010381%),-74,1 (0.173010381%),-183,1 (0.173010381%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.003284072,171 (1.117647059),28.2,13.8,58,26.47058824
Miller-Plate133-H04,g1 D28,546,245 (44.871794872%),52.75%,0,258 (47.252747253%),-1,54 (9.890109890%),-7,47 (8.608058608%),1,31 (5.677655678%),-18,20 (3.663003663%),-2,16 (2.930402930%),-10,13 (2.380952381%),-20,8 (1.465201465%),-6,7 (1.282051282%),-19,6 (1.098901099%),-3,6 (1.098901099%),-17,5 (0.915750916%),-9,5 (0.915750916%),-63,5 (0.915750916%),2,4 (0.732600733%),-11,4 (0.732600733%),-8,4 (0.732600733%),-87,3 (0.549450549%),-12,3 (0.549450549%),-30,3 (0.549450549%),-93,3 (0.549450549%),-31,3 (0.549450549%),-5,3 (0.549450549%),-51,2 (0.366300366%),-16,2 (0.366300366%),-65,2 (0.366300366%),-158,2 (0.366300366%),14,2 (0.366300366%),-33,2 (0.366300366%),-14,2 (0.366300366%),-25,2 (0.366300366%),-29,2 (0.366300366%),-78,1 (0.183150183%),20,1 (0.183150183%),-4,1 (0.183150183%),-34,1 (0.183150183%),-27,1 (0.183150183%),-13,1 (0.183150183%),3,1 (0.183150183%),62,1 (0.183150183%),33,1 (0.183150183%),80,1 (0.183150183%),-41,1 (0.183150183%),-36,1 (0.183150183%),-28,1 (0.183150183%),4,1 (0.183150183%),-76,1 (0.183150183%),-89,1 (0.183150183%),-105,1 (0.183150183%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.015652174,268 (1.093877551),47.3,11.9,40.8,44.87179487
