Name,Sample,Total,g4,g7,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g4,%g7
Miller-Plate135-D07,HGGx99 wt,491,449 (91.446028513%),435 (88.594704684%),0.81%,0,487 (99.185336049%),-20,2 (0.407331976%),-24,1 (0.203665988%),3,1 (0.203665988%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.042424242,466 (1.037861915),99.2,0.4,0.4,91.44602851,88.59470468
Miller-Plate135-D02,g4 D3,162,4 (2.469135802%),129 (79.629629630%),97.53%,-16,18 (11.111111111%),-13,10 (6.172839506%),-6,6 (3.703703704%),-37,5 (3.086419753%),-33,5 (3.086419753%),-19,4 (2.469135802%),-25,4 (2.469135802%),0,4 (2.469135802%),-11,4 (2.469135802%),-28,4 (2.469135802%),-4,3 (1.851851852%),-30,3 (1.851851852%),-31,3 (1.851851852%),-9,3 (1.851851852%),-22,3 (1.851851852%),-44,3 (1.851851852%),-15,3 (1.851851852%),1,3 (1.851851852%),-49,3 (1.851851852%),-32,3 (1.851851852%),-10,3 (1.851851852%),-14,3 (1.851851852%),-48,2 (1.234567901%),-17,2 (1.234567901%),-8,2 (1.234567901%),-39,2 (1.234567901%),-2,2 (1.234567901%),-3,2 (1.234567901%),-12,2 (1.234567901%),-34,2 (1.234567901%),-21,2 (1.234567901%),-136,2 (1.234567901%),-27,2 (1.234567901%),-142,2 (1.234567901%),-119,2 (1.234567901%),-40,2 (1.234567901%),-52,1 (0.617283951%),-184,1 (0.617283951%),2,1 (0.617283951%),-133,1 (0.617283951%),-151,1 (0.617283951%),-50,1 (0.617283951%),-58,1 (0.617283951%),-127,1 (0.617283951%),-150,1 (0.617283951%),-87,1 (0.617283951%),-29,1 (0.617283951%),-113,1 (0.617283951%),-7,1 (0.617283951%),-54,1 (0.617283951%),-72,1 (0.617283951%),-114,1 (0.617283951%),-36,1 (0.617283951%),-107,1 (0.617283951%),-85,1 (0.617283951%),-63,1 (0.617283951%),-5,1 (0.617283951%),-1,1 (0.617283951%),-110,1 (0.617283951%),-59,1 (0.617283951%),-191,1 (0.617283951%),-120,1 (0.617283951%),-23,1 (0.617283951%),-111,1 (0.617283951%),-80,1 (0.617283951%),-82,1 (0.617283951%),-24,1 (0.617283951%),56,1 (0.617283951%),-73,1 (0.617283951%),-38,1 (0.617283951%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,2.357541899,5 (1.250000000),2.5,25.9,71.6,2.469135802,79.62962963
Miller-Plate135-D03,g4 D14,317,2 (0.630914826%),277 (87.381703470%),99.05%,-16,39 (12.302839117%),-6,31 (9.779179811%),-13,21 (6.624605678%),-19,13 (4.100946372%),-12,13 (4.100946372%),-25,12 (3.785488959%),-1,11 (3.470031546%),-37,11 (3.470031546%),-14,10 (3.154574132%),-2,9 (2.839116719%),-9,9 (2.839116719%),-3,8 (2.523659306%),-15,8 (2.523659306%),-10,8 (2.523659306%),-34,6 (1.892744479%),-22,6 (1.892744479%),-31,6 (1.892744479%),-32,5 (1.577287066%),-21,4 (1.261829653%),-5,4 (1.261829653%),-20,4 (1.261829653%),2,4 (1.261829653%),1,4 (1.261829653%),-7,4 (1.261829653%),-8,4 (1.261829653%),-28,3 (0.946372240%),0,3 (0.946372240%),-11,3 (0.946372240%),-18,3 (0.946372240%),-119,3 (0.946372240%),-17,3 (0.946372240%),-53,3 (0.946372240%),-33,3 (0.946372240%),-24,2 (0.630914826%),-56,2 (0.630914826%),-72,2 (0.630914826%),-23,2 (0.630914826%),-26,2 (0.630914826%),-27,2 (0.630914826%),-39,2 (0.630914826%),16,1 (0.315457413%),-43,1 (0.315457413%),17,1 (0.315457413%),-175,1 (0.315457413%),-38,1 (0.315457413%),-79,1 (0.315457413%),-88,1 (0.315457413%),-101,1 (0.315457413%),-40,1 (0.315457413%),-4,1 (0.315457413%),-30,1 (0.315457413%),-62,1 (0.315457413%),-41,1 (0.315457413%),-52,1 (0.315457413%),-113,1 (0.315457413%),-109,1 (0.315457413%),-60,1 (0.315457413%),-121,1 (0.315457413%),-57,1 (0.315457413%),-55,1 (0.315457413%),-61,1 (0.315457413%),-29,1 (0.315457413%),-68,1 (0.315457413%),-35,1 (0.315457413%),-120,1 (0.315457413%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.286135693,2 (1.000000000),0.9,28.7,70.3,0.630914826,87.38170347
Miller-Plate135-D04,g4 D28,571,11 (1.926444834%),496 (86.865148862%),97.90%,-6,72 (12.609457093%),-16,55 (9.632224168%),-3,35 (6.129597198%),-13,33 (5.779334501%),-2,28 (4.903677758%),-1,25 (4.378283713%),-9,19 (3.327495622%),-12,18 (3.152364273%),-25,17 (2.977232925%),1,13 (2.276707531%),-21,13 (2.276707531%),0,12 (2.101576182%),-20,11 (1.926444834%),-10,9 (1.576182137%),-28,8 (1.401050788%),-5,8 (1.401050788%),-31,8 (1.401050788%),-29,7 (1.225919440%),-14,7 (1.225919440%),-19,7 (1.225919440%),-34,7 (1.225919440%),-4,7 (1.225919440%),-8,7 (1.225919440%),-40,6 (1.050788091%),-7,6 (1.050788091%),-18,6 (1.050788091%),-22,6 (1.050788091%),-27,6 (1.050788091%),-11,5 (0.875656743%),-32,5 (0.875656743%),-37,5 (0.875656743%),-30,5 (0.875656743%),-38,4 (0.700525394%),-49,4 (0.700525394%),-35,3 (0.525394046%),-36,3 (0.525394046%),-42,3 (0.525394046%),-45,3 (0.525394046%),-33,3 (0.525394046%),-17,3 (0.525394046%),-15,3 (0.525394046%),-23,3 (0.525394046%),-24,3 (0.525394046%),-120,3 (0.525394046%),-26,3 (0.525394046%),-75,2 (0.350262697%),-68,2 (0.350262697%),-163,2 (0.350262697%),-153,2 (0.350262697%),-43,2 (0.350262697%),-50,2 (0.350262697%),-46,2 (0.350262697%),2,2 (0.350262697%),-107,2 (0.350262697%),-53,2 (0.350262697%),-147,1 (0.175131349%),53,1 (0.175131349%),-44,1 (0.175131349%),74,1 (0.175131349%),44,1 (0.175131349%),-148,1 (0.175131349%),38,1 (0.175131349%),-66,1 (0.175131349%),-138,1 (0.175131349%),-136,1 (0.175131349%),61,1 (0.175131349%),-56,1 (0.175131349%),-113,1 (0.175131349%),-62,1 (0.175131349%),4,1 (0.175131349%),-79,1 (0.175131349%),81,1 (0.175131349%),-98,1 (0.175131349%),-51,1 (0.175131349%),-74,1 (0.175131349%),-72,1 (0.175131349%),-47,1 (0.175131349%),-54,1 (0.175131349%),3,1 (0.175131349%),-58,1 (0.175131349%),-61,1 (0.175131349%),-48,1 (0.175131349%),-99,1 (0.175131349%),-134,1 (0.175131349%),45,1 (0.175131349%),-143,1 (0.175131349%),-126,1 (0.175131349%),-101,1 (0.175131349%),-39,1 (0.175131349%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.369817579,11 (1.000000000),2.1,37.1,60.8,1.926444834,86.86514886
Miller-Plate135-D08,g7 D3,303,266 (87.788778878%),4 (1.320132013%),99.01%,1,86 (28.382838284%),-7,32 (10.561056106%),-10,22 (7.260726073%),-14,14 (4.620462046%),-72,12 (3.960396040%),-5,11 (3.630363036%),-6,8 (2.640264026%),2,7 (2.310231023%),-2,7 (2.310231023%),-63,6 (1.980198020%),-1,5 (1.650165017%),-43,4 (1.320132013%),-16,4 (1.320132013%),-9,4 (1.320132013%),-75,4 (1.320132013%),-3,4 (1.320132013%),-4,3 (0.990099010%),0,3 (0.990099010%),-70,3 (0.990099010%),-67,3 (0.990099010%),-66,3 (0.990099010%),-96,3 (0.990099010%),-73,2 (0.660066007%),-8,2 (0.660066007%),-51,2 (0.660066007%),-57,2 (0.660066007%),3,2 (0.660066007%),-64,2 (0.660066007%),-184,2 (0.660066007%),-55,2 (0.660066007%),24,1 (0.330033003%),-185,1 (0.330033003%),-49,1 (0.330033003%),-119,1 (0.330033003%),-56,1 (0.330033003%),-20,1 (0.330033003%),-78,1 (0.330033003%),-68,1 (0.330033003%),-53,1 (0.330033003%),-90,1 (0.330033003%),-42,1 (0.330033003%),-89,1 (0.330033003%),-40,1 (0.330033003%),-13,1 (0.330033003%),-61,1 (0.330033003%),-148,1 (0.330033003%),-28,1 (0.330033003%),-29,1 (0.330033003%),-107,1 (0.330033003%),-82,1 (0.330033003%),-26,1 (0.330033003%),-54,1 (0.330033003%),-156,1 (0.330033003%),-113,1 (0.330033003%),4,1 (0.330033003%),-22,1 (0.330033003%),-86,1 (0.330033003%),-133,1 (0.330033003%),-48,1 (0.330033003%),-19,1 (0.330033003%),-21,1 (0.330033003%),-17,1 (0.330033003%),-117,1 (0.330033003%),-85,1 (0.330033003%),-137,1 (0.330033003%),-18,1 (0.330033003%),-79,1 (0.330033003%),-112,1 (0.330033003%),-81,1 (0.330033003%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,4.104790419,1059 (3.981203008),1,20.1,78.9,87.78877888,1.320132013
Miller-Plate135-D09,g7 D14,285,253 (88.771929825%),1 (0.350877193%),99.65%,1,67 (23.508771930%),-7,39 (13.684210526%),-10,26 (9.122807018%),-6,11 (3.859649123%),-63,11 (3.859649123%),-49,6 (2.105263158%),-60,5 (1.754385965%),-14,5 (1.754385965%),-4,5 (1.754385965%),-34,4 (1.403508772%),3,4 (1.403508772%),-5,4 (1.403508772%),-9,4 (1.403508772%),-1,4 (1.403508772%),-40,3 (1.052631579%),-116,3 (1.052631579%),-2,3 (1.052631579%),-3,3 (1.052631579%),-11,3 (1.052631579%),2,3 (1.052631579%),-72,3 (1.052631579%),-8,3 (1.052631579%),-12,2 (0.701754386%),18,2 (0.701754386%),-28,2 (0.701754386%),9,2 (0.701754386%),-84,2 (0.701754386%),-69,2 (0.701754386%),-19,2 (0.701754386%),-45,2 (0.701754386%),-54,2 (0.701754386%),45,2 (0.701754386%),-52,2 (0.701754386%),-59,2 (0.701754386%),-42,2 (0.701754386%),-15,2 (0.701754386%),67,1 (0.350877193%),-158,1 (0.350877193%),-73,1 (0.350877193%),24,1 (0.350877193%),-38,1 (0.350877193%),74,1 (0.350877193%),-68,1 (0.350877193%),-44,1 (0.350877193%),8,1 (0.350877193%),-74,1 (0.350877193%),-58,1 (0.350877193%),86,1 (0.350877193%),-17,1 (0.350877193%),-47,1 (0.350877193%),-114,1 (0.350877193%),84,1 (0.350877193%),28,1 (0.350877193%),-102,1 (0.350877193%),20,1 (0.350877193%),-22,1 (0.350877193%),-67,1 (0.350877193%),-70,1 (0.350877193%),5,1 (0.350877193%),-96,1 (0.350877193%),21,1 (0.350877193%),-71,1 (0.350877193%),37,1 (0.350877193%),72,1 (0.350877193%),0,1 (0.350877193%),-31,1 (0.350877193%),63,1 (0.350877193%),-29,1 (0.350877193%),-56,1 (0.350877193%),-16,1 (0.350877193%),47,1 (0.350877193%),-111,1 (0.350877193%),-166,1 (0.350877193%),-20,1 (0.350877193%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,2.178082192,573 (2.264822134),0.4,24.6,75.1,88.77192983,0.350877193
Miller-Plate135-D10,g7 D28,246,216 (87.804878049%),0 (0.000000000%),100.00%,1,44 (17.886178862%),-7,25 (10.162601626%),-10,18 (7.317073171%),-72,18 (7.317073171%),-6,13 (5.284552846%),-63,11 (4.471544715%),3,7 (2.845528455%),-5,6 (2.439024390%),-14,5 (2.032520325%),-19,4 (1.626016260%),2,4 (1.626016260%),-1,4 (1.626016260%),-11,3 (1.219512195%),-4,3 (1.219512195%),-94,3 (1.219512195%),-2,3 (1.219512195%),-48,3 (1.219512195%),-3,3 (1.219512195%),-31,3 (1.219512195%),-9,3 (1.219512195%),-60,2 (0.813008130%),-100,2 (0.813008130%),-52,2 (0.813008130%),-66,2 (0.813008130%),-22,2 (0.813008130%),69,2 (0.813008130%),-8,2 (0.813008130%),41,2 (0.813008130%),-28,2 (0.813008130%),-108,2 (0.813008130%),-40,2 (0.813008130%),-51,2 (0.813008130%),34,2 (0.813008130%),39,1 (0.406504065%),-158,1 (0.406504065%),88,1 (0.406504065%),-61,1 (0.406504065%),31,1 (0.406504065%),84,1 (0.406504065%),-32,1 (0.406504065%),72,1 (0.406504065%),-59,1 (0.406504065%),-89,1 (0.406504065%),-126,1 (0.406504065%),-34,1 (0.406504065%),-17,1 (0.406504065%),-12,1 (0.406504065%),67,1 (0.406504065%),33,1 (0.406504065%),-39,1 (0.406504065%),-44,1 (0.406504065%),47,1 (0.406504065%),68,1 (0.406504065%),25,1 (0.406504065%),-114,1 (0.406504065%),-78,1 (0.406504065%),10,1 (0.406504065%),-87,1 (0.406504065%),45,1 (0.406504065%),-13,1 (0.406504065%),-26,1 (0.406504065%),-70,1 (0.406504065%),6,1 (0.406504065%),-29,1 (0.406504065%),-96,1 (0.406504065%),-116,1 (0.406504065%),74,1 (0.406504065%),-68,1 (0.406504065%),-82,1 (0.406504065%),-113,1 (0.406504065%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,2.858267717,631 (2.921296296),0,32.9,67.1,87.80487805,0
