Name,Sample,Total,g4,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g4
Miller-Plate131-G07,HGGx6 wt,918,872 (94.989106754%),3.05%,0,890 (96.949891068%),-1,20 (2.178649237%),1,4 (0.435729847%),-2,2 (0.217864924%),-3,2 (0.217864924%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.025641026,929 (1.065366972),96.9,0.2,2.8,94.98910675
Miller-Plate131-G08,g4 D3,756,107 (14.153439153%),84.52%,-1,190 (25.132275132%),0,117 (15.476190476%),1,96 (12.698412698%),-2,66 (8.730158730%),-3,40 (5.291005291%),-9,17 (2.248677249%),-7,17 (2.248677249%),-5,14 (1.851851852%),-4,14 (1.851851852%),-10,12 (1.587301587%),2,12 (1.587301587%),-6,11 (1.455026455%),-16,10 (1.322751323%),-15,8 (1.058201058%),-21,8 (1.058201058%),-14,7 (0.925925926%),-8,7 (0.925925926%),-12,6 (0.793650794%),-19,5 (0.661375661%),-11,5 (0.661375661%),-37,5 (0.661375661%),-28,5 (0.661375661%),-17,4 (0.529100529%),3,3 (0.396825397%),-87,3 (0.396825397%),-45,3 (0.396825397%),-30,3 (0.396825397%),-27,3 (0.396825397%),-26,3 (0.396825397%),-13,2 (0.264550265%),-39,2 (0.264550265%),-25,2 (0.264550265%),-60,2 (0.264550265%),-62,2 (0.264550265%),-93,2 (0.264550265%),-18,2 (0.264550265%),-20,2 (0.264550265%),-90,2 (0.264550265%),-38,2 (0.264550265%),-22,2 (0.264550265%),-142,2 (0.264550265%),-117,2 (0.264550265%),-52,2 (0.264550265%),-78,1 (0.132275132%),4,1 (0.132275132%),-70,1 (0.132275132%),-51,1 (0.132275132%),-36,1 (0.132275132%),-74,1 (0.132275132%),-24,1 (0.132275132%),-147,1 (0.132275132%),-77,1 (0.132275132%),-50,1 (0.132275132%),-41,1 (0.132275132%),-104,1 (0.132275132%),51,1 (0.132275132%),-34,1 (0.132275132%),-207,1 (0.132275132%),-47,1 (0.132275132%),-123,1 (0.132275132%),-160,1 (0.132275132%),-89,1 (0.132275132%),-91,1 (0.132275132%),-33,1 (0.132275132%),-63,1 (0.132275132%),-141,1 (0.132275132%),-84,1 (0.132275132%),-75,1 (0.132275132%),-73,1 (0.132275132%),-31,1 (0.132275132%),-120,1 (0.132275132%),-64,1 (0.132275132%),5,1 (0.132275132%),-61,1 (0.132275132%),-48,1 (0.132275132%),7,1 (0.132275132%),-57,1 (0.132275132%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.008805031,114 (1.065420561),15.5,17.6,66.9,14.15343915
Miller-Plate131-G09,g4 D14,1156,24 (2.076124567%),96.71%,-1,283 (24.480968858%),1,154 (13.321799308%),-2,122 (10.553633218%),-3,95 (8.217993080%),-4,39 (3.373702422%),0,38 (3.287197232%),-9,33 (2.854671280%),-5,27 (2.335640138%),-21,22 (1.903114187%),-7,18 (1.557093426%),-28,16 (1.384083045%),-10,15 (1.297577855%),-6,15 (1.297577855%),2,14 (1.211072664%),-15,11 (0.951557093%),-18,10 (0.865051903%),-45,10 (0.865051903%),-17,10 (0.865051903%),-14,9 (0.778546713%),-13,9 (0.778546713%),-12,8 (0.692041522%),-8,8 (0.692041522%),-19,7 (0.605536332%),-38,7 (0.605536332%),-31,7 (0.605536332%),-39,6 (0.519031142%),-26,6 (0.519031142%),-32,6 (0.519031142%),-37,6 (0.519031142%),-24,5 (0.432525952%),-11,5 (0.432525952%),-52,5 (0.432525952%),-90,5 (0.432525952%),-62,4 (0.346020761%),-20,4 (0.346020761%),-33,4 (0.346020761%),-30,4 (0.346020761%),3,4 (0.346020761%),-54,4 (0.346020761%),-16,4 (0.346020761%),-49,4 (0.346020761%),-87,3 (0.259515571%),-25,3 (0.259515571%),-55,3 (0.259515571%),-27,3 (0.259515571%),-46,3 (0.259515571%),-22,3 (0.259515571%),-43,3 (0.259515571%),-48,3 (0.259515571%),-61,3 (0.259515571%),56,2 (0.173010381%),-109,2 (0.173010381%),-66,2 (0.173010381%),-75,2 (0.173010381%),-107,2 (0.173010381%),-35,2 (0.173010381%),-72,2 (0.173010381%),-64,2 (0.173010381%),-116,2 (0.173010381%),-77,2 (0.173010381%),-80,2 (0.173010381%),-94,2 (0.173010381%),-73,2 (0.173010381%),5,2 (0.173010381%),-41,2 (0.173010381%),-82,1 (0.086505190%),-68,1 (0.086505190%),-89,1 (0.086505190%),-110,1 (0.086505190%),-127,1 (0.086505190%),30,1 (0.086505190%),-120,1 (0.086505190%),-149,1 (0.086505190%),54,1 (0.086505190%),-121,1 (0.086505190%),-60,1 (0.086505190%),-83,1 (0.086505190%),-36,1 (0.086505190%),-76,1 (0.086505190%),-145,1 (0.086505190%),-91,1 (0.086505190%),-74,1 (0.086505190%),-65,1 (0.086505190%),-40,1 (0.086505190%),-70,1 (0.086505190%),-106,1 (0.086505190%),4,1 (0.086505190%),-42,1 (0.086505190%),-57,1 (0.086505190%),-95,1 (0.086505190%),59,1 (0.086505190%),-59,1 (0.086505190%),60,1 (0.086505190%),57,1 (0.086505190%),-144,1 (0.086505190%),-29,1 (0.086505190%),-97,1 (0.086505190%),35,1 (0.086505190%),45,1 (0.086505190%),43,1 (0.086505190%),-142,1 (0.086505190%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.990243902,26 (1.083333333),3.3,22.7,74,2.076124567
Miller-Plate131-G10,g4 D28,1014,18 (1.775147929%),96.65%,-1,235 (23.175542406%),1,114 (11.242603550%),-2,97 (9.566074951%),-3,86 (8.481262327%),-4,35 (3.451676529%),0,34 (3.353057199%),-5,32 (3.155818540%),-9,31 (3.057199211%),-7,23 (2.268244576%),-45,21 (2.071005917%),-21,20 (1.972386588%),-6,19 (1.873767258%),2,18 (1.775147929%),-10,15 (1.479289941%),-24,11 (1.084812623%),-18,11 (1.084812623%),-28,10 (0.986193294%),-15,10 (0.986193294%),-8,9 (0.887573964%),-12,9 (0.887573964%),-11,9 (0.887573964%),-13,8 (0.788954635%),-17,7 (0.690335306%),-16,7 (0.690335306%),-30,7 (0.690335306%),-38,7 (0.690335306%),-27,6 (0.591715976%),-31,6 (0.591715976%),-78,5 (0.493096647%),-23,5 (0.493096647%),-51,5 (0.493096647%),-33,5 (0.493096647%),-32,4 (0.394477318%),-19,4 (0.394477318%),-25,4 (0.394477318%),-20,4 (0.394477318%),-36,3 (0.295857988%),3,3 (0.295857988%),-70,3 (0.295857988%),-14,3 (0.295857988%),-29,3 (0.295857988%),-68,3 (0.295857988%),44,2 (0.197238659%),-39,2 (0.197238659%),-54,2 (0.197238659%),-66,2 (0.197238659%),-35,2 (0.197238659%),-37,2 (0.197238659%),-50,2 (0.197238659%),-56,2 (0.197238659%),-166,2 (0.197238659%),-104,2 (0.197238659%),-22,2 (0.197238659%),-46,2 (0.197238659%),-26,2 (0.197238659%),-109,2 (0.197238659%),53,2 (0.197238659%),-48,2 (0.197238659%),58,1 (0.098619329%),-60,1 (0.098619329%),9,1 (0.098619329%),-142,1 (0.098619329%),-62,1 (0.098619329%),-119,1 (0.098619329%),28,1 (0.098619329%),57,1 (0.098619329%),-81,1 (0.098619329%),-52,1 (0.098619329%),-42,1 (0.098619329%),-90,1 (0.098619329%),-74,1 (0.098619329%),-93,1 (0.098619329%),-88,1 (0.098619329%),-63,1 (0.098619329%),-102,1 (0.098619329%),-82,1 (0.098619329%),-101,1 (0.098619329%),-143,1 (0.098619329%),-61,1 (0.098619329%),36,1 (0.098619329%),-57,1 (0.098619329%),62,1 (0.098619329%),-69,1 (0.098619329%),-44,1 (0.098619329%),-86,1 (0.098619329%),-111,1 (0.098619329%),-118,1 (0.098619329%),48,1 (0.098619329%),-99,1 (0.098619329%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.989908257,18 (1.000000000),3.4,27.1,69.5,1.775147929
