Name,Sample,Total,g1,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g1
Miller-Plate131-C01,HGGx6 wt,1180,1102 (93.389830508%),1.44%,0,1163 (98.559322034%),-1,15 (1.271186441%),2,1 (0.084745763%),-2,1 (0.084745763%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.00902379,1181 (1.071687840),98.6,0,1.4,93.38983051
Miller-Plate131-C02,g1 D3,1602,191 (11.922596754%),87.14%,1,258 (16.104868914%),-1,233 (14.544319600%),0,206 (12.858926342%),-28,108 (6.741573034%),-2,93 (5.805243446%),-18,45 (2.808988764%),-8,45 (2.808988764%),-9,45 (2.808988764%),-3,38 (2.372034956%),-10,37 (2.309612984%),-7,33 (2.059925094%),-5,30 (1.872659176%),-4,28 (1.747815231%),-6,28 (1.747815231%),-12,26 (1.622971286%),-30,26 (1.622971286%),2,24 (1.498127341%),-11,24 (1.498127341%),-29,23 (1.435705368%),-15,23 (1.435705368%),-14,21 (1.310861423%),-16,18 (1.123595506%),-19,16 (0.998751561%),-13,16 (0.998751561%),-20,13 (0.811485643%),-22,9 (0.561797753%),-24,9 (0.561797753%),-26,8 (0.499375780%),-21,6 (0.374531835%),-23,5 (0.312109863%),-33,5 (0.312109863%),-25,4 (0.249687890%),3,4 (0.249687890%),-17,4 (0.249687890%),-64,3 (0.187265918%),-40,3 (0.187265918%),-68,3 (0.187265918%),-45,3 (0.187265918%),-27,3 (0.187265918%),-34,3 (0.187265918%),-79,3 (0.187265918%),-80,3 (0.187265918%),-62,3 (0.187265918%),5,2 (0.124843945%),-41,2 (0.124843945%),-48,2 (0.124843945%),-37,2 (0.124843945%),-91,2 (0.124843945%),99,2 (0.124843945%),-44,2 (0.124843945%),-42,2 (0.124843945%),-43,2 (0.124843945%),-58,2 (0.124843945%),-39,2 (0.124843945%),-56,2 (0.124843945%),-92,1 (0.062421973%),38,1 (0.062421973%),-76,1 (0.062421973%),122,1 (0.062421973%),-96,1 (0.062421973%),-31,1 (0.062421973%),-158,1 (0.062421973%),69,1 (0.062421973%),-81,1 (0.062421973%),-63,1 (0.062421973%),71,1 (0.062421973%),-36,1 (0.062421973%),107,1 (0.062421973%),-46,1 (0.062421973%),-105,1 (0.062421973%),-38,1 (0.062421973%),-109,1 (0.062421973%),-35,1 (0.062421973%),-93,1 (0.062421973%),-65,1 (0.062421973%),82,1 (0.062421973%),9,1 (0.062421973%),-61,1 (0.062421973%),-85,1 (0.062421973%),25,1 (0.062421973%),-54,1 (0.062421973%),-115,1 (0.062421973%),-97,1 (0.062421973%),-74,1 (0.062421973%),-136,1 (0.062421973%),-50,1 (0.062421973%),-32,1 (0.062421973%),-100,1 (0.062421973%),87,1 (0.062421973%),4,1 (0.062421973%),-51,1 (0.062421973%),43,1 (0.062421973%),83,1 (0.062421973%),-110,1 (0.062421973%),68,1 (0.062421973%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.999402628,204 (1.068062827),12.9,17.5,69.7,11.92259675
Miller-Plate131-C03,g1 D14,1866,34 (1.822079314%),97.05%,1,344 (18.435155413%),-1,270 (14.469453376%),-28,159 (8.520900322%),-2,109 (5.841371919%),-9,62 (3.322615220%),-18,61 (3.269024652%),-8,57 (3.054662379%),0,55 (2.947481243%),-3,53 (2.840300107%),-4,48 (2.572347267%),-6,45 (2.411575563%),-10,42 (2.250803859%),-29,41 (2.197213290%),-12,38 (2.036441586%),-5,35 (1.875669882%),-7,32 (1.714898178%),-13,31 (1.661307610%),-11,30 (1.607717042%),-30,29 (1.554126474%),-15,26 (1.393354770%),2,26 (1.393354770%),-16,21 (1.125401929%),-17,15 (0.803858521%),-14,15 (0.803858521%),-26,14 (0.750267953%),-25,13 (0.696677385%),-21,13 (0.696677385%),-22,12 (0.643086817%),-19,12 (0.643086817%),-24,10 (0.535905681%),-23,9 (0.482315113%),-20,9 (0.482315113%),-33,7 (0.375133976%),-43,5 (0.267952840%),-49,5 (0.267952840%),-68,4 (0.214362272%),-34,3 (0.160771704%),51,3 (0.160771704%),-89,3 (0.160771704%),-79,3 (0.160771704%),57,3 (0.160771704%),-50,3 (0.160771704%),-64,3 (0.160771704%),95,3 (0.160771704%),-39,2 (0.107181136%),-46,2 (0.107181136%),-38,2 (0.107181136%),3,2 (0.107181136%),38,2 (0.107181136%),-44,2 (0.107181136%),-93,2 (0.107181136%),77,2 (0.107181136%),64,2 (0.107181136%),6,2 (0.107181136%),-80,2 (0.107181136%),4,2 (0.107181136%),-27,2 (0.107181136%),-95,2 (0.107181136%),-42,2 (0.107181136%),32,2 (0.107181136%),67,1 (0.053590568%),-72,1 (0.053590568%),179,1 (0.053590568%),73,1 (0.053590568%),152,1 (0.053590568%),48,1 (0.053590568%),85,1 (0.053590568%),61,1 (0.053590568%),-97,1 (0.053590568%),94,1 (0.053590568%),55,1 (0.053590568%),23,1 (0.053590568%),-94,1 (0.053590568%),39,1 (0.053590568%),-41,1 (0.053590568%),42,1 (0.053590568%),30,1 (0.053590568%),-48,1 (0.053590568%),11,1 (0.053590568%),100,1 (0.053590568%),-31,1 (0.053590568%),134,1 (0.053590568%),69,1 (0.053590568%),-36,1 (0.053590568%),37,1 (0.053590568%),-106,1 (0.053590568%),-51,1 (0.053590568%),99,1 (0.053590568%),-65,1 (0.053590568%),80,1 (0.053590568%),-78,1 (0.053590568%),-69,1 (0.053590568%),36,1 (0.053590568%),-55,1 (0.053590568%),105,1 (0.053590568%),72,1 (0.053590568%),-52,1 (0.053590568%),49,1 (0.053590568%),28,1 (0.053590568%),74,1 (0.053590568%),111,1 (0.053590568%),-61,1 (0.053590568%),96,1 (0.053590568%),97,1 (0.053590568%),76,1 (0.053590568%),-100,1 (0.053590568%),-71,1 (0.053590568%),92,1 (0.053590568%),-73,1 (0.053590568%),34,1 (0.053590568%),91,1 (0.053590568%),-92,1 (0.053590568%),56,1 (0.053590568%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.985427136,38 (1.117647059),2.9,20.3,76.7,1.822079314
Miller-Plate131-C04,g1 D28,2000,29 (1.450000000%),97.85%,1,332 (16.600000000%),-1,302 (15.100000000%),-28,205 (10.250000000%),-2,125 (6.250000000%),-9,69 (3.450000000%),-18,64 (3.200000000%),-8,61 (3.050000000%),-10,57 (2.850000000%),-12,48 (2.400000000%),-7,47 (2.350000000%),-3,47 (2.350000000%),0,43 (2.150000000%),-30,42 (2.100000000%),-29,38 (1.900000000%),-6,38 (1.900000000%),-5,36 (1.800000000%),-15,34 (1.700000000%),2,31 (1.550000000%),-13,30 (1.500000000%),-16,29 (1.450000000%),-11,26 (1.300000000%),-4,25 (1.250000000%),-24,20 (1.000000000%),-17,16 (0.800000000%),-14,14 (0.700000000%),-43,13 (0.650000000%),-33,13 (0.650000000%),-25,11 (0.550000000%),-19,10 (0.500000000%),-20,10 (0.500000000%),-76,10 (0.500000000%),-68,8 (0.400000000%),-26,6 (0.300000000%),-31,6 (0.300000000%),-62,6 (0.300000000%),3,5 (0.250000000%),-23,5 (0.250000000%),-22,5 (0.250000000%),36,4 (0.200000000%),-35,3 (0.150000000%),-89,3 (0.150000000%),-39,3 (0.150000000%),-69,3 (0.150000000%),-52,3 (0.150000000%),-36,3 (0.150000000%),-48,3 (0.150000000%),-54,3 (0.150000000%),88,3 (0.150000000%),-50,3 (0.150000000%),-45,3 (0.150000000%),46,2 (0.100000000%),-21,2 (0.100000000%),-95,2 (0.100000000%),99,2 (0.100000000%),-38,2 (0.100000000%),-27,2 (0.100000000%),-53,2 (0.100000000%),57,2 (0.100000000%),-42,2 (0.100000000%),-80,2 (0.100000000%),8,2 (0.100000000%),-55,2 (0.100000000%),-40,2 (0.100000000%),-34,1 (0.050000000%),-66,1 (0.050000000%),29,1 (0.050000000%),102,1 (0.050000000%),10,1 (0.050000000%),5,1 (0.050000000%),91,1 (0.050000000%),87,1 (0.050000000%),41,1 (0.050000000%),45,1 (0.050000000%),96,1 (0.050000000%),27,1 (0.050000000%),38,1 (0.050000000%),75,1 (0.050000000%),20,1 (0.050000000%),83,1 (0.050000000%),-78,1 (0.050000000%),71,1 (0.050000000%),47,1 (0.050000000%),-91,1 (0.050000000%),50,1 (0.050000000%),100,1 (0.050000000%),6,1 (0.050000000%),-37,1 (0.050000000%),-105,1 (0.050000000%),35,1 (0.050000000%),-72,1 (0.050000000%),-81,1 (0.050000000%),51,1 (0.050000000%),112,1 (0.050000000%),-51,1 (0.050000000%),-106,1 (0.050000000%),97,1 (0.050000000%),152,1 (0.050000000%),25,1 (0.050000000%),81,1 (0.050000000%),74,1 (0.050000000%),-171,1 (0.050000000%),24,1 (0.050000000%),23,1 (0.050000000%),-104,1 (0.050000000%),54,1 (0.050000000%),-96,1 (0.050000000%),-56,1 (0.050000000%),58,1 (0.050000000%),-136,1 (0.050000000%),-97,1 (0.050000000%),94,1 (0.050000000%),-49,1 (0.050000000%),-41,1 (0.050000000%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.985459662,32 (1.103448276),2.1,21.6,76.3,1.45
