Name,Sample,Total,g21,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g21
Miller-Plate134-A07,HGGx99 wt,849,821 (96.702002356%),0.82%,0,842 (99.175500589%),-1,6 (0.706713781%),1,1 (0.117785630%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.025229358,884 (1.076735688),99.2,0,0.8,96.70200236
Miller-Plate134-A08,g21 D3,1102,26 (2.359346642%),96.28%,1,547 (49.637023593%),-1,123 (11.161524501%),0,41 (3.720508167%),-11,30 (2.722323049%),2,26 (2.359346642%),-3,26 (2.359346642%),-13,24 (2.177858439%),-9,22 (1.996370236%),-5,21 (1.905626134%),-7,21 (1.905626134%),-2,18 (1.633393829%),-10,18 (1.633393829%),-6,16 (1.451905626%),-20,14 (1.270417423%),-15,12 (1.088929220%),-8,11 (0.998185118%),-16,11 (0.998185118%),-4,10 (0.907441016%),-19,9 (0.816696915%),-17,8 (0.725952813%),3,6 (0.544464610%),-18,6 (0.544464610%),-29,5 (0.453720508%),-33,4 (0.362976407%),-12,4 (0.362976407%),-205,3 (0.272232305%),-181,2 (0.181488203%),-21,2 (0.181488203%),-103,2 (0.181488203%),-63,2 (0.181488203%),-171,2 (0.181488203%),-174,2 (0.181488203%),-66,2 (0.181488203%),-27,2 (0.181488203%),-96,2 (0.181488203%),-14,2 (0.181488203%),-40,2 (0.181488203%),-73,1 (0.090744102%),-169,1 (0.090744102%),-25,1 (0.090744102%),-170,1 (0.090744102%),65,1 (0.090744102%),-82,1 (0.090744102%),87,1 (0.090744102%),10,1 (0.090744102%),-177,1 (0.090744102%),-81,1 (0.090744102%),-76,1 (0.090744102%),-26,1 (0.090744102%),-133,1 (0.090744102%),-53,1 (0.090744102%),-189,1 (0.090744102%),6,1 (0.090744102%),-146,1 (0.090744102%),-141,1 (0.090744102%),-140,1 (0.090744102%),-123,1 (0.090744102%),90,1 (0.090744102%),-71,1 (0.090744102%),-157,1 (0.090744102%),4,1 (0.090744102%),-144,1 (0.090744102%),-126,1 (0.090744102%),-167,1 (0.090744102%),-159,1 (0.090744102%),66,1 (0.090744102%),-22,1 (0.090744102%),-212,1 (0.090744102%),-172,1 (0.090744102%),-190,1 (0.090744102%),5,1 (0.090744102%),-125,1 (0.090744102%),-28,1 (0.090744102%),-199,1 (0.090744102%),-24,1 (0.090744102%),-193,1 (0.090744102%),-37,1 (0.090744102%),-68,1 (0.090744102%),-32,1 (0.090744102%),-52,1 (0.090744102%),-56,1 (0.090744102%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.981620718,27 (1.038461538),3.7,11.2,85.1,2.359346642
Miller-Plate134-A09,g21 D14,788,14 (1.776649746%),96.83%,1,425 (53.934010152%),-1,79 (10.025380711%),0,25 (3.172588832%),-11,25 (3.172588832%),2,21 (2.664974619%),-7,21 (2.664974619%),-3,20 (2.538071066%),-9,17 (2.157360406%),-5,14 (1.776649746%),-6,13 (1.649746193%),-10,12 (1.522842640%),-13,11 (1.395939086%),-2,10 (1.269035533%),-19,9 (1.142131980%),-18,5 (0.634517766%),-17,5 (0.634517766%),-33,5 (0.634517766%),-4,5 (0.634517766%),-21,5 (0.634517766%),-20,5 (0.634517766%),-16,5 (0.634517766%),-8,4 (0.507614213%),-99,3 (0.380710660%),-39,3 (0.380710660%),-15,3 (0.380710660%),-32,3 (0.380710660%),-12,3 (0.380710660%),-109,2 (0.253807107%),-14,2 (0.253807107%),-31,2 (0.253807107%),-29,2 (0.253807107%),-23,2 (0.253807107%),3,2 (0.253807107%),-30,2 (0.253807107%),-179,1 (0.126903553%),35,1 (0.126903553%),-162,1 (0.126903553%),-22,1 (0.126903553%),65,1 (0.126903553%),-40,1 (0.126903553%),72,1 (0.126903553%),134,1 (0.126903553%),-49,1 (0.126903553%),90,1 (0.126903553%),16,1 (0.126903553%),5,1 (0.126903553%),-126,1 (0.126903553%),-28,1 (0.126903553%),-27,1 (0.126903553%),110,1 (0.126903553%),10,1 (0.126903553%),127,1 (0.126903553%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.976717113,16 (1.142857143),3.2,10.9,85.9,1.776649746
Miller-Plate134-A10,g21 D28,746,31 (4.155495979%),94.64%,1,390 (52.278820375%),-1,50 (6.702412869%),0,40 (5.361930295%),-11,31 (4.155495979%),-5,23 (3.083109920%),-3,20 (2.680965147%),-6,20 (2.680965147%),2,17 (2.278820375%),-7,13 (1.742627346%),-9,10 (1.340482574%),-13,10 (1.340482574%),-12,9 (1.206434316%),-10,9 (1.206434316%),-16,8 (1.072386059%),-19,7 (0.938337802%),-21,7 (0.938337802%),-170,7 (0.938337802%),-33,7 (0.938337802%),3,7 (0.938337802%),-2,6 (0.804289544%),-18,6 (0.804289544%),-8,5 (0.670241287%),-4,5 (0.670241287%),-20,4 (0.536193029%),-179,4 (0.536193029%),-17,3 (0.402144772%),6,3 (0.402144772%),-40,3 (0.402144772%),-103,2 (0.268096515%),-15,2 (0.268096515%),-24,2 (0.268096515%),4,2 (0.268096515%),-14,2 (0.268096515%),81,1 (0.134048257%),-140,1 (0.134048257%),-27,1 (0.134048257%),37,1 (0.134048257%),60,1 (0.134048257%),-23,1 (0.134048257%),14,1 (0.134048257%),107,1 (0.134048257%),-30,1 (0.134048257%),-25,1 (0.134048257%),-28,1 (0.134048257%),27,1 (0.134048257%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.965303594,42 (1.354838710),5.4,13.1,81.5,4.155495979
