Name,Sample,Total,g2,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g2
Miller-Plate133-E07,HGGx99 wt,1435,1364 (95.052264808%),0.28%,0,1431 (99.721254355%),-1,3 (0.209059233%),-2,1 (0.069686411%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.005438477,1444 (1.058651026),99.7,0,0.3,95.05226481
Miller-Plate133-E08,g2 D3,1137,10 (0.879507476%),98.24%,-1,186 (16.358839050%),-2,114 (10.026385224%),1,87 (7.651715040%),-5,78 (6.860158311%),-3,73 (6.420404573%),-13,73 (6.420404573%),-11,47 (4.133685136%),-8,47 (4.133685136%),-7,41 (3.605980651%),-16,28 (2.462620932%),-17,27 (2.374670185%),-24,27 (2.374670185%),-4,27 (2.374670185%),-6,26 (2.286719437%),2,25 (2.198768690%),-12,20 (1.759014952%),0,20 (1.759014952%),-10,17 (1.495162709%),-18,16 (1.407211961%),-19,15 (1.319261214%),-14,14 (1.231310466%),-9,11 (0.967458223%),-22,10 (0.879507476%),-20,10 (0.879507476%),-15,9 (0.791556728%),-27,7 (0.615655233%),3,7 (0.615655233%),-25,7 (0.615655233%),-21,5 (0.439753738%),-30,5 (0.439753738%),-32,5 (0.439753738%),-31,5 (0.439753738%),-29,4 (0.351802990%),4,3 (0.263852243%),-33,3 (0.263852243%),-28,3 (0.263852243%),-38,2 (0.175901495%),-44,2 (0.175901495%),-36,2 (0.175901495%),-37,2 (0.175901495%),-40,2 (0.175901495%),-41,2 (0.175901495%),45,2 (0.175901495%),50,2 (0.175901495%),-35,1 (0.087950748%),177,1 (0.087950748%),43,1 (0.087950748%),13,1 (0.087950748%),-42,1 (0.087950748%),-26,1 (0.087950748%),114,1 (0.087950748%),-34,1 (0.087950748%),105,1 (0.087950748%),-23,1 (0.087950748%),41,1 (0.087950748%),133,1 (0.087950748%),34,1 (0.087950748%),16,1 (0.087950748%),193,1 (0.087950748%),89,1 (0.087950748%),102,1 (0.087950748%),32,1 (0.087950748%),88,1 (0.087950748%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.015280136,10 (1.000000000),1.8,19.2,79.1,0.879507476
Miller-Plate133-E09,g2 D14,1723,17 (0.986651190%),97.97%,-1,235 (13.639001741%),-2,152 (8.821822403%),-5,124 (7.196749855%),1,121 (7.022634939%),-13,108 (6.268136970%),-3,100 (5.803830528%),-8,77 (4.468949507%),-7,73 (4.236796286%),-11,61 (3.540336622%),-12,56 (3.250145096%),-6,55 (3.192106790%),-17,52 (3.017991875%),-16,50 (2.901915264%),-19,42 (2.437608822%),2,40 (2.321532211%),-4,38 (2.205455601%),0,35 (2.031340685%),-24,31 (1.799187464%),-9,27 (1.567034243%),-14,26 (1.508995937%),-10,25 (1.450957632%),-15,17 (0.986651190%),-25,16 (0.928612885%),-22,16 (0.928612885%),-18,14 (0.812536274%),3,11 (0.638421358%),-20,10 (0.580383053%),4,6 (0.348229832%),-21,6 (0.348229832%),-29,6 (0.348229832%),-27,5 (0.290191526%),-26,4 (0.232153221%),-23,4 (0.232153221%),-30,4 (0.232153221%),7,4 (0.232153221%),-32,3 (0.174114916%),-31,3 (0.174114916%),35,3 (0.174114916%),-48,3 (0.174114916%),-39,3 (0.174114916%),-43,3 (0.174114916%),10,2 (0.116076611%),36,2 (0.116076611%),-28,2 (0.116076611%),48,2 (0.116076611%),55,1 (0.058038305%),-57,1 (0.058038305%),112,1 (0.058038305%),14,1 (0.058038305%),75,1 (0.058038305%),37,1 (0.058038305%),12,1 (0.058038305%),58,1 (0.058038305%),87,1 (0.058038305%),102,1 (0.058038305%),124,1 (0.058038305%),-47,1 (0.058038305%),158,1 (0.058038305%),161,1 (0.058038305%),125,1 (0.058038305%),-36,1 (0.058038305%),205,1 (0.058038305%),-50,1 (0.058038305%),133,1 (0.058038305%),96,1 (0.058038305%),11,1 (0.058038305%),-42,1 (0.058038305%),21,1 (0.058038305%),73,1 (0.058038305%),94,1 (0.058038305%),6,1 (0.058038305%),65,1 (0.058038305%),113,1 (0.058038305%),120,1 (0.058038305%),149,1 (0.058038305%),186,1 (0.058038305%),311,1 (0.058038305%),18,1 (0.058038305%),20,1 (0.058038305%),22,1 (0.058038305%),-35,1 (0.058038305%),93,1 (0.058038305%),41,1 (0.058038305%),70,1 (0.058038305%),67,1 (0.058038305%),56,1 (0.058038305%),92,1 (0.058038305%),134,1 (0.058038305%),-38,1 (0.058038305%),33,1 (0.058038305%),71,1 (0.058038305%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.024725275,19 (1.117647059),2,20.4,77.6,0.98665119
Miller-Plate133-E10,g2 D28,982,7 (0.712830957%),97.96%,-1,120 (12.219959267%),-2,90 (9.164969450%),-5,73 (7.433808554%),-13,70 (7.128309572%),-3,69 (7.026476578%),1,66 (6.720977597%),-8,37 (3.767820774%),-6,34 (3.462321792%),-4,29 (2.953156823%),-16,29 (2.953156823%),-12,29 (2.953156823%),-7,27 (2.749490835%),-24,24 (2.443991853%),2,23 (2.342158859%),-17,22 (2.240325866%),-11,21 (2.138492872%),-19,20 (2.036659878%),0,20 (2.036659878%),-10,19 (1.934826884%),-9,18 (1.832993890%),-22,13 (1.323828921%),-15,12 (1.221995927%),-25,9 (0.916496945%),-14,9 (0.916496945%),3,8 (0.814663951%),-20,8 (0.814663951%),-18,7 (0.712830957%),-23,5 (0.509164969%),-33,5 (0.509164969%),-26,4 (0.407331976%),-44,4 (0.407331976%),-38,3 (0.305498982%),-28,3 (0.305498982%),-32,3 (0.305498982%),-31,3 (0.305498982%),-36,2 (0.203665988%),-29,2 (0.203665988%),-27,2 (0.203665988%),37,2 (0.203665988%),-30,2 (0.203665988%),-47,1 (0.101832994%),84,1 (0.101832994%),6,1 (0.101832994%),13,1 (0.101832994%),4,1 (0.101832994%),88,1 (0.101832994%),82,1 (0.101832994%),36,1 (0.101832994%),-42,1 (0.101832994%),59,1 (0.101832994%),9,1 (0.101832994%),-21,1 (0.101832994%),35,1 (0.101832994%),39,1 (0.101832994%),112,1 (0.101832994%),131,1 (0.101832994%),10,1 (0.101832994%),-49,1 (0.101832994%),94,1 (0.101832994%),110,1 (0.101832994%),31,1 (0.101832994%),80,1 (0.101832994%),55,1 (0.101832994%),53,1 (0.101832994%),-40,1 (0.101832994%),23,1 (0.101832994%),24,1 (0.101832994%),28,1 (0.101832994%),5,1 (0.101832994%),104,1 (0.101832994%),-57,1 (0.101832994%),18,1 (0.101832994%),79,1 (0.101832994%),11,1 (0.101832994%),48,1 (0.101832994%),-46,1 (0.101832994%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.025120773,9 (1.285714286),2,22.7,75.3,0.712830957
