Name,Sample,Total,g4,g7,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g4,%g7
Miller-Plate135-G01,HGGx99 wt ,82,79 (96.341463415%),72 (87.804878049%),1.22%,0,81 (98.780487805%),-20,1 (1.219512195%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.06097561,80 (1.012658228),98.8,0,1.2,96.34146342,87.80487805
Miller-Plate135-G02,g4 D3,538,52 (9.665427509%),462 (85.873605948%),90.33%,0,52 (9.665427509%),-16,45 (8.364312268%),-6,28 (5.204460967%),-3,26 (4.832713755%),-1,24 (4.460966543%),-2,23 (4.275092937%),-25,17 (3.159851301%),-13,17 (3.159851301%),-12,15 (2.788104089%),-19,14 (2.602230483%),-37,14 (2.602230483%),-21,11 (2.044609665%),-32,11 (2.044609665%),-5,11 (2.044609665%),-7,10 (1.858736059%),-28,9 (1.672862454%),-8,8 (1.486988848%),1,8 (1.486988848%),-9,8 (1.486988848%),-10,8 (1.486988848%),-20,8 (1.486988848%),-33,8 (1.486988848%),-14,7 (1.301115242%),-11,7 (1.301115242%),-4,6 (1.115241636%),-38,6 (1.115241636%),-24,6 (1.115241636%),-23,6 (1.115241636%),-17,5 (0.929368030%),-22,5 (0.929368030%),-53,5 (0.929368030%),-34,5 (0.929368030%),-31,5 (0.929368030%),-18,5 (0.929368030%),-29,4 (0.743494424%),-27,4 (0.743494424%),-15,4 (0.743494424%),2,4 (0.743494424%),-119,4 (0.743494424%),-44,3 (0.557620818%),-30,3 (0.557620818%),-48,3 (0.557620818%),-36,3 (0.557620818%),-89,3 (0.557620818%),-39,2 (0.371747212%),-41,2 (0.371747212%),-43,2 (0.371747212%),-185,2 (0.371747212%),-50,2 (0.371747212%),-55,2 (0.371747212%),-49,2 (0.371747212%),4,2 (0.371747212%),-57,2 (0.371747212%),-45,2 (0.371747212%),-68,2 (0.371747212%),-46,2 (0.371747212%),-47,2 (0.371747212%),-155,1 (0.185873606%),11,1 (0.185873606%),-54,1 (0.185873606%),-62,1 (0.185873606%),-110,1 (0.185873606%),-87,1 (0.185873606%),-104,1 (0.185873606%),-70,1 (0.185873606%),-80,1 (0.185873606%),-120,1 (0.185873606%),-107,1 (0.185873606%),-113,1 (0.185873606%),-88,1 (0.185873606%),-60,1 (0.185873606%),-109,1 (0.185873606%),-151,1 (0.185873606%),-131,1 (0.185873606%),-166,1 (0.185873606%),-128,1 (0.185873606%),-98,1 (0.185873606%),-64,1 (0.185873606%),-79,1 (0.185873606%),-42,1 (0.185873606%),-66,1 (0.185873606%),-142,1 (0.185873606%),-58,1 (0.185873606%),7,1 (0.185873606%),-167,1 (0.185873606%),73,1 (0.185873606%),-182,1 (0.185873606%),-127,1 (0.185873606%),-102,1 (0.185873606%),-136,1 (0.185873606%),-69,1 (0.185873606%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.435714286,52 (1.000000000),9.7,25.7,64.7,9.665427509,85.87360595
Miller-Plate135-G03,g4 D14,897,97 (10.813823857%),764 (85.172798216%),87.74%,0,110 (12.263099220%),-3,78 (8.695652174%),-2,73 (8.138238573%),-6,72 (8.026755853%),-16,64 (7.134894091%),-1,63 (7.023411371%),-13,43 (4.793756968%),1,28 (3.121516165%),-25,23 (2.564102564%),-12,19 (2.118171683%),-19,17 (1.895206243%),-32,14 (1.560758082%),-8,13 (1.449275362%),-9,12 (1.337792642%),-21,12 (1.337792642%),-4,12 (1.337792642%),-5,11 (1.226309922%),-34,11 (1.226309922%),-11,11 (1.226309922%),-7,11 (1.226309922%),-14,10 (1.114827202%),-37,10 (1.114827202%),-10,9 (1.003344482%),-28,8 (0.891861761%),-15,8 (0.891861761%),-45,8 (0.891861761%),-120,7 (0.780379041%),-22,7 (0.780379041%),-33,7 (0.780379041%),-24,6 (0.668896321%),-26,6 (0.668896321%),-119,5 (0.557413601%),-46,5 (0.557413601%),2,5 (0.557413601%),-20,4 (0.445930881%),-53,4 (0.445930881%),-147,4 (0.445930881%),4,4 (0.445930881%),-38,4 (0.445930881%),-29,3 (0.334448161%),-47,3 (0.334448161%),-31,3 (0.334448161%),-41,3 (0.334448161%),-44,3 (0.334448161%),-39,3 (0.334448161%),-27,3 (0.334448161%),-42,3 (0.334448161%),-17,3 (0.334448161%),-49,2 (0.222965440%),-72,2 (0.222965440%),-85,2 (0.222965440%),-156,2 (0.222965440%),-18,2 (0.222965440%),-43,2 (0.222965440%),-159,2 (0.222965440%),-23,2 (0.222965440%),-107,2 (0.222965440%),-128,2 (0.222965440%),-173,2 (0.222965440%),3,2 (0.222965440%),-30,2 (0.222965440%),-48,1 (0.111482720%),52,1 (0.111482720%),42,1 (0.111482720%),-59,1 (0.111482720%),67,1 (0.111482720%),-35,1 (0.111482720%),-108,1 (0.111482720%),60,1 (0.111482720%),68,1 (0.111482720%),-50,1 (0.111482720%),79,1 (0.111482720%),-87,1 (0.111482720%),-63,1 (0.111482720%),50,1 (0.111482720%),-62,1 (0.111482720%),27,1 (0.111482720%),-131,1 (0.111482720%),-65,1 (0.111482720%),-82,1 (0.111482720%),-73,1 (0.111482720%),72,1 (0.111482720%),31,1 (0.111482720%),-40,1 (0.111482720%),77,1 (0.111482720%),13,1 (0.111482720%),-152,1 (0.111482720%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.139737991,99 (1.020618557),12.3,29.2,58.5,10.81382386,85.17279822
Miller-Plate135-G04,g4 D28,848,161 (18.985849057%),714 (84.198113208%),79.36%,0,175 (20.636792453%),-2,67 (7.900943396%),-16,62 (7.311320755%),-6,56 (6.603773585%),-1,56 (6.603773585%),-3,51 (6.014150943%),1,39 (4.599056604%),-120,14 (1.650943396%),-25,14 (1.650943396%),-7,14 (1.650943396%),-20,13 (1.533018868%),-12,12 (1.415094340%),-5,12 (1.415094340%),-14,11 (1.297169811%),-9,11 (1.297169811%),-19,11 (1.297169811%),-15,11 (1.297169811%),-28,11 (1.297169811%),-98,11 (1.297169811%),-8,11 (1.297169811%),-13,11 (1.297169811%),-29,10 (1.179245283%),-40,9 (1.061320755%),-31,8 (0.943396226%),-10,8 (0.943396226%),-32,7 (0.825471698%),-18,7 (0.825471698%),-26,7 (0.825471698%),-30,6 (0.707547170%),-33,6 (0.707547170%),-126,6 (0.707547170%),-4,5 (0.589622642%),-37,5 (0.589622642%),-111,5 (0.589622642%),2,5 (0.589622642%),-22,5 (0.589622642%),-21,4 (0.471698113%),-60,4 (0.471698113%),-17,4 (0.471698113%),-38,4 (0.471698113%),-11,4 (0.471698113%),-54,3 (0.353773585%),-45,3 (0.353773585%),-44,3 (0.353773585%),-119,3 (0.353773585%),-39,3 (0.353773585%),-46,2 (0.235849057%),-81,2 (0.235849057%),-66,2 (0.235849057%),76,2 (0.235849057%),-27,2 (0.235849057%),-24,2 (0.235849057%),-62,2 (0.235849057%),68,2 (0.235849057%),-87,2 (0.235849057%),-23,2 (0.235849057%),55,1 (0.117924528%),-50,1 (0.117924528%),-63,1 (0.117924528%),61,1 (0.117924528%),-49,1 (0.117924528%),-41,1 (0.117924528%),-34,1 (0.117924528%),-116,1 (0.117924528%),3,1 (0.117924528%),5,1 (0.117924528%),-59,1 (0.117924528%),-65,1 (0.117924528%),-136,1 (0.117924528%),65,1 (0.117924528%),-47,1 (0.117924528%),-89,1 (0.117924528%),-36,1 (0.117924528%),45,1 (0.117924528%),-61,1 (0.117924528%),67,1 (0.117924528%),75,1 (0.117924528%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.084490741,167 (1.037267081),20.6,25.6,53.8,18.98584906,84.19811321
