Name,Sample,Total,g10,g20,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g10,%g20
Miller-Plate132-D07,HGGx6 wt,1791,1688 (94.249022892%),1674 (93.467336683%),2.29%,0,1750 (97.710776103%),-1,38 (2.121719710%),1,2 (0.111669458%),-2,1 (0.055834729%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.005901288,1828 (1.082938389),97.7,0,2.3,94.24902289,93.46733668
Miller-Plate132-D08,g10 D3,1138,200 (17.574692443%),1049 (92.179261863%),80.84%,-1,457 (40.158172232%),0,218 (19.156414763%),1,100 (8.787346221%),-6,53 (4.657293497%),-2,31 (2.724077329%),-17,20 (1.757469244%),2,17 (1.493848858%),-9,14 (1.230228471%),-18,13 (1.142355009%),-7,13 (1.142355009%),-19,12 (1.054481547%),-3,12 (1.054481547%),-23,11 (0.966608084%),-16,10 (0.878734622%),-5,9 (0.790861160%),-8,9 (0.790861160%),-20,7 (0.615114236%),-12,7 (0.615114236%),-13,7 (0.615114236%),-14,6 (0.527240773%),-11,6 (0.527240773%),-4,5 (0.439367311%),-22,5 (0.439367311%),-57,4 (0.351493849%),-51,4 (0.351493849%),-33,4 (0.351493849%),-15,4 (0.351493849%),-32,3 (0.263620387%),-24,3 (0.263620387%),-25,3 (0.263620387%),-21,3 (0.263620387%),-10,3 (0.263620387%),-42,3 (0.263620387%),-87,2 (0.175746924%),-38,2 (0.175746924%),-37,2 (0.175746924%),63,2 (0.175746924%),-26,2 (0.175746924%),-58,2 (0.175746924%),-48,2 (0.175746924%),-170,1 (0.087873462%),-132,1 (0.087873462%),-99,1 (0.087873462%),-81,1 (0.087873462%),-39,1 (0.087873462%),-77,1 (0.087873462%),-143,1 (0.087873462%),55,1 (0.087873462%),-83,1 (0.087873462%),93,1 (0.087873462%),-71,1 (0.087873462%),3,1 (0.087873462%),-62,1 (0.087873462%),-27,1 (0.087873462%),22,1 (0.087873462%),-29,1 (0.087873462%),-72,1 (0.087873462%),-106,1 (0.087873462%),-90,1 (0.087873462%),-46,1 (0.087873462%),-40,1 (0.087873462%),85,1 (0.087873462%),-122,1 (0.087873462%),-54,1 (0.087873462%),-59,1 (0.087873462%),8,1 (0.087873462%),-45,1 (0.087873462%),-155,1 (0.087873462%),-167,1 (0.087873462%),72,1 (0.087873462%),-196,1 (0.087873462%),83,1 (0.087873462%),-96,1 (0.087873462%),-30,1 (0.087873462%),-56,1 (0.087873462%),-41,1 (0.087873462%),92,1 (0.087873462%),-116,1 (0.087873462%),78,1 (0.087873462%),-74,1 (0.087873462%),-189,1 (0.087873462%),-134,1 (0.087873462%),-183,1 (0.087873462%),-80,1 (0.087873462%),-114,1 (0.087873462%),-35,1 (0.087873462%),-66,1 (0.087873462%),-47,1 (0.087873462%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.010779436,225 (1.125000000),19.2,13.1,67.8,17.57469244,92.17926186
Miller-Plate132-D09,g10 D14,1057,322 (30.463576159%),961 (90.917691580%),67.27%,0,346 (32.734153264%),-1,299 (28.287606433%),-6,103 (9.744560076%),1,59 (5.581835383%),-2,31 (2.932828761%),-9,21 (1.986754967%),-17,14 (1.324503311%),-3,13 (1.229895932%),2,11 (1.040681173%),-15,9 (0.851466414%),-7,9 (0.851466414%),-23,8 (0.756859035%),-20,8 (0.756859035%),-12,7 (0.662251656%),-5,6 (0.567644276%),-19,6 (0.567644276%),-13,5 (0.473036897%),-24,5 (0.473036897%),-158,5 (0.473036897%),-18,4 (0.378429518%),-10,3 (0.283822138%),-223,3 (0.283822138%),-83,3 (0.283822138%),-31,3 (0.283822138%),-11,2 (0.189214759%),-4,2 (0.189214759%),-32,2 (0.189214759%),-25,2 (0.189214759%),-65,2 (0.189214759%),-16,2 (0.189214759%),-204,2 (0.189214759%),-87,2 (0.189214759%),-171,2 (0.189214759%),42,2 (0.189214759%),-30,2 (0.189214759%),-156,2 (0.189214759%),3,2 (0.189214759%),-22,2 (0.189214759%),-59,2 (0.189214759%),-14,2 (0.189214759%),-78,2 (0.189214759%),-54,2 (0.189214759%),-26,2 (0.189214759%),-75,2 (0.189214759%),-8,2 (0.189214759%),-106,1 (0.094607379%),-38,1 (0.094607379%),-62,1 (0.094607379%),45,1 (0.094607379%),-36,1 (0.094607379%),-99,1 (0.094607379%),10,1 (0.094607379%),-77,1 (0.094607379%),-105,1 (0.094607379%),-66,1 (0.094607379%),-44,1 (0.094607379%),-35,1 (0.094607379%),90,1 (0.094607379%),32,1 (0.094607379%),95,1 (0.094607379%),-21,1 (0.094607379%),-33,1 (0.094607379%),-46,1 (0.094607379%),-39,1 (0.094607379%),64,1 (0.094607379%),-40,1 (0.094607379%),72,1 (0.094607379%),-143,1 (0.094607379%),-55,1 (0.094607379%),59,1 (0.094607379%),26,1 (0.094607379%),-128,1 (0.094607379%),-89,1 (0.094607379%),89,1 (0.094607379%),-53,1 (0.094607379%),-45,1 (0.094607379%),58,1 (0.094607379%),-93,1 (0.094607379%),-201,1 (0.094607379%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.006283662,359 (1.114906832),32.7,18.4,48.8,30.46357616,90.91769158
Miller-Plate132-D10,g10 D28,1153,650 (56.374674761%),1051 (91.153512576%),41.37%,0,676 (58.629661752%),-1,163 (14.137033825%),-6,113 (9.800520382%),1,32 (2.775368604%),-2,14 (1.214223764%),-9,11 (0.954032958%),-11,10 (0.867302689%),-17,8 (0.693842151%),-21,7 (0.607111882%),2,7 (0.607111882%),-13,7 (0.607111882%),-23,6 (0.520381613%),-12,5 (0.433651344%),-15,5 (0.433651344%),-105,5 (0.433651344%),-48,4 (0.346921075%),-3,4 (0.346921075%),-4,4 (0.346921075%),-14,4 (0.346921075%),-18,4 (0.346921075%),-8,3 (0.260190807%),-16,3 (0.260190807%),-86,3 (0.260190807%),-5,3 (0.260190807%),-96,3 (0.260190807%),-26,2 (0.173460538%),-77,2 (0.173460538%),-102,2 (0.173460538%),-7,2 (0.173460538%),-181,2 (0.173460538%),3,2 (0.173460538%),-10,2 (0.173460538%),-85,2 (0.173460538%),-19,2 (0.173460538%),-64,2 (0.173460538%),-72,1 (0.086730269%),-38,1 (0.086730269%),-24,1 (0.086730269%),-120,1 (0.086730269%),-78,1 (0.086730269%),48,1 (0.086730269%),-22,1 (0.086730269%),-52,1 (0.086730269%),-112,1 (0.086730269%),-132,1 (0.086730269%),-177,1 (0.086730269%),6,1 (0.086730269%),-25,1 (0.086730269%),19,1 (0.086730269%),-45,1 (0.086730269%),-65,1 (0.086730269%),-37,1 (0.086730269%),-28,1 (0.086730269%),40,1 (0.086730269%),84,1 (0.086730269%),-188,1 (0.086730269%),31,1 (0.086730269%),37,1 (0.086730269%),100,1 (0.086730269%),45,1 (0.086730269%),-213,1 (0.086730269%),-27,1 (0.086730269%),-91,1 (0.086730269%),-133,1 (0.086730269%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.980408163,701 (1.078461538),58.6,15.4,25.9,56.37467476,91.15351258
