Name,Sample,Total,g2,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g2
Miller-Plate131-E07,HGGx6 wt,983,934 (95.015259410%),0.51%,0,978 (99.491353001%),-1,4 (0.406917599%),-4,1 (0.101729400%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.007897335,995 (1.065310493),99.5,0,0.5,95.01525941
Miller-Plate131-E08,g2 D3,1509,70 (4.638833665%),94.10%,-1,415 (27.501656726%),-2,133 (8.813783963%),1,120 (7.952286282%),0,89 (5.897945659%),-5,72 (4.771371769%),-3,56 (3.711066932%),-13,55 (3.644797879%),-8,51 (3.379721670%),-11,46 (3.048376408%),-7,37 (2.451954937%),2,36 (2.385685885%),-4,35 (2.319416832%),-24,33 (2.186878728%),-12,31 (2.054340623%),-6,29 (1.921802518%),-10,27 (1.789264414%),-17,26 (1.722995361%),-16,26 (1.722995361%),-14,20 (1.325381047%),-15,19 (1.259111995%),-9,19 (1.259111995%),-19,15 (0.994035785%),-25,14 (0.927766733%),-18,11 (0.728959576%),3,8 (0.530152419%),-22,7 (0.463883366%),-23,5 (0.331345262%),-20,5 (0.331345262%),-32,4 (0.265076209%),-26,3 (0.198807157%),113,2 (0.132538105%),62,2 (0.132538105%),-38,2 (0.132538105%),47,2 (0.132538105%),-36,2 (0.132538105%),-21,2 (0.132538105%),-29,2 (0.132538105%),-31,2 (0.132538105%),-50,2 (0.132538105%),4,2 (0.132538105%),-48,2 (0.132538105%),-30,2 (0.132538105%),88,1 (0.066269052%),65,1 (0.066269052%),48,1 (0.066269052%),46,1 (0.066269052%),86,1 (0.066269052%),103,1 (0.066269052%),38,1 (0.066269052%),76,1 (0.066269052%),-40,1 (0.066269052%),7,1 (0.066269052%),134,1 (0.066269052%),20,1 (0.066269052%),174,1 (0.066269052%),179,1 (0.066269052%),23,1 (0.066269052%),55,1 (0.066269052%),-57,1 (0.066269052%),93,1 (0.066269052%),162,1 (0.066269052%),-35,1 (0.066269052%),-45,1 (0.066269052%),79,1 (0.066269052%),25,1 (0.066269052%),15,1 (0.066269052%),154,1 (0.066269052%),67,1 (0.066269052%),49,1 (0.066269052%),-47,1 (0.066269052%),34,1 (0.066269052%),-37,1 (0.066269052%),85,1 (0.066269052%),69,1 (0.066269052%),54,1 (0.066269052%),42,1 (0.066269052%),116,1 (0.066269052%),87,1 (0.066269052%),64,1 (0.066269052%),-28,1 (0.066269052%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.007633588,72 (1.028571429),5.9,14.9,79.2,4.638833665
Miller-Plate131-E09,g2 D14,1717,6 (0.349446709%),98.37%,-1,382 (22.248107164%),-2,157 (9.143855562%),1,134 (7.804309843%),-5,92 (5.358182877%),-24,80 (4.659289458%),-13,72 (4.193360513%),-8,59 (3.436225976%),-11,59 (3.436225976%),-16,56 (3.261502621%),-3,55 (3.203261503%),-12,46 (2.679091439%),-7,44 (2.562609202%),-4,38 (2.213162493%),-6,36 (2.096680256%),-10,34 (1.980198020%),2,34 (1.980198020%),-17,29 (1.688992429%),0,28 (1.630751310%),-9,26 (1.514269074%),-14,25 (1.456027956%),-19,24 (1.397786838%),-15,22 (1.281304601%),-22,20 (1.164822365%),-25,17 (0.990099010%),-18,12 (0.698893419%),-26,10 (0.582411182%),-20,8 (0.465928946%),-27,6 (0.349446709%),-23,6 (0.349446709%),-33,5 (0.291205591%),-28,5 (0.291205591%),-21,5 (0.291205591%),-37,4 (0.232964473%),-31,4 (0.232964473%),-35,3 (0.174723355%),3,3 (0.174723355%),-30,3 (0.174723355%),18,3 (0.174723355%),97,2 (0.116482236%),125,2 (0.116482236%),39,2 (0.116482236%),66,2 (0.116482236%),38,2 (0.116482236%),6,2 (0.116482236%),-57,2 (0.116482236%),59,2 (0.116482236%),-42,2 (0.116482236%),4,2 (0.116482236%),73,2 (0.116482236%),-39,2 (0.116482236%),64,2 (0.116482236%),109,1 (0.058241118%),54,1 (0.058241118%),78,1 (0.058241118%),65,1 (0.058241118%),-34,1 (0.058241118%),26,1 (0.058241118%),168,1 (0.058241118%),48,1 (0.058241118%),9,1 (0.058241118%),14,1 (0.058241118%),35,1 (0.058241118%),122,1 (0.058241118%),63,1 (0.058241118%),111,1 (0.058241118%),208,1 (0.058241118%),133,1 (0.058241118%),51,1 (0.058241118%),138,1 (0.058241118%),81,1 (0.058241118%),-52,1 (0.058241118%),-38,1 (0.058241118%),31,1 (0.058241118%),174,1 (0.058241118%),44,1 (0.058241118%),123,1 (0.058241118%),60,1 (0.058241118%),87,1 (0.058241118%),-47,1 (0.058241118%),45,1 (0.058241118%),69,1 (0.058241118%),-32,1 (0.058241118%),-59,1 (0.058241118%),113,1 (0.058241118%),-36,1 (0.058241118%),36,1 (0.058241118%),62,1 (0.058241118%),-40,1 (0.058241118%),41,1 (0.058241118%),132,1 (0.058241118%),147,1 (0.058241118%),11,1 (0.058241118%),-48,1 (0.058241118%),-44,1 (0.058241118%),49,1 (0.058241118%),7,1 (0.058241118%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.009284544,9 (1.500000000),1.6,19.5,78.9,0.349446709
Miller-Plate131-E10,g2 D28,1413,21 (1.486199575%),98.02%,-1,289 (20.452937013%),-2,135 (9.554140127%),1,92 (6.510969568%),-5,73 (5.166312810%),-13,70 (4.953998585%),-24,60 (4.246284501%),-16,54 (3.821656051%),-8,53 (3.750884643%),-3,53 (3.750884643%),-4,43 (3.043170559%),-11,43 (3.043170559%),-6,39 (2.760084926%),-12,35 (2.476999292%),-10,35 (2.476999292%),-19,29 (2.052370842%),0,28 (1.981599434%),-17,27 (1.910828025%),-7,27 (1.910828025%),2,20 (1.415428167%),-25,19 (1.344656759%),-15,18 (1.273885350%),-9,17 (1.203113942%),-14,12 (0.849256900%),-18,10 (0.707714084%),-22,8 (0.566171267%),-39,6 (0.424628450%),-28,5 (0.353857042%),-21,5 (0.353857042%),24,5 (0.353857042%),-31,5 (0.353857042%),-32,5 (0.353857042%),-29,4 (0.283085633%),55,4 (0.283085633%),3,4 (0.283085633%),-20,4 (0.283085633%),57,4 (0.283085633%),-26,3 (0.212314225%),-23,3 (0.212314225%),38,3 (0.212314225%),-27,2 (0.141542817%),33,2 (0.141542817%),126,2 (0.141542817%),-30,2 (0.141542817%),61,2 (0.141542817%),-38,2 (0.141542817%),16,2 (0.141542817%),4,2 (0.141542817%),-37,2 (0.141542817%),91,2 (0.141542817%),-48,2 (0.141542817%),84,1 (0.070771408%),5,1 (0.070771408%),9,1 (0.070771408%),6,1 (0.070771408%),47,1 (0.070771408%),74,1 (0.070771408%),59,1 (0.070771408%),66,1 (0.070771408%),26,1 (0.070771408%),106,1 (0.070771408%),80,1 (0.070771408%),-47,1 (0.070771408%),160,1 (0.070771408%),7,1 (0.070771408%),140,1 (0.070771408%),152,1 (0.070771408%),79,1 (0.070771408%),73,1 (0.070771408%),31,1 (0.070771408%),-36,1 (0.070771408%),169,1 (0.070771408%),77,1 (0.070771408%),75,1 (0.070771408%),-43,1 (0.070771408%),30,1 (0.070771408%),41,1 (0.070771408%),93,1 (0.070771408%),-35,1 (0.070771408%),51,1 (0.070771408%),128,1 (0.070771408%),131,1 (0.070771408%),11,1 (0.070771408%),85,1 (0.070771408%),-33,1 (0.070771408%),39,1 (0.070771408%),105,1 (0.070771408%),92,1 (0.070771408%),104,1 (0.070771408%),87,1 (0.070771408%),42,1 (0.070771408%),88,1 (0.070771408%),50,1 (0.070771408%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.011303191,21 (1.000000000),2,19.8,78.2,1.486199575
