Name,Sample,Total,g10,g20,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g10,%g20
Miller-Plate134-B07,HGGx99 wt,590,568 (96.271186441%),561 (95.084745763%),0.51%,0,587 (99.491525424%),-1,3 (0.508474576%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01309329,612 (1.077464789),99.5,0,0.5,96.27118644,95.08474576
Miller-Plate134-B08,g10 D3,1467,36 (2.453987730%),1313 (89.502385821%),96.73%,-1,657 (44.785276074%),1,138 (9.406952965%),-6,103 (7.021131561%),-2,56 (3.817314247%),-17,48 (3.271983640%),0,48 (3.271983640%),-9,31 (2.113156101%),-23,21 (1.431492843%),-19,18 (1.226993865%),-5,18 (1.226993865%),-13,17 (1.158827539%),-12,15 (1.022494888%),-32,13 (0.886162236%),2,13 (0.886162236%),-16,12 (0.817995910%),-7,11 (0.749829584%),-18,11 (0.749829584%),-3,11 (0.749829584%),-15,9 (0.613496933%),-4,9 (0.613496933%),-24,9 (0.613496933%),-14,8 (0.545330607%),-20,8 (0.545330607%),-41,6 (0.408997955%),-10,6 (0.408997955%),-22,6 (0.408997955%),-54,5 (0.340831629%),-21,5 (0.340831629%),3,5 (0.340831629%),-27,5 (0.340831629%),-38,5 (0.340831629%),-158,4 (0.272665303%),-35,4 (0.272665303%),-62,4 (0.272665303%),-11,4 (0.272665303%),-25,3 (0.204498978%),-106,3 (0.204498978%),-31,3 (0.204498978%),-26,3 (0.204498978%),-8,3 (0.204498978%),-44,3 (0.204498978%),-29,3 (0.204498978%),-181,3 (0.204498978%),-117,3 (0.204498978%),-42,3 (0.204498978%),-40,3 (0.204498978%),34,2 (0.136332652%),-86,2 (0.136332652%),-110,2 (0.136332652%),-45,2 (0.136332652%),-101,2 (0.136332652%),-163,2 (0.136332652%),-28,2 (0.136332652%),-43,2 (0.136332652%),-49,2 (0.136332652%),-74,2 (0.136332652%),-78,2 (0.136332652%),8,2 (0.136332652%),-48,2 (0.136332652%),-189,2 (0.136332652%),-65,2 (0.136332652%),5,2 (0.136332652%),-30,2 (0.136332652%),-64,2 (0.136332652%),-156,2 (0.136332652%),-34,2 (0.136332652%),63,1 (0.068166326%),40,1 (0.068166326%),-112,1 (0.068166326%),-141,1 (0.068166326%),-70,1 (0.068166326%),-105,1 (0.068166326%),98,1 (0.068166326%),-61,1 (0.068166326%),-84,1 (0.068166326%),-97,1 (0.068166326%),-60,1 (0.068166326%),-126,1 (0.068166326%),11,1 (0.068166326%),-124,1 (0.068166326%),-47,1 (0.068166326%),-118,1 (0.068166326%),35,1 (0.068166326%),-83,1 (0.068166326%),-68,1 (0.068166326%),-185,1 (0.068166326%),-52,1 (0.068166326%),23,1 (0.068166326%),-179,1 (0.068166326%),-59,1 (0.068166326%),-206,1 (0.068166326%),-173,1 (0.068166326%),-85,1 (0.068166326%),70,1 (0.068166326%),73,1 (0.068166326%),-92,1 (0.068166326%),-107,1 (0.068166326%),46,1 (0.068166326%),-192,1 (0.068166326%),-79,1 (0.068166326%),-132,1 (0.068166326%),18,1 (0.068166326%),-37,1 (0.068166326%),-178,1 (0.068166326%),60,1 (0.068166326%),-131,1 (0.068166326%),-143,1 (0.068166326%),-167,1 (0.068166326%),-201,1 (0.068166326%),41,1 (0.068166326%),-80,1 (0.068166326%),56,1 (0.068166326%),-190,1 (0.068166326%),82,1 (0.068166326%),-203,1 (0.068166326%),-88,1 (0.068166326%),-164,1 (0.068166326%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.019467878,41 (1.138888889),3.3,16.2,80.5,2.45398773,89.50238582
Miller-Plate134-B09,g10 D14,755,31 (4.105960265%),686 (90.860927152%),94.97%,-1,351 (46.490066225%),-6,87 (11.523178808%),1,69 (9.139072848%),0,38 (5.033112583%),-2,29 (3.841059603%),-17,16 (2.119205298%),-9,13 (1.721854305%),2,12 (1.589403974%),-10,11 (1.456953642%),-23,11 (1.456953642%),-3,8 (1.059602649%),-12,8 (1.059602649%),-13,8 (1.059602649%),-5,7 (0.927152318%),-7,7 (0.927152318%),-18,7 (0.927152318%),-32,6 (0.794701987%),3,5 (0.662251656%),-20,3 (0.397350993%),-15,3 (0.397350993%),-92,3 (0.397350993%),-186,3 (0.397350993%),-8,3 (0.397350993%),-39,2 (0.264900662%),-14,2 (0.264900662%),-25,2 (0.264900662%),-96,2 (0.264900662%),-19,2 (0.264900662%),-46,2 (0.264900662%),-59,2 (0.264900662%),-4,2 (0.264900662%),-182,2 (0.264900662%),-37,1 (0.132450331%),53,1 (0.132450331%),52,1 (0.132450331%),-24,1 (0.132450331%),64,1 (0.132450331%),-69,1 (0.132450331%),-80,1 (0.132450331%),5,1 (0.132450331%),-87,1 (0.132450331%),30,1 (0.132450331%),-156,1 (0.132450331%),-60,1 (0.132450331%),39,1 (0.132450331%),13,1 (0.132450331%),47,1 (0.132450331%),-61,1 (0.132450331%),-41,1 (0.132450331%),-22,1 (0.132450331%),-42,1 (0.132450331%),61,1 (0.132450331%),42,1 (0.132450331%),-11,1 (0.132450331%),-47,1 (0.132450331%),54,1 (0.132450331%),80,1 (0.132450331%),60,1 (0.132450331%),-21,1 (0.132450331%),-54,1 (0.132450331%),-52,1 (0.132450331%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1,33 (1.064516129),5,20,75,4.105960265,90.86092715
Miller-Plate134-B10,g10 D28,622,50 (8.038585209%),543 (87.299035370%),90.35%,-6,179 (28.778135048%),-1,137 (22.025723473%),0,60 (9.646302251%),1,42 (6.752411576%),-9,28 (4.501607717%),-2,20 (3.215434084%),-12,17 (2.733118971%),-3,15 (2.411575563%),-186,12 (1.929260450%),3,12 (1.929260450%),-10,10 (1.607717042%),-17,9 (1.446945338%),-4,8 (1.286173633%),-20,7 (1.125401929%),-18,5 (0.803858521%),2,5 (0.803858521%),-7,4 (0.643086817%),-45,4 (0.643086817%),-36,3 (0.482315113%),-158,3 (0.482315113%),-23,3 (0.482315113%),-48,3 (0.482315113%),-19,2 (0.321543408%),-37,2 (0.321543408%),-69,2 (0.321543408%),-190,2 (0.321543408%),-21,2 (0.321543408%),-156,2 (0.321543408%),-32,2 (0.321543408%),-24,2 (0.321543408%),-13,2 (0.321543408%),-55,1 (0.160771704%),-27,1 (0.160771704%),61,1 (0.160771704%),-86,1 (0.160771704%),-194,1 (0.160771704%),-180,1 (0.160771704%),-75,1 (0.160771704%),-177,1 (0.160771704%),-31,1 (0.160771704%),-8,1 (0.160771704%),27,1 (0.160771704%),-5,1 (0.160771704%),-33,1 (0.160771704%),72,1 (0.160771704%),34,1 (0.160771704%),21,1 (0.160771704%),24,1 (0.160771704%),52,1 (0.160771704%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.006097561,54 (1.080000000),9.6,47.4,42.9,8.038585209,87.29903537
