Name,Sample,Total,g10,g20,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g10,%g20
Miller-Plate131-B01,HGGx6 wt,835,797 (95.449101796%),784 (93.892215569%),1.92%,0,819 (98.083832335%),-1,15 (1.796407186%),-2,1 (0.119760479%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.012731481,853 (1.070263488),98.1,0,1.9,95.4491018,93.89221557
Miller-Plate131-B02,g10 D3,815,62 (7.607361963%),751 (92.147239264%),92.02%,-1,404 (49.570552147%),1,75 (9.202453988%),0,65 (7.975460123%),-6,32 (3.926380368%),-2,24 (2.944785276%),2,13 (1.595092025%),-9,11 (1.349693252%),-5,9 (1.104294479%),-18,8 (0.981595092%),-32,8 (0.981595092%),-3,7 (0.858895706%),-7,7 (0.858895706%),-20,7 (0.858895706%),-12,7 (0.858895706%),-4,7 (0.858895706%),-17,6 (0.736196319%),-54,6 (0.736196319%),-14,6 (0.736196319%),-16,4 (0.490797546%),-41,3 (0.368098160%),-44,3 (0.368098160%),-24,3 (0.368098160%),-42,3 (0.368098160%),-158,3 (0.368098160%),-92,3 (0.368098160%),-15,3 (0.368098160%),-13,3 (0.368098160%),-23,3 (0.368098160%),-10,3 (0.368098160%),-87,3 (0.368098160%),-85,3 (0.368098160%),-19,3 (0.368098160%),-74,2 (0.245398773%),-156,2 (0.245398773%),-21,2 (0.245398773%),-8,2 (0.245398773%),-78,2 (0.245398773%),-93,2 (0.245398773%),-99,2 (0.245398773%),-105,2 (0.245398773%),-79,2 (0.245398773%),-133,2 (0.245398773%),-86,2 (0.245398773%),3,2 (0.245398773%),-11,2 (0.245398773%),-91,2 (0.245398773%),-171,2 (0.245398773%),-123,1 (0.122699387%),-64,1 (0.122699387%),76,1 (0.122699387%),-204,1 (0.122699387%),-174,1 (0.122699387%),-63,1 (0.122699387%),-152,1 (0.122699387%),-127,1 (0.122699387%),-111,1 (0.122699387%),-213,1 (0.122699387%),-31,1 (0.122699387%),-37,1 (0.122699387%),-101,1 (0.122699387%),-39,1 (0.122699387%),-30,1 (0.122699387%),-132,1 (0.122699387%),-139,1 (0.122699387%),-124,1 (0.122699387%),-49,1 (0.122699387%),-176,1 (0.122699387%),-151,1 (0.122699387%),-113,1 (0.122699387%),-136,1 (0.122699387%),-66,1 (0.122699387%),-198,1 (0.122699387%),-219,1 (0.122699387%),-29,1 (0.122699387%),-200,1 (0.122699387%),-35,1 (0.122699387%),-196,1 (0.122699387%),-52,1 (0.122699387%),-45,1 (0.122699387%),-181,1 (0.122699387%),49,1 (0.122699387%),-34,1 (0.122699387%),-57,1 (0.122699387%),-71,1 (0.122699387%),-28,1 (0.122699387%),-60,1 (0.122699387%),-48,1 (0.122699387%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.003500583,65 (1.048387097),8,14.1,77.9,7.607361963,92.14723926
Miller-Plate131-B03,g10 D14,860,273 (31.744186047%),759 (88.255813953%),67.09%,0,283 (32.906976744%),-1,253 (29.418604651%),-6,51 (5.930232558%),1,50 (5.813953488%),-17,23 (2.674418605%),-2,21 (2.441860465%),-9,17 (1.976744186%),-23,12 (1.395348837%),-3,8 (0.930232558%),-7,6 (0.697674419%),-20,6 (0.697674419%),-18,5 (0.581395349%),2,5 (0.581395349%),-13,5 (0.581395349%),-42,5 (0.581395349%),-11,4 (0.465116279%),-54,4 (0.465116279%),-77,4 (0.465116279%),-19,4 (0.465116279%),-12,3 (0.348837209%),-14,3 (0.348837209%),-41,3 (0.348837209%),-8,3 (0.348837209%),-84,3 (0.348837209%),3,3 (0.348837209%),-5,3 (0.348837209%),-85,2 (0.232558140%),-106,2 (0.232558140%),-32,2 (0.232558140%),-33,2 (0.232558140%),-22,2 (0.232558140%),-16,2 (0.232558140%),72,2 (0.232558140%),-167,2 (0.232558140%),-156,2 (0.232558140%),-21,2 (0.232558140%),-50,2 (0.232558140%),-4,2 (0.232558140%),-45,2 (0.232558140%),-15,2 (0.232558140%),-189,2 (0.232558140%),-10,2 (0.232558140%),-36,1 (0.116279070%),-37,1 (0.116279070%),-35,1 (0.116279070%),40,1 (0.116279070%),-155,1 (0.116279070%),-74,1 (0.116279070%),-30,1 (0.116279070%),-134,1 (0.116279070%),-81,1 (0.116279070%),-177,1 (0.116279070%),-133,1 (0.116279070%),-141,1 (0.116279070%),-56,1 (0.116279070%),-154,1 (0.116279070%),-105,1 (0.116279070%),-86,1 (0.116279070%),-128,1 (0.116279070%),-144,1 (0.116279070%),-44,1 (0.116279070%),-109,1 (0.116279070%),-58,1 (0.116279070%),-28,1 (0.116279070%),-64,1 (0.116279070%),-49,1 (0.116279070%),-161,1 (0.116279070%),90,1 (0.116279070%),45,1 (0.116279070%),-60,1 (0.116279070%),-55,1 (0.116279070%),-65,1 (0.116279070%),-196,1 (0.116279070%),-107,1 (0.116279070%),-51,1 (0.116279070%),39,1 (0.116279070%),-71,1 (0.116279070%),-47,1 (0.116279070%),-181,1 (0.116279070%),-24,1 (0.116279070%),66,1 (0.116279070%),74,1 (0.116279070%),-29,1 (0.116279070%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.001090513,301 (1.102564103),32.9,14.8,52.3,31.74418605,88.25581395
Miller-Plate131-B04,g10 D28,1128,850 (75.354609929%),1035 (91.755319149%),21.10%,0,890 (78.900709220%),-1,90 (7.978723404%),-6,41 (3.634751773%),-9,15 (1.329787234%),1,12 (1.063829787%),-3,6 (0.531914894%),-105,5 (0.443262411%),-87,4 (0.354609929%),-86,4 (0.354609929%),-23,4 (0.354609929%),-99,3 (0.265957447%),-181,3 (0.265957447%),-7,3 (0.265957447%),-5,3 (0.265957447%),-13,3 (0.265957447%),2,3 (0.265957447%),-192,3 (0.265957447%),-11,2 (0.177304965%),-8,2 (0.177304965%),75,2 (0.177304965%),-42,2 (0.177304965%),-77,2 (0.177304965%),-63,2 (0.177304965%),-14,2 (0.177304965%),-32,2 (0.177304965%),-28,2 (0.177304965%),-158,1 (0.088652482%),-69,1 (0.088652482%),-38,1 (0.088652482%),-45,1 (0.088652482%),-22,1 (0.088652482%),-33,1 (0.088652482%),-60,1 (0.088652482%),-66,1 (0.088652482%),-18,1 (0.088652482%),-133,1 (0.088652482%),-21,1 (0.088652482%),-17,1 (0.088652482%),-10,1 (0.088652482%),-92,1 (0.088652482%),3,1 (0.088652482%),7,1 (0.088652482%),-93,1 (0.088652482%),-20,1 (0.088652482%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.013524937,941 (1.107058824),78.9,8.2,12.9,75.35460993,91.75531915
Miller-Plate131-B08,g20 D3,763,704 (92.267365662%),39 (5.111402359%),93.18%,-1,214 (28.047182176%),-2,128 (16.775884666%),-8,60 (7.863695937%),1,52 (6.815203145%),0,52 (6.815203145%),-3,25 (3.276539974%),-11,17 (2.228047182%),-7,17 (2.228047182%),-4,12 (1.572739187%),-5,12 (1.572739187%),-6,11 (1.441677588%),-42,11 (1.441677588%),2,10 (1.310615990%),-10,9 (1.179554391%),-9,9 (1.179554391%),-17,7 (0.917431193%),-14,6 (0.786369594%),-12,6 (0.786369594%),-171,6 (0.786369594%),-29,5 (0.655307995%),-24,5 (0.655307995%),-48,4 (0.524246396%),-66,4 (0.524246396%),-22,4 (0.524246396%),-15,3 (0.393184797%),-20,3 (0.393184797%),-19,3 (0.393184797%),-21,3 (0.393184797%),-34,2 (0.262123198%),-178,2 (0.262123198%),-60,2 (0.262123198%),62,2 (0.262123198%),65,2 (0.262123198%),-87,2 (0.262123198%),-90,2 (0.262123198%),-37,2 (0.262123198%),-30,2 (0.262123198%),-16,2 (0.262123198%),-38,1 (0.131061599%),-57,1 (0.131061599%),-174,1 (0.131061599%),75,1 (0.131061599%),-163,1 (0.131061599%),-140,1 (0.131061599%),-13,1 (0.131061599%),-18,1 (0.131061599%),-71,1 (0.131061599%),-132,1 (0.131061599%),-216,1 (0.131061599%),-93,1 (0.131061599%),23,1 (0.131061599%),-120,1 (0.131061599%),69,1 (0.131061599%),-31,1 (0.131061599%),-43,1 (0.131061599%),4,1 (0.131061599%),-39,1 (0.131061599%),-52,1 (0.131061599%),-180,1 (0.131061599%),-33,1 (0.131061599%),-150,1 (0.131061599%),-159,1 (0.131061599%),-61,1 (0.131061599%),-76,1 (0.131061599%),-114,1 (0.131061599%),-32,1 (0.131061599%),-51,1 (0.131061599%),-69,1 (0.131061599%),-198,1 (0.131061599%),-102,1 (0.131061599%),44,1 (0.131061599%),14,1 (0.131061599%),-91,1 (0.131061599%),-98,1 (0.131061599%),-112,1 (0.131061599%),-162,1 (0.131061599%),-50,1 (0.131061599%),-225,1 (0.131061599%),-192,1 (0.131061599%),-194,1 (0.131061599%),-25,1 (0.131061599%),-160,1 (0.131061599%),-158,1 (0.131061599%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.007380074,780 (1.107954545),6.8,15.3,77.9,92.26736566,5.111402359
Miller-Plate131-B09,g20 D14,1052,959 (91.159695817%),38 (3.612167300%),95.06%,-1,301 (28.612167300%),-2,176 (16.730038023%),-8,100 (9.505703422%),1,88 (8.365019011%),0,52 (4.942965779%),-7,35 (3.326996198%),-3,32 (3.041825095%),-6,20 (1.901140684%),-11,20 (1.901140684%),-10,19 (1.806083650%),-5,18 (1.711026616%),2,14 (1.330798479%),-9,13 (1.235741445%),-4,11 (1.045627376%),-42,10 (0.950570342%),-17,9 (0.855513308%),-66,7 (0.665399240%),-21,6 (0.570342205%),3,5 (0.475285171%),-15,5 (0.475285171%),-14,5 (0.475285171%),-22,4 (0.380228137%),-198,4 (0.380228137%),-12,4 (0.380228137%),-20,3 (0.285171103%),-29,3 (0.285171103%),-43,3 (0.285171103%),-26,3 (0.285171103%),-30,3 (0.285171103%),-24,3 (0.285171103%),-13,3 (0.285171103%),-19,3 (0.285171103%),-160,3 (0.285171103%),-25,3 (0.285171103%),-168,2 (0.190114068%),-156,2 (0.190114068%),-84,2 (0.190114068%),4,2 (0.190114068%),-49,2 (0.190114068%),-35,2 (0.190114068%),-28,2 (0.190114068%),-27,2 (0.190114068%),-119,2 (0.190114068%),-185,2 (0.190114068%),-132,2 (0.190114068%),-182,2 (0.190114068%),-48,2 (0.190114068%),33,1 (0.095057034%),-63,1 (0.095057034%),-37,1 (0.095057034%),-38,1 (0.095057034%),-73,1 (0.095057034%),-261,1 (0.095057034%),-135,1 (0.095057034%),-104,1 (0.095057034%),-126,1 (0.095057034%),5,1 (0.095057034%),-97,1 (0.095057034%),-57,1 (0.095057034%),65,1 (0.095057034%),55,1 (0.095057034%),43,1 (0.095057034%),-133,1 (0.095057034%),76,1 (0.095057034%),-18,1 (0.095057034%),-65,1 (0.095057034%),-107,1 (0.095057034%),-192,1 (0.095057034%),-94,1 (0.095057034%),-50,1 (0.095057034%),49,1 (0.095057034%),16,1 (0.095057034%),-170,1 (0.095057034%),10,1 (0.095057034%),69,1 (0.095057034%),-113,1 (0.095057034%),-71,1 (0.095057034%),-167,1 (0.095057034%),-31,1 (0.095057034%),-33,1 (0.095057034%),-16,1 (0.095057034%),34,1 (0.095057034%),-45,1 (0.095057034%),-78,1 (0.095057034%),-96,1 (0.095057034%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.977132806,1083 (1.129301356),4.9,13,82,91.15969582,3.6121673
Miller-Plate131-B10,g20 D28,330,306 (92.727272727%),99 (30.000000000%),61.52%,0,127 (38.484848485%),-1,65 (19.696969697%),-2,29 (8.787878788%),-8,18 (5.454545455%),1,18 (5.454545455%),-3,9 (2.727272727%),-24,5 (1.515151515%),-5,4 (1.212121212%),-7,4 (1.212121212%),-42,4 (1.212121212%),-9,4 (1.212121212%),-6,3 (0.909090909%),-16,3 (0.909090909%),-15,3 (0.909090909%),-160,3 (0.909090909%),-11,2 (0.606060606%),-4,2 (0.606060606%),-69,2 (0.606060606%),-21,2 (0.606060606%),-17,2 (0.606060606%),2,2 (0.606060606%),-10,2 (0.606060606%),-20,1 (0.303030303%),-134,1 (0.303030303%),5,1 (0.303030303%),-178,1 (0.303030303%),-76,1 (0.303030303%),-19,1 (0.303030303%),-60,1 (0.303030303%),6,1 (0.303030303%),-199,1 (0.303030303%),-97,1 (0.303030303%),-27,1 (0.303030303%),-48,1 (0.303030303%),57,1 (0.303030303%),50,1 (0.303030303%),-13,1 (0.303030303%),-70,1 (0.303030303%),-71,1 (0.303030303%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.980392157,340 (1.111111111),38.5,11.2,50.3,92.72727273,30
