Name,Sample,Total,g1,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g1
Miller-Plate132-A01,HGGx6 wt,567,542 (95.590828924%),3.35%,0,548 (96.649029982%),-1,15 (2.645502646%),1,4 (0.705467372%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.010186757,585 (1.079335793),96.6,0,3.4,95.59082892
Miller-Plate132-A02,g1 D3,857,77 (8.984830805%),89.85%,-1,175 (20.420070012%),0,87 (10.151691949%),1,81 (9.451575263%),-4,70 (8.168028005%),-5,40 (4.667444574%),-8,35 (4.084014002%),-3,33 (3.850641774%),-2,33 (3.850641774%),-7,29 (3.383897316%),-18,27 (3.150525088%),-9,18 (2.100350058%),-6,17 (1.983663944%),-12,17 (1.983663944%),-13,13 (1.516919487%),-19,13 (1.516919487%),-11,12 (1.400233372%),-14,10 (1.166861144%),-10,9 (1.050175029%),-23,8 (0.933488915%),-20,8 (0.933488915%),-16,7 (0.816802800%),-37,6 (0.700116686%),-22,6 (0.700116686%),-27,6 (0.700116686%),2,5 (0.583430572%),-36,5 (0.583430572%),-15,4 (0.466744457%),-31,4 (0.466744457%),-30,3 (0.350058343%),-110,3 (0.350058343%),-29,3 (0.350058343%),-28,3 (0.350058343%),-21,3 (0.350058343%),-17,2 (0.233372229%),-121,2 (0.233372229%),-62,2 (0.233372229%),-135,2 (0.233372229%),-211,2 (0.233372229%),-24,2 (0.233372229%),-131,2 (0.233372229%),-108,2 (0.233372229%),-26,2 (0.233372229%),-71,1 (0.116686114%),-164,1 (0.116686114%),-162,1 (0.116686114%),-61,1 (0.116686114%),-75,1 (0.116686114%),-273,1 (0.116686114%),40,1 (0.116686114%),-79,1 (0.116686114%),-58,1 (0.116686114%),-25,1 (0.116686114%),-55,1 (0.116686114%),-217,1 (0.116686114%),-133,1 (0.116686114%),-232,1 (0.116686114%),-157,1 (0.116686114%),-251,1 (0.116686114%),-114,1 (0.116686114%),-35,1 (0.116686114%),-212,1 (0.116686114%),-90,1 (0.116686114%),-205,1 (0.116686114%),-45,1 (0.116686114%),-272,1 (0.116686114%),-104,1 (0.116686114%),-89,1 (0.116686114%),-138,1 (0.116686114%),33,1 (0.116686114%),-161,1 (0.116686114%),-67,1 (0.116686114%),-39,1 (0.116686114%),-183,1 (0.116686114%),-257,1 (0.116686114%),-106,1 (0.116686114%),-88,1 (0.116686114%),-193,1 (0.116686114%),-198,1 (0.116686114%),-152,1 (0.116686114%),-51,1 (0.116686114%),-144,1 (0.116686114%),-196,1 (0.116686114%),-250,1 (0.116686114%),-136,1 (0.116686114%),-49,1 (0.116686114%),-190,1 (0.116686114%),-195,1 (0.116686114%),-174,1 (0.116686114%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.983461963,82 (1.064935065),10.2,18,71.9,8.984830805
Miller-Plate132-A03,g1 D14,851,109 (12.808460635%),85.55%,0,123 (14.453584019%),-1,108 (12.690951821%),-3,83 (9.753231492%),-9,65 (7.638072855%),-4,61 (7.168037603%),-6,38 (4.465334900%),-18,35 (4.112808461%),-2,31 (3.642773208%),-7,31 (3.642773208%),-8,31 (3.642773208%),1,29 (3.407755582%),-5,26 (3.055229142%),-12,23 (2.702702703%),-19,17 (1.997649824%),-11,10 (1.175088132%),-21,9 (1.057579318%),-13,7 (0.822561692%),-10,7 (0.822561692%),-36,6 (0.705052879%),-22,6 (0.705052879%),-17,6 (0.705052879%),-23,6 (0.705052879%),-14,6 (0.705052879%),-15,5 (0.587544066%),2,5 (0.587544066%),-30,5 (0.587544066%),-20,5 (0.587544066%),-40,5 (0.587544066%),-27,4 (0.470035253%),-149,4 (0.470035253%),-25,4 (0.470035253%),3,3 (0.352526439%),-24,3 (0.352526439%),-111,2 (0.235017626%),-37,2 (0.235017626%),-54,2 (0.235017626%),-87,2 (0.235017626%),-26,2 (0.235017626%),4,2 (0.235017626%),-99,2 (0.235017626%),-16,2 (0.235017626%),20,1 (0.117508813%),-49,1 (0.117508813%),-35,1 (0.117508813%),-61,1 (0.117508813%),-63,1 (0.117508813%),-38,1 (0.117508813%),6,1 (0.117508813%),-217,1 (0.117508813%),5,1 (0.117508813%),-163,1 (0.117508813%),-234,1 (0.117508813%),-201,1 (0.117508813%),-28,1 (0.117508813%),-45,1 (0.117508813%),-294,1 (0.117508813%),-98,1 (0.117508813%),-101,1 (0.117508813%),-62,1 (0.117508813%),-105,1 (0.117508813%),-31,1 (0.117508813%),-132,1 (0.117508813%),-206,1 (0.117508813%),-81,1 (0.117508813%),-97,1 (0.117508813%),-32,1 (0.117508813%),-126,1 (0.117508813%),-59,1 (0.117508813%),-143,1 (0.117508813%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.9889989,123 (1.128440367),14.5,34.9,50.6,12.80846064
Miller-Plate132-A04,g1 D28,649,133 (20.493066256%),77.20%,0,148 (22.804314330%),-1,79 (12.172573190%),-3,74 (11.402157165%),-9,42 (6.471494607%),-4,28 (4.314329738%),-18,27 (4.160246533%),1,27 (4.160246533%),-5,27 (4.160246533%),-7,20 (3.081664099%),-8,18 (2.773497689%),-6,16 (2.465331279%),-2,16 (2.465331279%),-12,13 (2.003081664%),-10,12 (1.848998459%),-19,7 (1.078582435%),-36,7 (1.078582435%),-14,6 (0.924499230%),-20,6 (0.924499230%),-21,6 (0.924499230%),-17,5 (0.770416025%),-13,5 (0.770416025%),-22,5 (0.770416025%),-25,5 (0.770416025%),-23,4 (0.616332820%),-37,4 (0.616332820%),-142,3 (0.462249615%),-31,3 (0.462249615%),-47,2 (0.308166410%),52,2 (0.308166410%),2,2 (0.308166410%),3,2 (0.308166410%),-26,2 (0.308166410%),-11,2 (0.308166410%),-15,2 (0.308166410%),-32,2 (0.308166410%),-16,2 (0.308166410%),53,1 (0.154083205%),-105,1 (0.154083205%),-35,1 (0.154083205%),-148,1 (0.154083205%),41,1 (0.154083205%),-24,1 (0.154083205%),-87,1 (0.154083205%),-39,1 (0.154083205%),4,1 (0.154083205%),-45,1 (0.154083205%),-61,1 (0.154083205%),-59,1 (0.154083205%),50,1 (0.154083205%),-143,1 (0.154083205%),-294,1 (0.154083205%),-27,1 (0.154083205%),-46,1 (0.154083205%),-80,1 (0.154083205%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.001440922,143 (1.075187970),22.8,30.2,47,20.49306626
