Name,Sample,Total,g4,g7,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g4,%g7
Miller-Plate135-B01,HGGx6 wt,27,25 (92.592592593%),25 (92.592592593%),0.00%,0,27 (100.000000000%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.037037037,25 (1.000000000),100,0,0,92.59259259,92.59259259
Miller-Plate135-B02,g4 D3,210,25 (11.904761905%),171 (81.428571429%),86.19%,0,29 (13.809523810%),-16,24 (11.428571429%),-25,12 (5.714285714%),-6,11 (5.238095238%),-13,6 (2.857142857%),-9,6 (2.857142857%),1,5 (2.380952381%),-32,5 (2.380952381%),-3,5 (2.380952381%),-20,5 (2.380952381%),-28,5 (2.380952381%),-1,4 (1.904761905%),-26,4 (1.904761905%),-10,4 (1.904761905%),-37,4 (1.904761905%),-19,4 (1.904761905%),-14,3 (1.428571429%),-2,3 (1.428571429%),-18,3 (1.428571429%),-47,3 (1.428571429%),-136,3 (1.428571429%),-42,2 (0.952380952%),-77,2 (0.952380952%),-53,2 (0.952380952%),-54,2 (0.952380952%),-5,2 (0.952380952%),-72,2 (0.952380952%),-33,2 (0.952380952%),-97,2 (0.952380952%),-49,2 (0.952380952%),-120,2 (0.952380952%),-17,2 (0.952380952%),-46,2 (0.952380952%),-117,2 (0.952380952%),-110,2 (0.952380952%),-119,2 (0.952380952%),-48,1 (0.476190476%),-35,1 (0.476190476%),-24,1 (0.476190476%),-15,1 (0.476190476%),-140,1 (0.476190476%),-40,1 (0.476190476%),-111,1 (0.476190476%),-41,1 (0.476190476%),-44,1 (0.476190476%),-98,1 (0.476190476%),-29,1 (0.476190476%),-151,1 (0.476190476%),-38,1 (0.476190476%),-8,1 (0.476190476%),-7,1 (0.476190476%),-4,1 (0.476190476%),40,1 (0.476190476%),-76,1 (0.476190476%),-113,1 (0.476190476%),-163,1 (0.476190476%),-27,1 (0.476190476%),-88,1 (0.476190476%),-70,1 (0.476190476%),-11,1 (0.476190476%),-78,1 (0.476190476%),-22,1 (0.476190476%),-95,1 (0.476190476%),-31,1 (0.476190476%),60,1 (0.476190476%),-105,1 (0.476190476%),-21,1 (0.476190476%),-92,1 (0.476190476%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.557522124,28 (1.120000000),13.8,21.9,64.3,11.90476191,81.42857143
Miller-Plate135-B03,g4 D14,360,130 (36.111111111%),300 (83.333333333%),62.22%,0,136 (37.777777778%),-16,20 (5.555555556%),-6,12 (3.333333333%),-13,12 (3.333333333%),-1,10 (2.777777778%),1,9 (2.500000000%),-3,8 (2.222222222%),-19,7 (1.944444444%),-32,7 (1.944444444%),-34,6 (1.666666667%),-2,6 (1.666666667%),-10,6 (1.666666667%),-27,5 (1.388888889%),-21,5 (1.388888889%),-25,5 (1.388888889%),-9,4 (1.111111111%),-28,4 (1.111111111%),-14,4 (1.111111111%),-20,4 (1.111111111%),2,3 (0.833333333%),-8,3 (0.833333333%),-12,3 (0.833333333%),-23,3 (0.833333333%),-50,3 (0.833333333%),-29,3 (0.833333333%),-24,3 (0.833333333%),-39,2 (0.555555556%),-117,2 (0.555555556%),-65,2 (0.555555556%),-26,2 (0.555555556%),-4,2 (0.555555556%),-18,2 (0.555555556%),-5,2 (0.555555556%),-44,2 (0.555555556%),-33,2 (0.555555556%),-173,2 (0.555555556%),-70,2 (0.555555556%),-31,2 (0.555555556%),-91,2 (0.555555556%),-17,2 (0.555555556%),-38,2 (0.555555556%),-47,1 (0.277777778%),-194,1 (0.277777778%),-63,1 (0.277777778%),-89,1 (0.277777778%),-69,1 (0.277777778%),-41,1 (0.277777778%),-51,1 (0.277777778%),-64,1 (0.277777778%),-136,1 (0.277777778%),-56,1 (0.277777778%),-95,1 (0.277777778%),-84,1 (0.277777778%),-60,1 (0.277777778%),-52,1 (0.277777778%),-135,1 (0.277777778%),-123,1 (0.277777778%),-90,1 (0.277777778%),-112,1 (0.277777778%),-54,1 (0.277777778%),-150,1 (0.277777778%),-46,1 (0.277777778%),-22,1 (0.277777778%),-42,1 (0.277777778%),-88,1 (0.277777778%),-116,1 (0.277777778%),-107,1 (0.277777778%),-40,1 (0.277777778%),-133,1 (0.277777778%),-161,1 (0.277777778%),-7,1 (0.277777778%),-53,1 (0.277777778%),75,1 (0.277777778%),-118,1 (0.277777778%),-36,1 (0.277777778%),-131,1 (0.277777778%),-159,1 (0.277777778%),-119,1 (0.277777778%),-81,1 (0.277777778%),-148,1 (0.277777778%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.291338583,134 (1.030769231),37.8,17.5,44.7,36.11111111,83.33333333
Miller-Plate135-B04,g4 D28,495,324 (65.454545455%),449 (90.707070707%),31.11%,0,341 (68.888888889%),-13,15 (3.030303030%),-1,13 (2.626262626%),-16,13 (2.626262626%),-6,13 (2.626262626%),-2,8 (1.616161616%),-21,8 (1.616161616%),-25,7 (1.414141414%),-3,5 (1.010101010%),-42,5 (1.010101010%),-12,4 (0.808080808%),-20,4 (0.808080808%),-37,3 (0.606060606%),-10,3 (0.606060606%),-29,2 (0.404040404%),-136,2 (0.404040404%),-48,2 (0.404040404%),-19,2 (0.404040404%),-22,2 (0.404040404%),-27,2 (0.404040404%),-58,2 (0.404040404%),-18,2 (0.404040404%),-120,2 (0.404040404%),-26,2 (0.404040404%),1,2 (0.404040404%),-11,2 (0.404040404%),-46,1 (0.202020202%),12,1 (0.202020202%),-40,1 (0.202020202%),-106,1 (0.202020202%),-15,1 (0.202020202%),-65,1 (0.202020202%),-38,1 (0.202020202%),-55,1 (0.202020202%),-35,1 (0.202020202%),-123,1 (0.202020202%),-33,1 (0.202020202%),-31,1 (0.202020202%),-7,1 (0.202020202%),-61,1 (0.202020202%),-28,1 (0.202020202%),-9,1 (0.202020202%),-45,1 (0.202020202%),-32,1 (0.202020202%),58,1 (0.202020202%),-5,1 (0.202020202%),-4,1 (0.202020202%),-52,1 (0.202020202%),-14,1 (0.202020202%),-24,1 (0.202020202%),3,1 (0.202020202%),5,1 (0.202020202%),-74,1 (0.202020202%),-39,1 (0.202020202%),-47,1 (0.202020202%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.171656687,337 (1.040123457),68.9,10.5,20.6,65.45454546,90.70707071
