Name,Sample,Total,g1,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g1
Miller-Plate131-G01,HGGx6 wt,835,785 (94.011976048%),2.87%,0,811 (97.125748503%),-1,19 (2.275449102%),1,4 (0.479041916%),-2,1 (0.119760479%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.009142857,869 (1.107006369),97.1,0,2.9,94.01197605
Miller-Plate131-G02,g1 D3,580,62 (10.689655172%),88.79%,-1,104 (17.931034483%),1,81 (13.965517241%),0,65 (11.206896552%),-2,40 (6.896551724%),-3,28 (4.827586207%),-6,25 (4.310344828%),-12,17 (2.931034483%),-8,14 (2.413793103%),-7,14 (2.413793103%),-5,14 (2.413793103%),-14,14 (2.413793103%),-11,12 (2.068965517%),-19,12 (2.068965517%),-4,11 (1.896551724%),-15,8 (1.379310345%),-9,8 (1.379310345%),-42,7 (1.206896552%),-18,7 (1.206896552%),-13,7 (1.206896552%),-17,6 (1.034482759%),-22,6 (1.034482759%),-21,6 (1.034482759%),-16,6 (1.034482759%),-26,5 (0.862068966%),-32,5 (0.862068966%),2,4 (0.689655172%),-20,4 (0.689655172%),-51,3 (0.517241379%),-48,3 (0.517241379%),-33,2 (0.344827586%),-36,2 (0.344827586%),-23,2 (0.344827586%),-38,2 (0.344827586%),-50,1 (0.172413793%),-68,1 (0.172413793%),-30,1 (0.172413793%),-35,1 (0.172413793%),-116,1 (0.172413793%),24,1 (0.172413793%),-10,1 (0.172413793%),12,1 (0.172413793%),38,1 (0.172413793%),-81,1 (0.172413793%),-145,1 (0.172413793%),-55,1 (0.172413793%),-94,1 (0.172413793%),-86,1 (0.172413793%),-103,1 (0.172413793%),-27,1 (0.172413793%),-24,1 (0.172413793%),3,1 (0.172413793%),96,1 (0.172413793%),43,1 (0.172413793%),-102,1 (0.172413793%),-53,1 (0.172413793%),-31,1 (0.172413793%),46,1 (0.172413793%),-60,1 (0.172413793%),-28,1 (0.172413793%),-40,1 (0.172413793%),-54,1 (0.172413793%),-25,1 (0.172413793%),15,1 (0.172413793%),-43,1 (0.172413793%),7,1 (0.172413793%),74,1 (0.172413793%),-106,1 (0.172413793%),57,1 (0.172413793%),-41,1 (0.172413793%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.027597403,66 (1.064516129),11.2,22.2,66.6,10.68965517
Miller-Plate131-G03,g1 D14,1113,14 (1.257861635%),98.29%,-1,175 (15.723270440%),1,133 (11.949685535%),-3,66 (5.929919137%),-2,54 (4.851752022%),-6,49 (4.402515723%),-19,49 (4.402515723%),-4,35 (3.144654088%),-14,34 (3.054806828%),-20,28 (2.515723270%),-8,27 (2.425876011%),-12,26 (2.336028751%),-13,25 (2.246181491%),-21,24 (2.156334232%),-9,22 (1.976639712%),-11,21 (1.886792453%),-5,19 (1.707097934%),0,19 (1.707097934%),-27,19 (1.707097934%),-7,18 (1.617250674%),-10,17 (1.527403414%),-15,16 (1.437556155%),-17,15 (1.347708895%),-18,14 (1.257861635%),2,12 (1.078167116%),-29,11 (0.988319856%),-22,11 (0.988319856%),-30,9 (0.808625337%),-32,9 (0.808625337%),-42,9 (0.808625337%),-26,8 (0.718778077%),-94,7 (0.628930818%),-34,7 (0.628930818%),-33,6 (0.539083558%),-38,5 (0.449236298%),-25,5 (0.449236298%),-51,5 (0.449236298%),-36,4 (0.359389039%),-28,4 (0.359389039%),52,3 (0.269541779%),-98,3 (0.269541779%),-37,3 (0.269541779%),-23,3 (0.269541779%),-45,3 (0.269541779%),-53,3 (0.269541779%),-44,3 (0.269541779%),-16,3 (0.269541779%),-39,2 (0.179694519%),-80,2 (0.179694519%),-43,2 (0.179694519%),-50,2 (0.179694519%),-129,2 (0.179694519%),-91,2 (0.179694519%),55,2 (0.179694519%),-109,2 (0.179694519%),59,2 (0.179694519%),-84,2 (0.179694519%),10,2 (0.179694519%),-77,2 (0.179694519%),-93,2 (0.179694519%),-52,2 (0.179694519%),-88,1 (0.089847260%),-35,1 (0.089847260%),62,1 (0.089847260%),-134,1 (0.089847260%),-60,1 (0.089847260%),-47,1 (0.089847260%),-66,1 (0.089847260%),-119,1 (0.089847260%),-57,1 (0.089847260%),-56,1 (0.089847260%),-114,1 (0.089847260%),-79,1 (0.089847260%),24,1 (0.089847260%),-41,1 (0.089847260%),-62,1 (0.089847260%),-90,1 (0.089847260%),-67,1 (0.089847260%),35,1 (0.089847260%),-111,1 (0.089847260%),-118,1 (0.089847260%),31,1 (0.089847260%),-65,1 (0.089847260%),-49,1 (0.089847260%),-24,1 (0.089847260%),57,1 (0.089847260%),-63,1 (0.089847260%),42,1 (0.089847260%),-40,1 (0.089847260%),45,1 (0.089847260%),64,1 (0.089847260%),-76,1 (0.089847260%),-97,1 (0.089847260%),60,1 (0.089847260%),70,1 (0.089847260%),-142,1 (0.089847260%),-82,1 (0.089847260%),-75,1 (0.089847260%),-92,1 (0.089847260%),49,1 (0.089847260%),7,1 (0.089847260%),3,1 (0.089847260%),-46,1 (0.089847260%),-55,1 (0.089847260%),-78,1 (0.089847260%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.019087137,16 (1.142857143),1.7,26.6,71.7,1.257861635
Miller-Plate131-G04,g1 D28,811,7 (0.863131936%),98.64%,-1,114 (14.056720099%),1,100 (12.330456227%),-12,38 (4.685573366%),-6,35 (4.315659679%),-2,33 (4.069050555%),-3,32 (3.945745993%),-19,28 (3.452527744%),-13,25 (3.082614057%),-18,21 (2.589395808%),-5,21 (2.589395808%),-14,21 (2.589395808%),-4,20 (2.466091245%),-17,19 (2.342786683%),-20,19 (2.342786683%),-11,18 (2.219482121%),-32,13 (1.602959309%),-21,13 (1.602959309%),-7,13 (1.602959309%),-8,13 (1.602959309%),-9,11 (1.356350185%),-27,11 (1.356350185%),-10,11 (1.356350185%),0,11 (1.356350185%),-15,10 (1.233045623%),-22,10 (1.233045623%),2,8 (0.986436498%),-16,7 (0.863131936%),-30,6 (0.739827374%),-28,6 (0.739827374%),-33,6 (0.739827374%),-25,6 (0.739827374%),-26,5 (0.616522811%),-94,4 (0.493218249%),-42,4 (0.493218249%),-31,4 (0.493218249%),-29,4 (0.493218249%),-83,3 (0.369913687%),-23,3 (0.369913687%),-39,3 (0.369913687%),-52,3 (0.369913687%),-36,3 (0.369913687%),4,3 (0.369913687%),-96,2 (0.246609125%),23,2 (0.246609125%),-70,2 (0.246609125%),-76,2 (0.246609125%),-155,2 (0.246609125%),-38,2 (0.246609125%),-67,2 (0.246609125%),-53,2 (0.246609125%),-37,2 (0.246609125%),-95,2 (0.246609125%),-110,2 (0.246609125%),3,2 (0.246609125%),-58,2 (0.246609125%),52,2 (0.246609125%),-109,2 (0.246609125%),-24,2 (0.246609125%),-101,2 (0.246609125%),-89,1 (0.123304562%),-57,1 (0.123304562%),81,1 (0.123304562%),51,1 (0.123304562%),-117,1 (0.123304562%),17,1 (0.123304562%),54,1 (0.123304562%),-88,1 (0.123304562%),-50,1 (0.123304562%),59,1 (0.123304562%),-143,1 (0.123304562%),-34,1 (0.123304562%),-114,1 (0.123304562%),58,1 (0.123304562%),76,1 (0.123304562%),48,1 (0.123304562%),-111,1 (0.123304562%),14,1 (0.123304562%),-56,1 (0.123304562%),-68,1 (0.123304562%),61,1 (0.123304562%),-62,1 (0.123304562%),38,1 (0.123304562%),-113,1 (0.123304562%),-41,1 (0.123304562%),10,1 (0.123304562%),-35,1 (0.123304562%),-47,1 (0.123304562%),-69,1 (0.123304562%),55,1 (0.123304562%),-116,1 (0.123304562%),44,1 (0.123304562%),-118,1 (0.123304562%),-90,1 (0.123304562%),50,1 (0.123304562%),39,1 (0.123304562%),56,1 (0.123304562%),-125,1 (0.123304562%),57,1 (0.123304562%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.998883929,7 (1.000000000),1.4,26,72.6,0.863131936
