Name,Sample,Total,g2,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g2
Miller-Plate131-D07,HGGx6 wt,1248,1200 (96.153846154%),0.56%,0,1241 (99.439102564%),-1,5 (0.400641026%),1,1 (0.080128205%),-3,1 (0.080128205%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.022638564,1282 (1.068333333),99.4,0.1,0.5,96.15384615
Miller-Plate131-D08,g2 D3,1514,48 (3.170409511%),95.97%,-1,612 (40.422721268%),1,129 (8.520475561%),0,61 (4.029062087%),-2,60 (3.963011889%),-6,52 (3.434610304%),-5,51 (3.368560106%),-12,42 (2.774108322%),-8,37 (2.443857332%),-18,31 (2.047556143%),-9,26 (1.717305152%),-24,23 (1.519154557%),-3,22 (1.453104359%),-4,22 (1.453104359%),-7,21 (1.387054161%),-17,20 (1.321003963%),2,19 (1.254953765%),-14,17 (1.122853369%),-23,16 (1.056803170%),-11,16 (1.056803170%),-30,13 (0.858652576%),-21,12 (0.792602378%),-13,12 (0.792602378%),-48,11 (0.726552180%),-98,9 (0.594451783%),-15,9 (0.594451783%),-29,9 (0.594451783%),-20,8 (0.528401585%),-27,8 (0.528401585%),-45,8 (0.528401585%),-26,7 (0.462351387%),-42,7 (0.462351387%),-34,6 (0.396301189%),-10,5 (0.330250991%),-31,5 (0.330250991%),-16,5 (0.330250991%),-22,5 (0.330250991%),-25,4 (0.264200793%),-38,4 (0.264200793%),-32,3 (0.198150594%),-93,3 (0.198150594%),-152,3 (0.198150594%),-78,3 (0.198150594%),-33,3 (0.198150594%),-36,3 (0.198150594%),-51,3 (0.198150594%),-138,3 (0.198150594%),-41,2 (0.132100396%),-35,2 (0.132100396%),-79,2 (0.132100396%),-19,2 (0.132100396%),-28,2 (0.132100396%),-111,2 (0.132100396%),-113,2 (0.132100396%),-37,2 (0.132100396%),-84,2 (0.132100396%),-82,2 (0.132100396%),-101,2 (0.132100396%),-165,1 (0.066050198%),-144,1 (0.066050198%),-40,1 (0.066050198%),-155,1 (0.066050198%),-117,1 (0.066050198%),-89,1 (0.066050198%),-39,1 (0.066050198%),-74,1 (0.066050198%),-140,1 (0.066050198%),-181,1 (0.066050198%),-146,1 (0.066050198%),-49,1 (0.066050198%),50,1 (0.066050198%),-86,1 (0.066050198%),-52,1 (0.066050198%),114,1 (0.066050198%),-58,1 (0.066050198%),-76,1 (0.066050198%),-106,1 (0.066050198%),-195,1 (0.066050198%),-185,1 (0.066050198%),-186,1 (0.066050198%),-96,1 (0.066050198%),-92,1 (0.066050198%),-178,1 (0.066050198%),74,1 (0.066050198%),-239,1 (0.066050198%),6,1 (0.066050198%),-164,1 (0.066050198%),-46,1 (0.066050198%),-122,1 (0.066050198%),-169,1 (0.066050198%),-44,1 (0.066050198%),-124,1 (0.066050198%),-43,1 (0.066050198%),-109,1 (0.066050198%),10,1 (0.066050198%),-153,1 (0.066050198%),121,1 (0.066050198%),-125,1 (0.066050198%),-126,1 (0.066050198%),-61,1 (0.066050198%),-121,1 (0.066050198%),-50,1 (0.066050198%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.019607843,52 (1.083333333),4,19.6,76.4,3.170409511
Miller-Plate131-D09,g2 D14,1365,11 (0.805860806%),97.95%,-1,525 (38.461538462%),1,106 (7.765567766%),-2,72 (5.274725275%),-6,53 (3.882783883%),-5,52 (3.809523810%),-7,33 (2.417582418%),-12,31 (2.271062271%),-3,30 (2.197802198%),0,28 (2.051282051%),-9,28 (2.051282051%),-24,23 (1.684981685%),-8,21 (1.538461538%),-11,20 (1.465201465%),-18,18 (1.318681319%),-4,17 (1.245421245%),2,17 (1.245421245%),-14,15 (1.098901099%),-17,15 (1.098901099%),-10,14 (1.025641026%),-15,13 (0.952380952%),-23,13 (0.952380952%),-13,12 (0.879120879%),-98,11 (0.805860806%),-31,9 (0.659340659%),-48,9 (0.659340659%),-26,8 (0.586080586%),-16,8 (0.586080586%),-19,7 (0.512820513%),-20,7 (0.512820513%),-30,6 (0.439560440%),-42,6 (0.439560440%),-32,5 (0.366300366%),-29,5 (0.366300366%),-36,5 (0.366300366%),-45,5 (0.366300366%),-21,5 (0.366300366%),-41,4 (0.293040293%),4,4 (0.293040293%),-33,3 (0.219780220%),-43,3 (0.219780220%),-78,3 (0.219780220%),-27,3 (0.219780220%),-144,3 (0.219780220%),-51,3 (0.219780220%),-53,2 (0.146520147%),68,2 (0.146520147%),-55,2 (0.146520147%),-89,2 (0.146520147%),-35,2 (0.146520147%),-66,2 (0.146520147%),-117,2 (0.146520147%),-100,2 (0.146520147%),-22,2 (0.146520147%),-95,2 (0.146520147%),29,2 (0.146520147%),-114,2 (0.146520147%),-197,2 (0.146520147%),79,2 (0.146520147%),-138,2 (0.146520147%),-123,2 (0.146520147%),-152,2 (0.146520147%),38,2 (0.146520147%),52,1 (0.073260073%),-57,1 (0.073260073%),-58,1 (0.073260073%),48,1 (0.073260073%),61,1 (0.073260073%),-183,1 (0.073260073%),-91,1 (0.073260073%),42,1 (0.073260073%),-68,1 (0.073260073%),53,1 (0.073260073%),50,1 (0.073260073%),-125,1 (0.073260073%),3,1 (0.073260073%),-83,1 (0.073260073%),54,1 (0.073260073%),-54,1 (0.073260073%),-61,1 (0.073260073%),-93,1 (0.073260073%),-92,1 (0.073260073%),-74,1 (0.073260073%),-109,1 (0.073260073%),5,1 (0.073260073%),-80,1 (0.073260073%),84,1 (0.073260073%),-127,1 (0.073260073%),-79,1 (0.073260073%),-76,1 (0.073260073%),-25,1 (0.073260073%),49,1 (0.073260073%),86,1 (0.073260073%),-158,1 (0.073260073%),-34,1 (0.073260073%),-118,1 (0.073260073%),-47,1 (0.073260073%),43,1 (0.073260073%),-52,1 (0.073260073%),-122,1 (0.073260073%),-181,1 (0.073260073%),-49,1 (0.073260073%),59,1 (0.073260073%),94,1 (0.073260073%),-108,1 (0.073260073%),-40,1 (0.073260073%),-44,1 (0.073260073%),-87,1 (0.073260073%),-107,1 (0.073260073%),63,1 (0.073260073%),-85,1 (0.073260073%),-46,1 (0.073260073%),28,1 (0.073260073%),-165,1 (0.073260073%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.006228374,12 (1.090909091),2.1,19.8,78.2,0.805860806
Miller-Plate131-D10,g2 D28,1865,65 (3.485254692%),95.71%,-1,704 (37.747989276%),1,135 (7.238605898%),-2,80 (4.289544236%),0,80 (4.289544236%),-6,57 (3.056300268%),-12,54 (2.895442359%),-9,52 (2.788203753%),-18,48 (2.573726542%),-3,38 (2.037533512%),-5,36 (1.930294906%),-7,35 (1.876675603%),-8,35 (1.876675603%),-14,28 (1.501340483%),-11,27 (1.447721180%),2,26 (1.394101877%),-17,25 (1.340482574%),-15,21 (1.126005362%),-24,21 (1.126005362%),-13,20 (1.072386059%),-36,17 (0.911528150%),-4,17 (0.911528150%),-48,16 (0.857908847%),-98,16 (0.857908847%),-45,15 (0.804289544%),-23,15 (0.804289544%),-189,14 (0.750670241%),-16,13 (0.697050938%),-10,13 (0.697050938%),-22,9 (0.482573727%),-46,8 (0.428954424%),-21,8 (0.428954424%),-19,7 (0.375335121%),-31,7 (0.375335121%),-41,6 (0.321715818%),-35,6 (0.321715818%),-20,5 (0.268096515%),-83,5 (0.268096515%),-85,5 (0.268096515%),-78,5 (0.268096515%),-27,4 (0.214477212%),-101,4 (0.214477212%),-26,4 (0.214477212%),4,4 (0.214477212%),-42,4 (0.214477212%),-60,4 (0.214477212%),-29,3 (0.160857909%),-51,3 (0.160857909%),-148,3 (0.160857909%),-198,3 (0.160857909%),-68,3 (0.160857909%),-92,3 (0.160857909%),-30,3 (0.160857909%),-152,3 (0.160857909%),51,2 (0.107238606%),-126,2 (0.107238606%),-52,2 (0.107238606%),-59,2 (0.107238606%),-117,2 (0.107238606%),-124,2 (0.107238606%),-53,2 (0.107238606%),-44,2 (0.107238606%),-37,2 (0.107238606%),-34,2 (0.107238606%),-93,2 (0.107238606%),-135,2 (0.107238606%),-141,2 (0.107238606%),60,2 (0.107238606%),-80,2 (0.107238606%),-91,2 (0.107238606%),-32,2 (0.107238606%),75,2 (0.107238606%),-40,2 (0.107238606%),61,2 (0.107238606%),-138,2 (0.107238606%),-25,2 (0.107238606%),-74,2 (0.107238606%),36,1 (0.053619303%),-144,1 (0.053619303%),-47,1 (0.053619303%),-89,1 (0.053619303%),65,1 (0.053619303%),-43,1 (0.053619303%),-72,1 (0.053619303%),-165,1 (0.053619303%),3,1 (0.053619303%),11,1 (0.053619303%),-57,1 (0.053619303%),7,1 (0.053619303%),21,1 (0.053619303%),57,1 (0.053619303%),46,1 (0.053619303%),-71,1 (0.053619303%),42,1 (0.053619303%),-75,1 (0.053619303%),-88,1 (0.053619303%),-120,1 (0.053619303%),6,1 (0.053619303%),-123,1 (0.053619303%),-62,1 (0.053619303%),87,1 (0.053619303%),38,1 (0.053619303%),-79,1 (0.053619303%),-116,1 (0.053619303%),78,1 (0.053619303%),-96,1 (0.053619303%),13,1 (0.053619303%),34,1 (0.053619303%),74,1 (0.053619303%),-194,1 (0.053619303%),-159,1 (0.053619303%),41,1 (0.053619303%),84,1 (0.053619303%),-133,1 (0.053619303%),-54,1 (0.053619303%),-125,1 (0.053619303%),54,1 (0.053619303%),5,1 (0.053619303%),-56,1 (0.053619303%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.023195876,70 (1.076923077),4.3,22.8,72.9,3.485254692
