Name,Sample,Total,g7,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g7
Miller-Plate134-A01,HGGx99 wt,1067,1011 (94.751640112%),1.97%,0,1046 (98.031865042%),-1,19 (1.780693533%),-3,2 (0.187441425%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.993676603,1077 (1.065281899),98,0.2,1.8,94.75164011
Miller-Plate134-A02,g7 D3,760,396 (52.105263158%),46.45%,0,407 (53.552631579%),-18,43 (5.657894737%),-1,40 (5.263157895%),-2,31 (4.078947368%),1,30 (3.947368421%),-3,16 (2.105263158%),-7,15 (1.973684211%),-8,13 (1.710526316%),-10,12 (1.578947368%),-5,12 (1.578947368%),-15,11 (1.447368421%),-4,10 (1.315789474%),-12,10 (1.315789474%),-11,8 (1.052631579%),-16,8 (1.052631579%),-6,7 (0.921052632%),-13,7 (0.921052632%),-27,6 (0.789473684%),-19,5 (0.657894737%),-21,5 (0.657894737%),-17,4 (0.526315789%),-9,4 (0.526315789%),-14,4 (0.526315789%),-26,3 (0.394736842%),2,3 (0.394736842%),-24,2 (0.263157895%),-20,2 (0.263157895%),76,2 (0.263157895%),-43,2 (0.263157895%),-22,2 (0.263157895%),-38,2 (0.263157895%),-23,2 (0.263157895%),-42,2 (0.263157895%),-208,2 (0.263157895%),40,1 (0.131578947%),79,1 (0.131578947%),73,1 (0.131578947%),-31,1 (0.131578947%),-54,1 (0.131578947%),-70,1 (0.131578947%),-25,1 (0.131578947%),-29,1 (0.131578947%),66,1 (0.131578947%),20,1 (0.131578947%),-58,1 (0.131578947%),-36,1 (0.131578947%),-109,1 (0.131578947%),13,1 (0.131578947%),-28,1 (0.131578947%),-127,1 (0.131578947%),5,1 (0.131578947%),-30,1 (0.131578947%),6,1 (0.131578947%),-99,1 (0.131578947%),-65,1 (0.131578947%),-48,1 (0.131578947%),-132,1 (0.131578947%),-159,1 (0.131578947%),27,1 (0.131578947%),-153,1 (0.131578947%),-128,1 (0.131578947%),60,1 (0.131578947%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.974137931,440 (1.111111111),53.6,15.5,30.9,52.10526316
Miller-Plate134-A03,g7 D14,664,322 (48.493975904%),49.10%,0,338 (50.903614458%),-18,54 (8.132530120%),-1,34 (5.120481928%),1,23 (3.463855422%),-2,22 (3.313253012%),-5,20 (3.012048193%),-15,15 (2.259036145%),-3,12 (1.807228916%),2,12 (1.807228916%),-4,10 (1.506024096%),-19,10 (1.506024096%),-11,7 (1.054216867%),-17,6 (0.903614458%),-126,6 (0.903614458%),-20,5 (0.753012048%),-14,5 (0.753012048%),-13,5 (0.753012048%),-6,5 (0.753012048%),-10,5 (0.753012048%),3,4 (0.602409639%),-8,4 (0.602409639%),-9,4 (0.602409639%),-7,4 (0.602409639%),-12,3 (0.451807229%),4,3 (0.451807229%),14,2 (0.301204819%),-21,2 (0.301204819%),-123,2 (0.301204819%),72,2 (0.301204819%),9,2 (0.301204819%),-168,2 (0.301204819%),-22,1 (0.150602410%),-29,1 (0.150602410%),-16,1 (0.150602410%),-43,1 (0.150602410%),-30,1 (0.150602410%),-95,1 (0.150602410%),-129,1 (0.150602410%),22,1 (0.150602410%),-41,1 (0.150602410%),-25,1 (0.150602410%),57,1 (0.150602410%),7,1 (0.150602410%),-31,1 (0.150602410%),62,1 (0.150602410%),-85,1 (0.150602410%),5,1 (0.150602410%),-42,1 (0.150602410%),-38,1 (0.150602410%),75,1 (0.150602410%),-33,1 (0.150602410%),-24,1 (0.150602410%),-47,1 (0.150602410%),-28,1 (0.150602410%),-26,1 (0.150602410%),-114,1 (0.150602410%),-165,1 (0.150602410%),65,1 (0.150602410%),-84,1 (0.150602410%),91,1 (0.150602410%),52,1 (0.150602410%),-54,1 (0.150602410%),8,1 (0.150602410%),-171,1 (0.150602410%),-37,1 (0.150602410%),32,1 (0.150602410%),-27,1 (0.150602410%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.011412268,363 (1.127329193),50.9,19,30.1,48.4939759
Miller-Plate134-A04,g7 D28,1123,709 (63.134461264%),32.95%,0,753 (67.052537845%),-1,60 (5.342831701%),-18,47 (4.185218166%),-2,39 (3.472840606%),1,18 (1.602849510%),-3,16 (1.424755120%),-7,14 (1.246660730%),-15,12 (1.068566340%),-6,12 (1.068566340%),-8,11 (0.979519145%),3,10 (0.890471950%),-5,10 (0.890471950%),-13,9 (0.801424755%),-19,8 (0.712377560%),-93,8 (0.712377560%),2,7 (0.623330365%),-54,6 (0.534283170%),-82,5 (0.445235975%),-10,4 (0.356188780%),-4,4 (0.356188780%),-21,4 (0.356188780%),-17,4 (0.356188780%),-28,4 (0.356188780%),-38,4 (0.356188780%),-26,3 (0.267141585%),-11,3 (0.267141585%),-20,3 (0.267141585%),-16,2 (0.178094390%),-23,2 (0.178094390%),-31,2 (0.178094390%),5,2 (0.178094390%),4,2 (0.178094390%),-12,2 (0.178094390%),-33,2 (0.178094390%),-29,2 (0.178094390%),-42,2 (0.178094390%),-30,1 (0.089047195%),8,1 (0.089047195%),46,1 (0.089047195%),74,1 (0.089047195%),61,1 (0.089047195%),72,1 (0.089047195%),66,1 (0.089047195%),32,1 (0.089047195%),-36,1 (0.089047195%),41,1 (0.089047195%),39,1 (0.089047195%),50,1 (0.089047195%),-27,1 (0.089047195%),7,1 (0.089047195%),53,1 (0.089047195%),-117,1 (0.089047195%),63,1 (0.089047195%),28,1 (0.089047195%),64,1 (0.089047195%),-9,1 (0.089047195%),-34,1 (0.089047195%),31,1 (0.089047195%),-14,1 (0.089047195%),-73,1 (0.089047195%),36,1 (0.089047195%),69,1 (0.089047195%),67,1 (0.089047195%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.974080268,786 (1.108603667),67.1,11.8,21.2,63.13446126
