Name,Sample,Total,g21,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g21
Miller-Plate132-C07,HGGx6 wt,1601,1509 (94.253591505%),3.25%,0,1549 (96.752029981%),-1,46 (2.873204247%),1,5 (0.312304809%),-2,1 (0.062460962%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.010733453,1673 (1.108681246),96.8,0,3.2,94.25359151
Miller-Plate132-C08,g21 D3,814,170 (20.884520885%),77.89%,1,265 (32.555282555%),0,180 (22.113022113%),-1,107 (13.144963145%),-11,23 (2.825552826%),-5,18 (2.211302211%),-20,15 (1.842751843%),-3,15 (1.842751843%),2,15 (1.842751843%),-13,14 (1.719901720%),-7,14 (1.719901720%),-9,11 (1.351351351%),-2,8 (0.982800983%),-6,8 (0.982800983%),-10,7 (0.859950860%),-4,7 (0.859950860%),-17,7 (0.859950860%),-8,5 (0.614250614%),-27,5 (0.614250614%),-33,4 (0.491400491%),-16,4 (0.491400491%),-23,3 (0.368550369%),-179,3 (0.368550369%),-162,3 (0.368550369%),-12,3 (0.368550369%),-108,3 (0.368550369%),-73,3 (0.368550369%),-56,2 (0.245700246%),-31,2 (0.245700246%),-199,2 (0.245700246%),71,2 (0.245700246%),-166,2 (0.245700246%),3,2 (0.245700246%),-201,2 (0.245700246%),-15,2 (0.245700246%),-174,2 (0.245700246%),-42,2 (0.245700246%),-19,2 (0.245700246%),-21,2 (0.245700246%),-140,2 (0.245700246%),-205,2 (0.245700246%),-191,1 (0.122850123%),-60,1 (0.122850123%),-14,1 (0.122850123%),-97,1 (0.122850123%),-86,1 (0.122850123%),-131,1 (0.122850123%),-181,1 (0.122850123%),-87,1 (0.122850123%),-68,1 (0.122850123%),94,1 (0.122850123%),-88,1 (0.122850123%),-157,1 (0.122850123%),-192,1 (0.122850123%),118,1 (0.122850123%),56,1 (0.122850123%),53,1 (0.122850123%),-30,1 (0.122850123%),78,1 (0.122850123%),-178,1 (0.122850123%),-196,1 (0.122850123%),-40,1 (0.122850123%),59,1 (0.122850123%),-207,1 (0.122850123%),97,1 (0.122850123%),-170,1 (0.122850123%),52,1 (0.122850123%),-32,1 (0.122850123%),-18,1 (0.122850123%),-103,1 (0.122850123%),103,1 (0.122850123%),41,1 (0.122850123%),-134,1 (0.122850123%),9,1 (0.122850123%),-25,1 (0.122850123%),-138,1 (0.122850123%),-22,1 (0.122850123%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.965821389,177 (1.041176471),22.1,9,68.9,20.88452089
Miller-Plate132-C09,g21 D14,1043,167 (16.011505273%),82.45%,1,320 (30.680728667%),0,183 (17.545541707%),-1,103 (9.875359540%),-11,51 (4.889741131%),-13,43 (4.122722915%),-7,20 (1.917545542%),-20,20 (1.917545542%),2,18 (1.725790988%),-2,17 (1.629913710%),-9,17 (1.629913710%),-10,17 (1.629913710%),-3,15 (1.438159156%),-8,15 (1.438159156%),-33,14 (1.342281879%),-6,13 (1.246404602%),-17,13 (1.246404602%),-5,12 (1.150527325%),-15,10 (0.958772771%),-21,7 (0.671140940%),-19,6 (0.575263663%),3,5 (0.479386385%),-12,5 (0.479386385%),-29,5 (0.479386385%),-18,5 (0.479386385%),-23,4 (0.383509108%),-16,4 (0.383509108%),-40,4 (0.383509108%),-4,4 (0.383509108%),-140,4 (0.383509108%),-162,3 (0.287631831%),-27,3 (0.287631831%),-152,3 (0.287631831%),-108,3 (0.287631831%),-32,3 (0.287631831%),-22,3 (0.287631831%),-56,3 (0.287631831%),-25,2 (0.191754554%),-134,2 (0.191754554%),-141,2 (0.191754554%),-26,2 (0.191754554%),-189,2 (0.191754554%),-205,2 (0.191754554%),-187,2 (0.191754554%),-167,2 (0.191754554%),-177,2 (0.191754554%),-93,1 (0.095877277%),-174,1 (0.095877277%),39,1 (0.095877277%),-14,1 (0.095877277%),-131,1 (0.095877277%),122,1 (0.095877277%),-182,1 (0.095877277%),-123,1 (0.095877277%),47,1 (0.095877277%),-183,1 (0.095877277%),-185,1 (0.095877277%),-201,1 (0.095877277%),51,1 (0.095877277%),-203,1 (0.095877277%),-113,1 (0.095877277%),-159,1 (0.095877277%),-145,1 (0.095877277%),-212,1 (0.095877277%),-31,1 (0.095877277%),-80,1 (0.095877277%),-63,1 (0.095877277%),-105,1 (0.095877277%),-62,1 (0.095877277%),101,1 (0.095877277%),-116,1 (0.095877277%),132,1 (0.095877277%),133,1 (0.095877277%),64,1 (0.095877277%),94,1 (0.095877277%),-41,1 (0.095877277%),95,1 (0.095877277%),-78,1 (0.095877277%),-36,1 (0.095877277%),-65,1 (0.095877277%),-207,1 (0.095877277%),-24,1 (0.095877277%),-81,1 (0.095877277%),-172,1 (0.095877277%),-96,1 (0.095877277%),-170,1 (0.095877277%),-49,1 (0.095877277%),90,1 (0.095877277%),-193,1 (0.095877277%),-69,1 (0.095877277%),-48,1 (0.095877277%),-28,1 (0.095877277%),-181,1 (0.095877277%),4,1 (0.095877277%),-92,1 (0.095877277%),-157,1 (0.095877277%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.959218352,180 (1.077844311),17.5,12.1,70.4,16.01150527
Miller-Plate132-C10,g21 D28,1111,170 (15.301530153%),82.54%,1,324 (29.162916292%),0,194 (17.461746175%),-1,110 (9.900990099%),-11,73 (6.570657066%),-13,37 (3.330333033%),2,34 (3.060306031%),-3,26 (2.340234023%),-7,20 (1.800180018%),-5,18 (1.620162016%),-9,17 (1.530153015%),-6,15 (1.350135014%),-20,14 (1.260126013%),-8,13 (1.170117012%),-33,13 (1.170117012%),-2,12 (1.080108011%),-15,12 (1.080108011%),-10,11 (0.990099010%),-4,9 (0.810081008%),-19,8 (0.720072007%),-16,8 (0.720072007%),-17,7 (0.630063006%),3,6 (0.540054005%),-18,6 (0.540054005%),-21,6 (0.540054005%),-14,5 (0.450045005%),-140,5 (0.450045005%),-175,5 (0.450045005%),-66,4 (0.360036004%),-40,4 (0.360036004%),-148,3 (0.270027003%),-174,3 (0.270027003%),-101,3 (0.270027003%),-157,3 (0.270027003%),-12,3 (0.270027003%),-201,3 (0.270027003%),-207,2 (0.180018002%),-54,2 (0.180018002%),58,2 (0.180018002%),-108,2 (0.180018002%),-103,2 (0.180018002%),-26,2 (0.180018002%),-139,2 (0.180018002%),-78,2 (0.180018002%),-130,2 (0.180018002%),-114,2 (0.180018002%),-22,2 (0.180018002%),-82,2 (0.180018002%),5,2 (0.180018002%),-73,2 (0.180018002%),-56,2 (0.180018002%),-127,2 (0.180018002%),-209,2 (0.180018002%),-25,1 (0.090009001%),28,1 (0.090009001%),87,1 (0.090009001%),-184,1 (0.090009001%),76,1 (0.090009001%),8,1 (0.090009001%),-137,1 (0.090009001%),29,1 (0.090009001%),-118,1 (0.090009001%),-29,1 (0.090009001%),-199,1 (0.090009001%),-194,1 (0.090009001%),-107,1 (0.090009001%),-170,1 (0.090009001%),45,1 (0.090009001%),91,1 (0.090009001%),-49,1 (0.090009001%),-153,1 (0.090009001%),-79,1 (0.090009001%),-24,1 (0.090009001%),-81,1 (0.090009001%),-182,1 (0.090009001%),-162,1 (0.090009001%),-126,1 (0.090009001%),-141,1 (0.090009001%),-159,1 (0.090009001%),54,1 (0.090009001%),-190,1 (0.090009001%),-28,1 (0.090009001%),67,1 (0.090009001%),46,1 (0.090009001%),37,1 (0.090009001%),-86,1 (0.090009001%),-41,1 (0.090009001%),-111,1 (0.090009001%),4,1 (0.090009001%),-27,1 (0.090009001%),-173,1 (0.090009001%),-105,1 (0.090009001%),14,1 (0.090009001%),-30,1 (0.090009001%),-135,1 (0.090009001%),-85,1 (0.090009001%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.977635783,190 (1.117647059),17.5,12.5,70,15.30153015
