Gene,Guide,Ratio
CAGE2536.hGATAD2B.g21,CAGE2536g21,0.96
CAGE2527.hMTA1.g1,CAGE2527g1,0.94
CAGE2539.hMBD3.g1,CAGE2539g1,0.72
CAGE2537.hMTA2.g7,CAGE2537g7,0.69
