Gene,Guide,Ratio
CAGE1429.hPSMD12.g1,CAGE1429,0.53
RB20.hPPP1R12C.g2,RB20,1.01
CAGE2571.hSOX5.g9,CAGE2571,1.09
CAGE2540.hNPAS3.g1,CAGE2540,1.06
CAGE2544.hJUN.g1,CAGE2544,1
CAGE2545.hJUN.g3,CAGE2545,1
CAGE2570.hSOX5.g2,CAGE2570,0.97
CAGE2541.hNPAS3.g2,CAGE2541,0.95
CAGE2549.hSOX2.g20,CAGE2549,0.93
CAGE2538.hMBD3.g2,CAGE2538,0.88
CAGE2532.hASCL1.g4,CAGE2532,0.85
CAGE2532.hASCL1.g7,CAGE2532,0.85
CAGE2539.hMBD3.g1,CAGE2539,0.78
CAGE2549.hSOX2.g10,CAGE2549,0.55
