Name,Sample,Total,g10,g20,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g10,%g20
Miller-Plate133-B01,HGGx99 wt,429,420 (97.902097902%),400 (93.240093240%),1.17%,0,424 (98.834498834%),-1,5 (1.165501166%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.018099548,451 (1.073809524),98.8,0,1.2,97.9020979,93.24009324
Miller-Plate133-B02,g10 D3,785,5 (0.636942675%),689 (87.770700637%),98.98%,-1,381 (48.535031847%),-6,89 (11.337579618%),1,65 (8.280254777%),-2,19 (2.420382166%),-9,18 (2.292993631%),-17,16 (2.038216561%),2,13 (1.656050955%),-5,10 (1.273885350%),0,8 (1.019108280%),-13,8 (1.019108280%),-19,7 (0.891719745%),-15,7 (0.891719745%),-23,6 (0.764331210%),-32,5 (0.636942675%),-171,5 (0.636942675%),-27,4 (0.509554140%),-3,4 (0.509554140%),-10,4 (0.509554140%),-38,4 (0.509554140%),-31,4 (0.509554140%),-59,3 (0.382165605%),-181,3 (0.382165605%),-194,3 (0.382165605%),-12,3 (0.382165605%),-7,3 (0.382165605%),-16,3 (0.382165605%),-54,3 (0.382165605%),-18,3 (0.382165605%),-8,2 (0.254777070%),-77,2 (0.254777070%),-156,2 (0.254777070%),-189,2 (0.254777070%),-4,2 (0.254777070%),-26,2 (0.254777070%),-81,2 (0.254777070%),-174,2 (0.254777070%),-25,2 (0.254777070%),-113,2 (0.254777070%),-28,2 (0.254777070%),-21,2 (0.254777070%),-24,2 (0.254777070%),67,2 (0.254777070%),-178,2 (0.254777070%),-86,2 (0.254777070%),-11,2 (0.254777070%),-158,2 (0.254777070%),-120,2 (0.254777070%),-244,1 (0.127388535%),-119,1 (0.127388535%),-99,1 (0.127388535%),-205,1 (0.127388535%),-154,1 (0.127388535%),-41,1 (0.127388535%),-33,1 (0.127388535%),4,1 (0.127388535%),6,1 (0.127388535%),-75,1 (0.127388535%),-85,1 (0.127388535%),-57,1 (0.127388535%),-153,1 (0.127388535%),40,1 (0.127388535%),-191,1 (0.127388535%),-107,1 (0.127388535%),-74,1 (0.127388535%),-183,1 (0.127388535%),-245,1 (0.127388535%),-14,1 (0.127388535%),-29,1 (0.127388535%),-64,1 (0.127388535%),-125,1 (0.127388535%),45,1 (0.127388535%),-175,1 (0.127388535%),-71,1 (0.127388535%),-105,1 (0.127388535%),-94,1 (0.127388535%),-190,1 (0.127388535%),3,1 (0.127388535%),-103,1 (0.127388535%),-117,1 (0.127388535%),-65,1 (0.127388535%),-80,1 (0.127388535%),-188,1 (0.127388535%),-118,1 (0.127388535%),-150,1 (0.127388535%),-127,1 (0.127388535%),-104,1 (0.127388535%),-63,1 (0.127388535%),-134,1 (0.127388535%),8,1 (0.127388535%),-147,1 (0.127388535%),-69,1 (0.127388535%),83,1 (0.127388535%),-132,1 (0.127388535%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.007237636,6 (1.200000000),1,21.1,77.8,0.636942675,87.77070064
Miller-Plate133-B03,g10 D14,785,1 (0.127388535%),700 (89.171974522%),98.98%,-1,268 (34.140127389%),-6,167 (21.273885350%),1,67 (8.535031847%),-9,47 (5.987261146%),-2,41 (5.222929936%),-17,18 (2.292993631%),-3,10 (1.273885350%),-20,10 (1.273885350%),-12,9 (1.146496815%),0,8 (1.019108280%),-5,8 (1.019108280%),-23,8 (1.019108280%),2,7 (0.891719745%),-64,6 (0.764331210%),-11,6 (0.764331210%),-7,6 (0.764331210%),3,5 (0.636942675%),-19,4 (0.509554140%),-4,4 (0.509554140%),-13,4 (0.509554140%),-32,4 (0.509554140%),-22,3 (0.382165605%),-21,3 (0.382165605%),-191,3 (0.382165605%),-24,3 (0.382165605%),-158,3 (0.382165605%),-62,3 (0.382165605%),-39,3 (0.382165605%),-10,2 (0.254777070%),-15,2 (0.254777070%),-75,2 (0.254777070%),-27,2 (0.254777070%),-76,2 (0.254777070%),-168,2 (0.254777070%),-36,2 (0.254777070%),-105,2 (0.254777070%),5,2 (0.254777070%),-18,2 (0.254777070%),-14,2 (0.254777070%),-8,2 (0.254777070%),-16,2 (0.254777070%),-54,2 (0.254777070%),-38,1 (0.127388535%),-106,1 (0.127388535%),-53,1 (0.127388535%),-44,1 (0.127388535%),-59,1 (0.127388535%),-156,1 (0.127388535%),4,1 (0.127388535%),-69,1 (0.127388535%),-112,1 (0.127388535%),-164,1 (0.127388535%),-86,1 (0.127388535%),76,1 (0.127388535%),48,1 (0.127388535%),-31,1 (0.127388535%),-195,1 (0.127388535%),81,1 (0.127388535%),-157,1 (0.127388535%),41,1 (0.127388535%),-78,1 (0.127388535%),6,1 (0.127388535%),-82,1 (0.127388535%),-83,1 (0.127388535%),-33,1 (0.127388535%),-26,1 (0.127388535%),-51,1 (0.127388535%),-46,1 (0.127388535%),64,1 (0.127388535%),-41,1 (0.127388535%),-256,1 (0.127388535%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.976442874,1 (1.000000000),1,34.6,64.3,0.127388535,89.17197452
Miller-Plate133-B04,g10 D28,991,6 (0.605449041%),883 (89.101917255%),98.89%,-6,371 (37.436932392%),-1,210 (21.190716448%),-9,85 (8.577194753%),1,40 (4.036326942%),-12,23 (2.320887992%),-3,20 (2.018163471%),-2,18 (1.816347124%),-7,16 (1.614530777%),3,15 (1.513622603%),-5,14 (1.412714430%),-17,12 (1.210898083%),-23,11 (1.109989909%),0,11 (1.109989909%),2,9 (0.908173562%),-13,9 (0.908173562%),-10,7 (0.706357215%),-21,7 (0.706357215%),-62,6 (0.605449041%),-158,5 (0.504540868%),-20,5 (0.504540868%),-18,5 (0.504540868%),-24,4 (0.403632694%),-54,4 (0.403632694%),-59,3 (0.302724521%),-26,3 (0.302724521%),-64,3 (0.302724521%),-19,3 (0.302724521%),-14,3 (0.302724521%),-108,2 (0.201816347%),-48,2 (0.201816347%),-8,2 (0.201816347%),-76,2 (0.201816347%),-74,2 (0.201816347%),-112,2 (0.201816347%),-37,2 (0.201816347%),-61,2 (0.201816347%),-86,2 (0.201816347%),-51,2 (0.201816347%),-4,2 (0.201816347%),-204,2 (0.201816347%),-45,2 (0.201816347%),-53,2 (0.201816347%),-168,2 (0.201816347%),-169,2 (0.201816347%),46,1 (0.100908174%),-119,1 (0.100908174%),-75,1 (0.100908174%),41,1 (0.100908174%),-22,1 (0.100908174%),-34,1 (0.100908174%),6,1 (0.100908174%),-89,1 (0.100908174%),-16,1 (0.100908174%),-235,1 (0.100908174%),-39,1 (0.100908174%),-25,1 (0.100908174%),72,1 (0.100908174%),16,1 (0.100908174%),-124,1 (0.100908174%),-164,1 (0.100908174%),-156,1 (0.100908174%),-85,1 (0.100908174%),-159,1 (0.100908174%),22,1 (0.100908174%),9,1 (0.100908174%),-32,1 (0.100908174%),-44,1 (0.100908174%),-205,1 (0.100908174%),-30,1 (0.100908174%),-35,1 (0.100908174%),-47,1 (0.100908174%),-78,1 (0.100908174%),35,1 (0.100908174%),-181,1 (0.100908174%),34,1 (0.100908174%),21,1 (0.100908174%),-15,1 (0.100908174%),-43,1 (0.100908174%),-177,1 (0.100908174%),-31,1 (0.100908174%),62,1 (0.100908174%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.007590133,7 (1.166666667),1.1,56.3,42.6,0.605449041,89.10191726
Miller-Plate133-B08,g20 D3,1012,923 (91.205533597%),31 (3.063241107%),95.75%,-8,181 (17.885375494%),-2,165 (16.304347826%),-1,101 (9.980237154%),1,100 (9.881422925%),-7,47 (4.644268775%),0,43 (4.249011858%),-3,33 (3.260869565%),-10,32 (3.162055336%),-5,28 (2.766798419%),-6,28 (2.766798419%),-4,22 (2.173913043%),-11,19 (1.877470356%),-9,12 (1.185770751%),-18,10 (0.988142292%),2,10 (0.988142292%),-14,8 (0.790513834%),-22,7 (0.691699605%),4,6 (0.592885375%),-42,5 (0.494071146%),-17,5 (0.494071146%),-19,5 (0.494071146%),-21,5 (0.494071146%),-163,4 (0.395256917%),-192,4 (0.395256917%),-24,4 (0.395256917%),-177,3 (0.296442688%),-23,3 (0.296442688%),-168,3 (0.296442688%),-12,3 (0.296442688%),-93,3 (0.296442688%),-15,3 (0.296442688%),-76,3 (0.296442688%),-171,3 (0.296442688%),-45,2 (0.197628458%),-20,2 (0.197628458%),-100,2 (0.197628458%),-52,2 (0.197628458%),-134,2 (0.197628458%),-178,2 (0.197628458%),-148,2 (0.197628458%),-132,2 (0.197628458%),-34,2 (0.197628458%),-38,2 (0.197628458%),89,2 (0.197628458%),-51,2 (0.197628458%),-53,2 (0.197628458%),-44,2 (0.197628458%),-133,2 (0.197628458%),-16,2 (0.197628458%),-37,2 (0.197628458%),-75,2 (0.197628458%),-175,2 (0.197628458%),-66,2 (0.197628458%),-33,2 (0.197628458%),-69,2 (0.197628458%),-156,2 (0.197628458%),-43,2 (0.197628458%),-50,1 (0.098814229%),5,1 (0.098814229%),-174,1 (0.098814229%),-59,1 (0.098814229%),50,1 (0.098814229%),96,1 (0.098814229%),6,1 (0.098814229%),-184,1 (0.098814229%),32,1 (0.098814229%),92,1 (0.098814229%),-82,1 (0.098814229%),-13,1 (0.098814229%),-187,1 (0.098814229%),-27,1 (0.098814229%),-112,1 (0.098814229%),-48,1 (0.098814229%),-167,1 (0.098814229%),-180,1 (0.098814229%),-155,1 (0.098814229%),-141,1 (0.098814229%),-54,1 (0.098814229%),-49,1 (0.098814229%),-165,1 (0.098814229%),-182,1 (0.098814229%),-29,1 (0.098814229%),-164,1 (0.098814229%),-84,1 (0.098814229%),-36,1 (0.098814229%),36,1 (0.098814229%),-64,1 (0.098814229%),53,1 (0.098814229%),-47,1 (0.098814229%),-30,1 (0.098814229%),-161,1 (0.098814229%),-114,1 (0.098814229%),7,1 (0.098814229%),-160,1 (0.098814229%),26,1 (0.098814229%),-115,1 (0.098814229%),-31,1 (0.098814229%),-126,1 (0.098814229%),37,1 (0.098814229%),-79,1 (0.098814229%),-80,1 (0.098814229%),-186,1 (0.098814229%),-61,1 (0.098814229%),-203,1 (0.098814229%),-136,1 (0.098814229%),-41,1 (0.098814229%),69,1 (0.098814229%),-210,1 (0.098814229%),-77,1 (0.098814229%),-246,1 (0.098814229%),-89,1 (0.098814229%),-189,1 (0.098814229%),-28,1 (0.098814229%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.046641791,1010 (1.094257855),4.2,15.3,80.4,91.2055336,3.063241107
Miller-Plate133-B09,g20 D14,517,475 (91.876208897%),15 (2.901353965%),96.32%,-8,102 (19.729206963%),-2,94 (18.181818182%),-1,82 (15.860735010%),1,49 (9.477756286%),0,19 (3.675048356%),-11,18 (3.481624758%),-7,18 (3.481624758%),-6,14 (2.707930368%),-5,11 (2.127659574%),-3,11 (2.127659574%),-9,10 (1.934235977%),-4,8 (1.547388781%),-10,8 (1.547388781%),-20,5 (0.967117988%),2,5 (0.967117988%),-22,4 (0.773694391%),-21,4 (0.773694391%),-15,4 (0.773694391%),-26,3 (0.580270793%),-14,3 (0.580270793%),-42,3 (0.580270793%),-160,2 (0.386847195%),-41,2 (0.386847195%),-43,2 (0.386847195%),-12,2 (0.386847195%),45,2 (0.386847195%),-107,2 (0.386847195%),-29,2 (0.386847195%),27,1 (0.193423598%),-16,1 (0.193423598%),-76,1 (0.193423598%),72,1 (0.193423598%),-24,1 (0.193423598%),-25,1 (0.193423598%),-38,1 (0.193423598%),-28,1 (0.193423598%),-84,1 (0.193423598%),-89,1 (0.193423598%),-132,1 (0.193423598%),8,1 (0.193423598%),3,1 (0.193423598%),59,1 (0.193423598%),-19,1 (0.193423598%),37,1 (0.193423598%),-171,1 (0.193423598%),-17,1 (0.193423598%),-13,1 (0.193423598%),-133,1 (0.193423598%),-117,1 (0.193423598%),84,1 (0.193423598%),-52,1 (0.193423598%),-82,1 (0.193423598%),60,1 (0.193423598%),-100,1 (0.193423598%),-30,1 (0.193423598%),-153,1 (0.193423598%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.998207885,543 (1.143157895),3.7,12,84.3,91.8762089,2.901353965
Miller-Plate133-B10,g20 D28,741,680 (91.767881242%),67 (9.041835358%),87.85%,-8,126 (17.004048583%),-2,107 (14.439946019%),-1,102 (13.765182186%),0,90 (12.145748988%),1,71 (9.581646424%),-7,24 (3.238866397%),-10,20 (2.699055331%),-6,20 (2.699055331%),-3,18 (2.429149798%),-11,16 (2.159244265%),2,13 (1.754385965%),-9,12 (1.619433198%),-4,11 (1.484480432%),-5,10 (1.349527665%),-21,6 (0.809716599%),3,6 (0.809716599%),-178,5 (0.674763833%),-15,5 (0.674763833%),-18,5 (0.674763833%),-14,4 (0.539811066%),-17,4 (0.539811066%),-51,3 (0.404858300%),-29,3 (0.404858300%),-13,3 (0.404858300%),54,2 (0.269905533%),-132,2 (0.269905533%),-188,2 (0.269905533%),-35,2 (0.269905533%),-37,2 (0.269905533%),-12,2 (0.269905533%),-44,2 (0.269905533%),-25,2 (0.269905533%),-27,2 (0.269905533%),-86,1 (0.134952767%),-20,1 (0.134952767%),-191,1 (0.134952767%),91,1 (0.134952767%),8,1 (0.134952767%),-24,1 (0.134952767%),53,1 (0.134952767%),-163,1 (0.134952767%),-65,1 (0.134952767%),-174,1 (0.134952767%),-66,1 (0.134952767%),-92,1 (0.134952767%),-84,1 (0.134952767%),-22,1 (0.134952767%),-48,1 (0.134952767%),80,1 (0.134952767%),47,1 (0.134952767%),-80,1 (0.134952767%),43,1 (0.134952767%),72,1 (0.134952767%),-140,1 (0.134952767%),-32,1 (0.134952767%),-76,1 (0.134952767%),-53,1 (0.134952767%),38,1 (0.134952767%),-105,1 (0.134952767%),6,1 (0.134952767%),-47,1 (0.134952767%),-46,1 (0.134952767%),-39,1 (0.134952767%),-43,1 (0.134952767%),-31,1 (0.134952767%),13,1 (0.134952767%),82,1 (0.134952767%),-171,1 (0.134952767%),21,1 (0.134952767%),-19,1 (0.134952767%),-192,1 (0.134952767%),28,1 (0.134952767%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01905972,756 (1.111764706),12.1,12.8,75,91.76788124,9.041835358
