Name,Sample,Total,g10,g12,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g10,%g12
Miller-Plate73-C01,WT,991,908 (91.62%),916 (92.43%),3.20%,0,959 (96.8%),-1,29 (2.9%),1,2 (0.2%),-2,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.01,1006 (1.1),96.8,0,3.2,91.62,92.43
Miller-Plate73-C02,d3 g10,1047,1 (0.10%),931 (88.92%),98.20%,1,398 (38.0%),-1,164 (15.7%),-3,48 (4.6%),2,47 (4.5%),-2,47 (4.5%),-7,19 (1.8%),0,19 (1.8%),-9,17 (1.6%),-4,17 (1.6%),-5,17 (1.6%),-14,16 (1.5%),-13,15 (1.4%),-10,13 (1.2%),-32,13 (1.2%),-6,13 (1.2%),-34,10 (1.0%),-22,10 (1.0%),-18,9 (0.9%),-15,8 (0.8%),-23,7 (0.7%),-27,7 (0.7%),-12,7 (0.7%),-73,6 (0.6%),-53,6 (0.6%),-16,6 (0.6%),-11,5 (0.5%),-21,5 (0.5%),-140,5 (0.5%),-33,5 (0.5%),-8,4 (0.4%),-30,4 (0.4%),-20,4 (0.4%),-17,4 (0.4%),-24,4 (0.4%),11,4 (0.4%),5,4 (0.4%),-31,4 (0.4%),-19,3 (0.3%),-108,3 (0.3%),-78,3 (0.3%),-74,3 (0.3%),-63,3 (0.3%),-26,3 (0.3%),3,3 (0.3%),-48,2 (0.2%),-75,2 (0.2%),-56,2 (0.2%),-25,2 (0.2%),-77,2 (0.2%),-126,2 (0.2%),4,2 (0.2%),-43,2 (0.2%),-47,2 (0.2%),-91,2 (0.2%),-60,2 (0.2%),-105,2 (0.2%),-55,1 (0.1%),-35,1 (0.1%),-86,1 (0.1%),-58,1 (0.1%),-36,1 (0.1%),-28,1 (0.1%),-79,1 (0.1%),-42,1 (0.1%),-62,1 (0.1%),10,1 (0.1%),-61,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.99,2 (2.0),1.8,14.4,83.8,0.1,88.92
Miller-Plate73-C03,g10 d7,1309,10 (0.76%),1125 (85.94%),97.80%,1,474 (36.2%),-1,191 (14.6%),-2,80 (6.1%),-3,41 (3.1%),2,38 (2.9%),0,29 (2.2%),-7,28 (2.1%),-32,26 (2.0%),-10,23 (1.8%),-5,20 (1.5%),-9,19 (1.5%),-24,16 (1.2%),-4,15 (1.1%),-13,15 (1.1%),-6,15 (1.1%),-8,15 (1.1%),-14,13 (1.0%),-15,12 (0.9%),-30,11 (0.8%),-61,10 (0.8%),-22,9 (0.7%),-16,8 (0.6%),-26,8 (0.6%),-17,7 (0.5%),-31,7 (0.5%),-135,6 (0.5%),-133,6 (0.5%),-11,6 (0.5%),-12,6 (0.5%),-19,6 (0.5%),-33,5 (0.4%),-21,5 (0.4%),-36,5 (0.4%),-20,5 (0.4%),3,5 (0.4%),-29,5 (0.4%),-128,5 (0.4%),-35,5 (0.4%),-18,4 (0.3%),-38,4 (0.3%),-73,4 (0.3%),-59,3 (0.2%),-48,3 (0.2%),-28,3 (0.2%),-160,3 (0.2%),-47,3 (0.2%),-23,3 (0.2%),-166,3 (0.2%),-136,3 (0.2%),-63,3 (0.2%),-50,3 (0.2%),-72,2 (0.2%),-27,2 (0.2%),-45,2 (0.2%),-118,2 (0.2%),-78,2 (0.2%),-116,2 (0.2%),-66,2 (0.2%),-125,2 (0.2%),-40,2 (0.2%),-54,2 (0.2%),-105,2 (0.2%),4,2 (0.2%),-25,2 (0.2%),-53,2 (0.2%),-34,2 (0.2%),-51,2 (0.2%),5,1 (0.1%),-85,1 (0.1%),-68,1 (0.1%),-74,1 (0.1%),-147,1 (0.1%),-108,1 (0.1%),-41,1 (0.1%),63,1 (0.1%),22,1 (0.1%),-84,1 (0.1%),-80,1 (0.1%),-86,1 (0.1%),-90,1 (0.1%),-82,1 (0.1%),-69,1 (0.1%),-91,1 (0.1%),-103,1 (0.1%),-42,1 (0.1%),-56,1 (0.1%),-67,1 (0.1%),-101,1 (0.1%),-49,1 (0.1%),-115,1 (0.1%),47,1 (0.1%),-100,1 (0.1%),-64,1 (0.1%),-93,1 (0.1%),-46,1 (0.1%),-122,1 (0.1%),28,1 (0.1%),-39,1 (0.1%),-119,1 (0.1%),-88,1 (0.1%),-129,1 (0.1%),-75,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.96,13 (1.3),2.2,14,83.8,0.76,85.94
Miller-Plate73-C04,g10 d10,1484,47 (3.17%),1287 (86.73%),94.50%,1,495 (33.4%),-1,219 (14.8%),-2,106 (7.1%),0,81 (5.5%),2,81 (5.5%),-3,50 (3.4%),-4,26 (1.8%),-10,26 (1.8%),-15,19 (1.3%),-8,19 (1.3%),-7,19 (1.3%),-5,16 (1.1%),-9,15 (1.0%),-13,15 (1.0%),-133,13 (0.9%),-32,12 (0.8%),-17,12 (0.8%),-25,11 (0.7%),-12,11 (0.7%),-14,11 (0.7%),-6,10 (0.7%),-11,9 (0.6%),-34,9 (0.6%),-20,9 (0.6%),-18,9 (0.6%),-24,8 (0.5%),-128,8 (0.5%),-22,8 (0.5%),3,8 (0.5%),-21,7 (0.5%),-29,7 (0.5%),-30,7 (0.5%),-73,6 (0.4%),-16,6 (0.4%),-31,5 (0.3%),-36,5 (0.3%),-35,5 (0.3%),-63,5 (0.3%),-61,5 (0.3%),-105,4 (0.3%),-26,4 (0.3%),-135,4 (0.3%),-38,4 (0.3%),-108,4 (0.3%),-23,4 (0.3%),-55,3 (0.2%),-19,3 (0.2%),-91,3 (0.2%),-58,3 (0.2%),-49,3 (0.2%),-86,3 (0.2%),-107,3 (0.2%),-41,3 (0.2%),-33,2 (0.1%),-46,2 (0.1%),-68,2 (0.1%),-74,2 (0.1%),-54,2 (0.1%),-89,2 (0.1%),-93,2 (0.1%),-53,2 (0.1%),-50,2 (0.1%),-43,1 (0.1%),-60,1 (0.1%),-39,1 (0.1%),-84,1 (0.1%),-183,1 (0.1%),-69,1 (0.1%),-121,1 (0.1%),-101,1 (0.1%),-75,1 (0.1%),-70,1 (0.1%),-98,1 (0.1%),-78,1 (0.1%),11,1 (0.1%),-47,1 (0.1%),-136,1 (0.1%),-37,1 (0.1%),-110,1 (0.1%),-106,1 (0.1%),-40,1 (0.1%),-52,1 (0.1%),-64,1 (0.1%),-137,1 (0.1%),-119,1 (0.1%),-28,1 (0.1%),-87,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.96,60 (1.3),5.5,12.1,82.4,3.17,86.73
Miller-Plate73-C05,g10 d14,1856,505 (27.21%),1639 (88.31%),65.30%,0,644 (34.7%),1,426 (23.0%),-1,191 (10.3%),-2,84 (4.5%),2,46 (2.5%),-3,42 (2.3%),-5,28 (1.5%),-4,21 (1.1%),-17,18 (1.0%),-13,16 (0.9%),-30,15 (0.8%),-7,14 (0.8%),-9,14 (0.8%),-14,14 (0.8%),3,13 (0.7%),-10,13 (0.7%),-6,12 (0.6%),-15,11 (0.6%),-12,10 (0.5%),-24,10 (0.5%),-32,10 (0.5%),-133,10 (0.5%),-20,9 (0.5%),-22,9 (0.5%),-11,8 (0.4%),-73,8 (0.4%),-108,7 (0.4%),-8,7 (0.4%),-25,6 (0.3%),-38,6 (0.3%),-16,6 (0.3%),-69,5 (0.3%),-128,5 (0.3%),-53,5 (0.3%),-21,5 (0.3%),-19,5 (0.3%),-33,5 (0.3%),-31,4 (0.2%),-59,4 (0.2%),-23,4 (0.2%),-135,4 (0.2%),-28,4 (0.2%),-140,4 (0.2%),-40,3 (0.2%),-27,3 (0.2%),-26,3 (0.2%),-34,3 (0.2%),-35,3 (0.2%),-43,3 (0.2%),-164,3 (0.2%),-57,2 (0.1%),-55,2 (0.1%),-82,2 (0.1%),-39,2 (0.1%),-49,2 (0.1%),-126,2 (0.1%),-63,2 (0.1%),-18,2 (0.1%),-120,2 (0.1%),-94,2 (0.1%),-125,2 (0.1%),-111,2 (0.1%),-117,2 (0.1%),-64,2 (0.1%),-66,1 (0.1%),-50,1 (0.1%),-56,1 (0.1%),97,1 (0.1%),-36,1 (0.1%),-54,1 (0.1%),-52,1 (0.1%),-105,1 (0.1%),-74,1 (0.1%),-77,1 (0.1%),-116,1 (0.1%),-62,1 (0.1%),-85,1 (0.1%),-121,1 (0.1%),-51,1 (0.1%),-86,1 (0.1%),-84,1 (0.1%),-29,1 (0.1%),-41,1 (0.1%),-37,1 (0.1%),44,1 (0.1%),5,1 (0.1%),-79,1 (0.1%),-113,1 (0.1%),6,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.98,558 (1.1),34.7,9.6,55.7,27.21,88.31
Miller-Plate73-C06,d21 g10,1603,1109 (69.18%),1453 (90.64%),16.60%,0,1337 (83.4%),1,77 (4.8%),-1,65 (4.1%),-53,15 (0.9%),-2,14 (0.9%),2,10 (0.6%),-3,9 (0.6%),-5,9 (0.6%),-125,7 (0.4%),-108,6 (0.4%),-12,5 (0.3%),-6,5 (0.3%),-4,3 (0.2%),3,3 (0.2%),-8,3 (0.2%),-35,3 (0.2%),-20,3 (0.2%),-14,3 (0.2%),-84,2 (0.1%),-25,2 (0.1%),-11,2 (0.1%),-32,2 (0.1%),-7,2 (0.1%),-30,2 (0.1%),-33,1 (0.1%),-54,1 (0.1%),-133,1 (0.1%),-29,1 (0.1%),-13,1 (0.1%),-36,1 (0.1%),-31,1 (0.1%),-73,1 (0.1%),-42,1 (0.1%),-16,1 (0.1%),-69,1 (0.1%),-9,1 (0.1%),-128,1 (0.1%),-38,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,0.99,1247 (1.1),83.4,2.4,14.2,69.18,90.64
