sample_name	vector	ng/uL	uL	num_grnas	coverage	primer_set
Metabolomic_D1	SNP28	491.4	200	12560	400	pLentiGuide-Puro
Metabolomic_D3	SNP28	330.0	190	12560	400	pLentiGuide-Puro
