Gene,Guide,Ratio
CAGE2539.hMBD3.g1,CAGE2539g1,1.55
CAGE2527.hMTA1.g1,CAGE2527g1,1.14
CAGE2536.hGATAD2B.g21,CAGE2536g21,1.02
CAGE2537.hMTA2.g7,CAGE2537g7,0.94
